player_id,player_name,Latest_Year,off_poss,def_poss,possessions,box_oVPM_TS,box_oVPM_TOV,box_oVPM_SC,box_dVPM_TS,box_dVPM_TOV,box_dVPM_SC,box_off,box_def,box_net,source_box_off_gap,source_box_def_gap,source_box_net_gap
203999,Nikola Jokic,2026,25334,25189,50523,7.877392636240589,-0.1412298447702622,0.6503969441666876,0.7615349633199018,-0.2950428082275378,2.0610363521412514,8.386559735637015,2.5275285072336153,10.91408824287063,0.0,0.0,0.0
1641705,Victor Wembanyama,2026,11453,11392,22845,2.7654734241432894,-0.732322379201167,-0.2647038120050675,4.8570511077145095,0.0440258306741958,1.0575179533660255,1.7684472329370546,5.95859489175473,7.727042124691785,0.0,0.0,0.0
1628983,Shai Gilgeous-Alexander,2026,24543,24514,49057,4.053294922529511,1.2498362625643635,-0.5999893124133872,1.278985325723985,0.5208628887713196,-0.0646541888525494,4.703141872680487,1.7351940256427552,6.438335898323242,0.0,0.0,0.0
203954,Joel Embiid,2026,15363,15301,30664,4.4023364976709916,-0.1829591673891199,-0.5943717484057048,2.521865824588489,-0.7298517930599715,0.8686611992041622,3.625005581876167,2.6606752307326795,6.285680812608847,0.0,0.0,0.0
1629029,Luka Doncic,2026,22862,22786,45648,5.664485767621862,0.7885672755611935,-0.4771862314245356,-0.2813804477561283,-0.0522609975944242,0.2020571597997068,5.975866811758521,-0.13158428555084573,5.844282526207675,0.0,-1.3877787807814457e-16,0.0
203076,Anthony Davis,2026,17270,17214,34484,1.795304759123494,0.0434758948402177,0.252590751115299,2.5535917279931137,-0.4329179859625217,1.1192491863606815,2.091371405079011,3.2399229283912736,5.331294333470284,0.0,-4.440892098500626e-16,-8.881784197001252e-16
201142,Kevin Durant,2026,23606,23516,47122,5.351021354070386,-0.1485386270476087,-0.4659427571785873,1.5054359843413643,-0.7425158947196354,-0.2027506383649242,4.7365399698441895,0.5601694512568046,5.296709421100994,0.0,-2.220446049250313e-16,0.0
201939,Stephen Curry,2026,21428,21283,42711,5.4987179710991185,0.3903905031321266,-0.090826706552008,-0.2468258140110595,-0.1379833464536866,-0.1650951328931467,5.798281767679237,-0.5499042933578928,5.2483774743213445,0.0,1.1102230246251565e-16,8.881784197001252e-16
1631096,Chet Holmgren,2026,10906,10905,21811,1.0608508030762567,-0.3208373677693541,-0.189017788907653,4.482172688040623,-0.7055703396570828,0.6022193787235419,0.5509956463992496,4.378821727107082,4.9298173735063315,3.3306690738754696e-16,0.0,0.0
203507,Giannis Antetokounmpo,2026,21114,21076,42190,3.3195446114162683,-0.1996487622869656,0.0185382731219433,2.077059229975695,-0.8442481625530579,0.4610264512654746,3.1384341222512457,1.6938375186881118,4.832271640939357,-4.440892098500626e-16,-6.661338147750939e-16,-1.7763568394002505e-15
202695,Kawhi Leonard,2026,14774,14790,29564,3.278747830442027,0.7604640837404446,-0.3527930729281958,0.25120443952237514,0.584627010597134,0.2808323322733962,3.686418841254276,1.1166637823929053,4.803082623647182,0.0,2.220446049250313e-16,8.881784197001252e-16
1628378,Donovan Mitchell,2026,22914,22827,45741,3.374484221873408,0.846789976326083,-0.2596022130369657,0.0650539426338895,0.6444138293470136,-0.0475174122678379,3.9616719851625253,0.6619503597130653,4.62362234487559,-4.440892098500626e-16,0.0,0.0
1626164,Devin Booker,2026,23653,23591,47244,4.036333607383739,0.5680207840964776,-0.278057753512733,0.2943315189884146,-0.0925045384579583,-0.178139979988108,4.326296637967483,0.02368700054234829,4.349983638509832,0.0,1.9081958235744878e-16,0.0
201935,James Harden,2026,24509,24492,49001,4.40438884961367,0.2668720995630913,-0.3282484002529199,-0.1389132771521181,-0.2786438624214744,0.0215613499232611,4.343012548923841,-0.3959957896503314,3.94701675927351,0.0,-1.1102230246251565e-16,0.0
1642349,Ajay Mitchell,2026,4246,4204,8450,0.5826704400487843,0.5322008823944083,-0.1011388069403653,1.642219413500882,1.2662331731045249,-0.0986425391171005,1.0137325155028272,2.8098100474883063,3.8235425629911335,0.0,0.0,0.0
