player_id,player_name,Latest_Year,off_poss,def_poss,possessions,box_oVPM_TS,box_oVPM_TOV,box_oVPM_SC,box_dVPM_TS,box_dVPM_TOV,box_dVPM_SC,box_off,box_def,box_net
203999,Nikola Jokic,2026,25334,25189,50523,6.848579483567034,-0.0555763211891793,0.3919869670755709,0.5251435074031073,0.0990520029503997,1.8416632417996188,7.184990129453426,2.465858752153126,9.650848881606551
1628983,Shai Gilgeous-Alexander,2026,24543,24514,49057,5.2973188931912985,1.1952991913521027,-0.2747158481348011,1.3668263417897966,0.4368982923526738,-0.2090876191815547,6.2179022364086,1.5946370149609157,7.8125392513695155
1629029,Luka Doncic,2026,22862,22786,45648,6.191840119993719,0.8462331987934144,-0.3968763840571834,-0.3684794685723126,0.2488272551364002,0.0694308268724756,6.64119693472995,-0.0502213865634367,6.590975548166513
1641705,Victor Wembanyama,2026,11453,11392,22845,2.191919007866189,-0.5074337502299751,-0.4210539423020695,4.812769472938801,0.1016616295080431,0.3006565994784795,1.2634313153341443,5.215087701925324,6.478519017259468
203954,Joel Embiid,2026,15363,15301,30664,3.838235603222521,-0.0544749148650491,-0.6144843684046771,2.3112786708752404,-0.5217548313024756,0.818749121672381,3.169276319952795,2.608272961245146,5.777549281197941
201142,Kevin Durant,2026,23606,23516,47122,5.407370756296454,-0.1812957003560282,-0.6831201642334988,1.6347808736262568,-0.4751653727307798,0.0551503223155793,4.542954891706928,1.2147658232110563,5.757720714917984
203507,Giannis Antetokounmpo,2026,21114,21076,42190,3.742957385674595,-0.3252606758501375,0.1485995694680002,2.1144019177467928,-0.4068930581000374,0.3130258622278787,3.5662962792924575,2.020534721874634,5.586831001167091
203076,Anthony Davis,2026,17270,17214,34484,1.2049977737558475,0.0726960511134775,0.284058844534973,2.575599350131814,-0.209620430652554,1.086430711846786,1.561752669404298,3.4524096313260464,5.014162300730344
201939,Stephen Curry,2026,21428,21283,42711,5.258501494965754,0.5162468022884423,-0.2196534809467566,-0.2601685143763075,-0.1949127470081931,-0.1391175537233841,5.55509481630744,-0.5941988151078847,4.960896001199555
1631096,Chet Holmgren,2026,10906,10905,21811,1.0016677346969731,-0.3282578316095986,-0.1829318669331154,4.522216606965658,-0.7353083540559082,0.3405584778792446,0.4904780361542592,4.127466730788995,4.617944766943254
202695,Kawhi Leonard,2026,14774,14790,29564,3.2651418415886257,0.6961489326656998,-0.387835758825064,0.2316580225094026,0.5746629537072421,0.2278804069420252,3.5734550154292615,1.0342013831586698,4.607656398587931
1628378,Donovan Mitchell,2026,22914,22827,45741,3.842352056822964,0.7599841187224712,-0.3694701559845149,-0.0198847599050506,0.4985119953510644,-0.1040274946789827,4.2328660195609205,0.3745997407670309,4.607465760327951
1626164,Devin Booker,2026,23653,23591,47244,3.93701150164786,0.5039340364954361,-0.3968798771904547,0.325390359202339,-0.1180930276659157,-0.1551849468056369,4.044065660952842,0.0521123847307863,4.096178045683628
203497,Rudy Gobert,2026,23298,23298,46596,-0.3175214760753079,-1.1211765327678098,1.6099013878759465,3.8865029035708782,-0.7405781275324146,0.5576359658124849,0.1712033790328284,3.703560741850949,3.8747641208837775
