player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
2225,Tony Parker,2012,2.52,2.22,0.3,0.55,0.15,0.39,-0.86,2.54,2.23,0.31,0.01,-0.04,0.06,0.38,3.07,2.55,2.21,2.93,5.14,0.0,9086,4577,4509
2544,LeBron James,2012,3.66,2.91,0.75,0.5,0.03,0.46,-0.3,0.47,0.41,0.06,0.86,0.58,0.28,-0.31,4.16,1.33,3.86,1.02,4.88,-0.0,12306,6177,6129
201933,Blake Griffin,2012,1.81,2.12,-0.31,0.77,0.43,0.34,1.63,0.15,0.23,-0.08,0.4,0.11,0.29,0.07,2.58,0.55,4.21,0.62,4.83,-0.0,10059,5019,5040
708,Kevin Garnett,2012,1.93,1.6,0.33,0.64,0.35,0.3,-1.29,2.74,2.46,0.28,0.32,0.21,0.11,-0.09,2.57,3.06,1.28,2.97,4.25,0.0,9352,4690,4662
201959,Taj Gibson,2012,-0.73,-0.66,-0.07,-0.07,0.07,-0.14,1.88,3.46,3.85,-0.39,0.08,0.18,-0.09,-0.39,-0.8,3.54,1.08,3.15,4.23,0.0,5063,2510,2553
201935,James Harden,2012,5.0,3.6,1.4,0.51,0.32,0.19,-0.74,-0.03,0.38,-0.41,0.29,-0.18,0.46,-1.11,5.51,0.26,4.77,-0.85,3.92,0.0,9747,4894,4853
2548,Dwyane Wade,2012,1.89,1.49,0.4,0.53,-0.19,0.71,0.01,1.63,1.32,0.31,-0.39,-0.11,-0.29,-0.18,2.42,1.24,2.43,1.06,3.49,0.0,9374,4708,4666
2730,Dwight Howard,2012,1.35,1.92,-0.57,-0.94,-0.43,-0.5,0.85,2.17,1.93,0.24,-0.52,-0.04,-0.47,0.57,0.41,1.65,1.26,2.22,3.48,0.0,7386,3702,3684
1495,Tim Duncan,2012,-0.09,-0.22,0.13,0.59,0.05,0.54,0.08,2.28,1.66,0.62,-0.12,-0.15,0.03,0.74,0.5,2.16,0.58,2.9,3.48,0.0,7910,3996,3914
2757,Beno Udrih,2012,0.73,0.79,-0.06,0.41,-0.03,0.44,0.25,1.89,2.08,-0.19,0.29,0.08,0.21,-0.1,1.14,2.18,1.39,2.08,3.46,-0.01,4006,2008,1998
1717,Dirk Nowitzki,2012,2.89,2.29,0.6,0.31,0.11,0.19,-1.06,0.45,-0.39,0.84,-0.2,0.06,-0.25,1.04,3.2,0.25,2.14,1.29,3.43,0.0,8311,4169,4142
101122,Danny Granger,2012,0.61,0.38,0.23,0.11,0.2,-0.08,1.18,1.79,1.79,0.0,-0.19,0.04,-0.23,-0.1,0.72,1.6,1.9,1.5,3.4,0.0,9184,4578,4606
101108,Chris Paul,2012,1.84,1.6,0.24,0.68,0.42,0.26,0.76,-1.5,-0.6,-0.9,0.9,0.29,0.62,0.61,2.52,-0.6,3.28,0.01,3.3,0.01,9427,4715,4712
201583,Ryan Anderson,2012,0.83,0.97,-0.14,0.56,0.25,0.32,1.2,-0.35,-0.48,0.13,0.66,0.22,0.44,0.24,1.39,0.31,2.59,0.55,3.14,0.0,7787,3911,3876
2588,Matt Bonner,2012,2.06,2.21,-0.15,0.92,0.36,0.56,-0.38,0.92,0.68,0.24,-0.55,-0.57,0.03,0.09,2.98,0.37,2.6,0.46,3.06,0.0,5551,2803,2748
201188,Marc Gasol,2012,0.89,0.84,0.05,0.27,0.15,0.11,-0.68,1.89,1.79,0.1,0.73,0.25,0.47,-0.08,1.16,2.62,0.48,2.54,3.03,0.01,9685,4864,4821
2746,Josh Smith,2012,0.94,1.16,-0.22,0.24,-0.14,0.37,0.2,0.61,0.35,0.26,0.56,0.17,0.4,0.45,1.18,1.17,1.38,1.62,2.99,-0.01,9203,4611,4592
201939,Stephen Curry,2012,1.31,1.6,-0.29,0.19,0.05,0.13,-0.2,1.77,1.58,0.19,0.76,0.35,0.41,-0.86,1.5,2.53,1.3,1.67,2.97,0.0,2819,1418,1401
202327,Ekpe Udoh,2012,0.57,0.85,-0.28,0.44,0.49,-0.04,-0.24,2.17,2.31,-0.14,0.11,-0.29,0.4,-0.08,1.01,2.28,0.77,2.2,2.96,-0.01,4893,2453,2440
201566,Russell Westbrook,2012,2.23,1.52,0.71,0.08,0.22,-0.13,-0.22,0.48,0.62,-0.14,0.09,-0.04,0.13,0.16,2.31,0.57,2.09,0.73,2.82,0.0,11916,5996,5920
2754,Tony Allen,2012,0.71,0.27,0.44,-0.31,-0.07,-0.23,-0.33,1.61,1.47,0.14,0.97,0.75,0.22,0.14,0.4,2.58,0.07,2.72,2.8,0.01,6246,3107,3139
201565,Derrick Rose,2012,1.19,0.77,0.42,0.31,0.29,0.02,0.59,1.18,0.8,0.38,-0.45,-0.07,-0.39,-0.02,1.5,0.73,2.09,0.71,2.8,0.0,5185,2599,2586
2736,Luol Deng,2012,-0.23,0.11,-0.34,-0.08,-0.13,0.05,1.03,1.93,1.69,0.24,0.0,0.22,-0.22,0.11,-0.31,1.93,0.72,2.04,2.76,0.0,8444,4215,4229
201980,Danny Green,2012,0.83,0.76,0.07,0.22,-0.03,0.25,0.16,0.76,0.41,0.35,-0.42,-0.35,-0.08,1.05,1.05,0.34,1.21,1.39,2.6,0.0,6839,3435,3404
202331,Paul George,2012,0.77,0.15,0.62,-0.29,-0.28,-0.01,-0.36,1.63,1.94,-0.31,0.46,0.46,-0.0,0.37,0.48,2.09,0.12,2.46,2.59,0.01,8585,4284,4301
202339,Eric Bledsoe,2012,0.71,1.27,-0.56,-0.24,0.04,-0.29,0.4,0.6,0.29,0.31,0.7,0.54,0.17,0.33,0.47,1.3,0.87,1.63,2.51,0.01,2340,1162,1178
201568,Danilo Gallinari,2012,1.07,0.57,0.5,0.06,0.15,-0.09,-0.52,1.15,0.6,0.55,-0.29,-0.11,-0.18,1.02,1.13,0.86,0.61,1.88,2.48,-0.01,6003,3010,2993
