player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
406,Shaquille O'Neal,2004,5.34,6.13,-0.79,-0.34,-0.37,0.04,1.87,3.71,2.82,0.89,-1.64,-0.8,-0.84,-0.4,5.0,2.07,6.87,1.67,8.54,0.0,49767,25014,24753
708,Kevin Garnett,2004,4.28,3.92,0.36,0.45,0.3,0.14,-0.61,4.23,3.53,0.7,0.18,0.26,-0.09,-0.05,4.73,4.41,4.12,4.36,8.48,0.0,52939,26607,26332
1495,Tim Duncan,2004,2.03,2.03,0.0,0.11,-0.19,0.28,0.79,5.43,4.64,0.79,-0.71,-0.34,-0.36,0.66,2.14,4.72,2.93,5.38,8.31,0.0,53148,26671,26477
1717,Dirk Nowitzki,2004,4.59,3.37,1.22,0.82,0.04,0.78,-1.08,1.88,1.18,0.7,0.25,0.26,-0.01,-0.24,5.41,2.13,4.33,1.89,6.22,0.0,52530,26347,26183
739,Rasheed Wallace,2004,3.3,3.5,-0.2,-0.68,-0.81,0.12,-0.91,3.7,3.22,0.48,0.35,-0.07,0.41,-0.11,2.62,4.05,1.71,3.94,5.66,0.01,44222,22131,22091
1905,Andrei Kirilenko,2004,3.09,1.91,1.18,-0.35,-0.35,-0.01,0.44,1.12,2.15,-1.03,1.14,0.36,0.78,0.11,2.74,2.26,3.18,2.37,5.55,0.0,27394,13664,13730
1884,Baron Davis,2004,1.77,1.53,0.24,0.8,0.21,0.59,0.84,1.94,2.03,-0.09,1.09,0.53,0.55,-1.07,2.57,3.03,3.41,1.96,5.37,0.0,44147,21993,22154
1112,Ben Wallace,2004,-1.14,-0.43,-0.71,0.17,0.08,0.09,1.41,3.66,2.82,0.84,0.64,0.21,0.41,0.56,-0.97,4.3,0.44,4.86,5.31,0.01,50493,25220,25273
304,John Stockton,2004,3.68,3.06,0.62,0.2,0.01,0.18,-0.51,0.02,0.15,-0.13,1.32,0.41,0.91,0.58,3.88,1.34,3.37,1.92,5.3,0.01,28500,14226,14274
1713,Vince Carter,2004,1.36,1.75,-0.39,1.11,0.52,0.59,0.87,2.12,1.89,0.23,-0.35,0.01,-0.36,-0.67,2.47,1.77,3.34,1.1,4.45,0.01,37298,18673,18625
1503,Tracy McGrady,2004,3.89,3.02,0.87,1.6,0.55,1.05,-0.3,0.22,0.37,-0.15,0.27,0.31,-0.04,-1.37,5.49,0.49,5.19,-0.88,4.31,0.0,46699,23419,23280
951,Ray Allen,2004,4.42,3.89,0.53,0.48,0.25,0.23,-0.6,0.64,0.74,-0.1,-0.29,0.19,-0.49,-0.36,4.9,0.35,4.3,-0.01,4.29,0.0,41696,20903,20793
1883,Steve Francis,2004,2.14,1.32,0.82,0.2,0.35,-0.16,0.17,2.07,1.86,0.21,0.11,0.31,-0.2,-0.72,2.34,2.18,2.51,1.46,3.98,0.01,44811,22373,22438
1718,Paul Pierce,2004,4.15,2.9,1.25,0.41,0.35,0.06,-1.99,-0.17,-0.25,0.08,0.82,0.58,0.24,0.75,4.56,0.65,2.57,1.4,3.97,0.0,52673,26406,26267
717,Arvydas Sabonis,2004,0.79,0.8,-0.01,-0.23,-0.21,-0.01,-1.05,3.76,3.27,0.49,0.7,0.69,0.02,-0.23,0.56,4.46,-0.49,4.23,3.74,0.0,9877,4964,4913
467,Jason Kidd,2004,0.55,-0.45,1.0,0.51,-0.01,0.53,0.19,1.71,1.8,-0.09,0.83,0.48,0.34,-0.19,1.06,2.54,1.25,2.35,3.59,-0.01,52526,26390,26136
979,Jermaine O'Neal,2004,0.39,0.49,-0.1,-0.08,-0.02,-0.06,0.38,5.57,4.51,1.06,-1.21,-0.64,-0.58,-1.51,0.31,4.36,0.69,2.85,3.54,0.0,43603,21812,21791
224,Eddie Jones,2004,1.42,0.92,0.5,0.45,0.28,0.18,-0.71,1.46,1.88,-0.42,0.63,0.51,0.11,0.27,1.87,2.09,1.16,2.36,3.52,0.0,38735,19349,19386
448,Bo Outlaw,2004,0.19,0.77,-0.58,-0.91,-0.54,-0.38,1.05,3.89,3.41,0.48,0.97,0.46,0.51,-1.69,-0.72,4.86,0.33,3.17,3.5,-0.0,30054,15022,15032
1938,Manu Ginobili,2004,0.87,0.35,0.52,-0.28,0.16,-0.44,0.74,0.54,0.81,-0.27,1.3,0.66,0.65,0.32,0.59,1.84,1.33,2.16,3.49,0.0,17138,8581,8557
345,Terry Porter,2004,1.64,1.47,0.17,0.36,-0.04,0.4,-0.51,2.03,1.79,0.24,-0.05,-0.1,0.05,-0.25,2.0,1.98,1.49,1.73,3.23,0.01,12513,6267,6246
124,Vlade Divac,2004,1.15,1.73,-0.58,-0.35,-0.15,-0.2,-0.58,2.31,0.65,1.66,-0.18,-0.22,0.03,0.85,0.8,2.13,0.22,2.98,3.2,0.0,42248,21225,21023
764,David Robinson,2004,0.92,0.82,0.1,-0.49,-0.27,-0.23,-1.16,3.28,2.1,1.18,0.41,0.35,0.06,0.23,0.43,3.69,-0.73,3.92,3.19,0.0,26743,13413,13330
2200,Pau Gasol,2004,3.07,2.79,0.28,-0.1,-0.22,0.12,0.7,0.7,0.39,0.31,-0.36,-0.18,-0.18,-0.85,2.97,0.34,3.67,-0.51,3.16,0.0,32268,16148,16120
1763,Ryan Bowen,2004,-0.81,-0.71,-0.1,-0.16,-0.3,0.14,0.62,1.82,1.92,-0.1,1.48,0.89,0.6,0.21,-0.97,3.3,-0.35,3.51,3.15,-0.01,13829,6882,6947
2403,Nene,2004,1.33,1.66,-0.33,-1.13,-0.25,-0.87,-0.63,1.14,0.76,0.38,1.61,0.54,1.07,0.78,0.2,2.75,-0.43,3.53,3.1,-0.0,18403,9207,9196
977,Kobe Bryant,2004,2.48,1.57,0.91,0.64,0.55,0.09,-0.21,0.33,0.33,0.0,0.36,0.36,0.0,-0.57,3.12,0.69,2.91,0.12,3.03,-0.0,54816,27494,27322
677,Eric Williams,2004,0.5,-0.39,0.89,0.3,0.48,-0.18,-0.74,1.5,1.74,-0.24,0.82,-0.01,0.84,0.5,0.8,2.32,0.06,2.82,2.87,-0.01,32959,16466,16493
2215,Jason Collins,2004,-1.3,-1.5,0.2,-0.05,0.08,-0.12,0.22,1.69,0.6,1.09,1.27,0.04,1.22,1.01,-1.35,2.96,-1.13,3.97,2.84,0.0,24136,12107,12029
1890,Shawn Marion,2004,1.14,0.95,0.19,-0.02,-0.19,0.18,-0.26,1.53,1.4,0.13,0.69,0.74,-0.05,-0.28,1.12,2.22,0.86,1.94,2.8,0.0,48883,24455,24428
57,Doug Christie,2004,2.04,1.57,0.47,0.51,0.12,0.39,-0.8,0.14,-0.09,0.23,1.29,0.79,0.5,-0.43,2.55,1.43,1.75,1.0,2.76,0.01,50787,25461,25326
731,Greg Ostertag,2004,0.71,1.34,-0.63,-1.45,-0.88,-0.57,0.68,3.88,3.31,0.57,-0.47,-0.32,-0.16,-0.61,-0.74,3.41,-0.06,2.8,2.74,0.0,24765,12313,12452
389,Toni Kukoc,2004,3.64,3.08,0.56,-0.01,-0.26,0.25,-0.67,0.73,0.62,0.11,0.49,0.5,-0.01,-1.47,3.63,1.22,2.96,-0.25,2.71,-0.0,24471,12288,12183
1902,Jeff Foster,2004,-1.58,-1.01,-0.57,-0.43,-0.19,-0.23,1.75,1.66,1.24,0.42,0.35,0.23,0.12,0.75,-2.01,2.01,-0.26,2.76,2.5,0.0,22891,11355,11536
1740,Rashard Lewis,2004,3.1,2.66,0.44,0.46,0.47,-0.01,-0.4,-0.36,-0.8,0.44,-0.24,0.0,-0.24,-0.24,3.56,-0.6,3.16,-0.84,2.32,-0.0,41843,20970,20873
1897,Metta World Peace,2004,1.15,1.08,0.07,0.05,0.44,-0.39,-0.88,0.51,0.32,0.19,1.21,0.58,0.63,0.27,1.2,1.72,0.32,1.99,2.31,0.0,36926,18443,18483
243,Aaron McKie,2004,1.38,0.87,0.51,0.35,0.4,-0.05,-0.72,0.97,1.14,-0.17,0.57,0.39,0.18,-0.26,1.73,1.54,1.01,1.28,2.29,0.0,35587,17841,17746
947,Allen Iverson,2004,1.31,0.22,1.09,0.9,0.39,0.51,-0.45,0.03,-0.06,0.09,0.93,0.36,0.55,-0.43,2.21,0.96,1.76,0.53,2.29,0.0,47175,23630,23545
105,Dan Majerle,2004,1.25,1.33,-0.08,0.51,0.16,0.36,-0.13,0.55,0.57,-0.02,0.27,-0.02,0.29,-0.2,1.76,0.82,1.63,0.62,2.25,0.0,9220,4616,4604
2059,Eduardo Najera,2004,1.01,0.91,0.1,0.31,-0.16,0.47,0.94,0.56,0.89,-0.33,0.47,0.32,0.15,-1.08,1.32,1.03,2.26,-0.05,2.22,0.01,15995,7982,8013
1711,Raef LaFrentz,2004,0.47,1.38,-0.91,0.3,-0.03,0.33,-0.02,2.44,1.68,0.76,-0.34,-0.1,-0.24,-0.65,0.77,2.1,0.75,1.45,2.2,0.0,28722,14336,14386
1889,Andre Miller,2004,3.06,1.8,1.26,0.73,0.36,0.35,-1.19,0.07,-0.17,0.24,-0.01,0.37,-0.38,-0.48,3.79,0.06,2.6,-0.42,2.18,0.0,44332,22167,22165
2045,Hedo Turkoglu,2004,0.35,0.04,0.31,0.4,0.4,-0.01,-0.1,1.68,1.96,-0.28,-0.17,-0.03,-0.14,0.01,0.75,1.51,0.65,1.52,2.17,0.0,28358,14187,14171
965,Derek Fisher,2004,0.78,0.06,0.72,0.78,0.33,0.44,0.1,-0.45,-0.12,-0.33,0.6,-0.03,0.64,0.35,1.56,0.15,1.66,0.5,2.16,0.0,35255,17695,17560
2203,Shane Battier,2004,-1.0,-1.29,0.29,0.35,0.31,0.04,0.73,2.18,2.59,-0.41,0.26,0.24,0.02,-0.46,-0.65,2.44,0.08,1.98,2.06,-0.0,28228,14160,14068
2248,Earl Watson,2004,0.14,0.55,-0.41,-0.14,0.2,-0.35,-0.82,1.09,0.98,0.11,1.6,0.53,1.07,0.16,0.0,2.69,-0.82,2.85,2.04,0.01,14706,7369,7337
2073,Brian Cardinal,2004,1.7,0.83,0.87,0.35,0.18,0.18,-0.51,0.55,0.71,-0.16,0.08,-0.14,0.22,-0.15,2.05,0.63,1.54,0.48,2.02,0.0,6634,3320,3314
692,Andrew DeClercq,2004,-1.01,-0.09,-0.92,-0.32,-0.36,0.04,1.05,1.65,1.57,0.08,1.2,0.6,0.61,-0.61,-1.33,2.85,-0.28,2.24,1.95,-0.01,15743,7841,7902
87,Dikembe Mutombo,2004,-0.69,-0.51,-0.18,-0.9,-0.07,-0.83,-0.45,4.84,3.23,1.61,-1.3,-0.74,-0.56,0.44,-1.59,3.54,-2.04,3.98,1.94,0.0,31749,15875,15874
