player_id,player_name,Latest_Year,oTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1630526,Jeremiah Robinson-Earl,2026,-0.51,-0.01,0.22,-0.24,0.44,-1.14,-0.15,-0.43,0.27,-0.24,-0.12,-1.64,-1.75,-0.14,0.2,-0.32,-0.4,-1.24,0.43,-0.39,1544,773,771
1627734,Domantas Sabonis,2026,-0.43,-0.27,-0.02,-0.25,0.02,-1.78,-0.3,-0.45,0.15,0.56,-0.57,-1.18,-1.75,0.45,0.35,-0.92,0.85,-2.03,-0.25,0.26,2506,1251,1255
1629014,Anfernee Simons,2026,-0.98,0.82,0.57,0.25,0.08,-2.15,0.45,0.05,0.41,-0.42,0.37,-2.13,-1.76,0.44,0.67,-0.3,-0.09,-2.04,0.9,0.03,5410,2708,2702
1630570,Trendon Watford,2026,0.22,-0.14,0.15,-0.29,-0.08,-1.07,-0.55,-0.41,-0.14,-0.04,-0.05,-1.72,-1.77,-0.11,-0.33,0.28,-0.16,-1.56,-0.22,-0.59,2764,1375,1389
1630256,Jae'Sean Tate,2026,-0.66,-0.41,-0.17,-0.24,0.31,-0.29,-0.15,-0.06,-0.09,-0.53,-0.9,-0.87,-1.77,-0.04,0.54,-1.44,-1.06,0.19,-0.1,-0.68,1141,565,576
203114,Khris Middleton,2026,-0.25,0.2,-0.01,0.21,-0.16,-1.03,-0.12,0.08,-0.21,-0.11,-0.41,-1.37,-1.78,-0.31,0.12,-0.53,-0.07,-1.3,0.04,-0.23,4641,2328,2313
1629027,Trae Young,2026,0.67,0.29,-0.39,0.67,-0.08,-2.31,0.1,-0.23,0.33,-0.69,1.19,-2.97,-1.78,0.24,0.3,0.89,-1.1,-1.87,0.21,-0.59,1422,713,709
1629618,Jalen Pickett,2026,-1.57,0.81,0.73,0.07,-0.89,1.03,-0.73,-0.14,-0.59,-0.23,-1.72,-0.08,-1.81,-0.23,-0.5,-1.22,-0.67,0.59,-0.08,-0.96,2844,1427,1417
1629028,Deandre Ayton,2026,-0.23,-0.51,-0.44,-0.06,-0.49,-1.18,0.24,0.46,-0.22,0.16,-1.25,-0.57,-1.83,0.18,-0.42,-0.83,0.54,-1.11,-1.0,0.4,6568,3266,3302
1630643,Jay Huff,2026,-1.48,0.0,-0.04,0.04,-1.61,1.49,-0.59,-0.15,-0.44,0.19,-2.93,1.04,-1.89,0.11,-0.62,-2.31,0.03,1.01,-1.61,-0.4,5524,2764,2760
1642273,Kyshawn George,2026,-0.69,-0.16,-0.02,-0.14,-0.57,-0.13,-0.22,0.23,-0.45,-0.6,-1.07,-0.82,-1.89,0.48,0.59,-1.66,-0.78,-0.04,-0.73,-0.82,5819,2911,2908
1626171,Bobby Portis,2026,-0.13,0.47,0.41,0.06,-0.58,0.06,-0.89,-0.25,-0.64,-0.39,-0.27,-1.62,-1.89,-0.43,-0.03,-0.24,-0.35,-1.27,-0.11,-1.28,5981,2992,2989
1629636,Darius Garland,2026,-0.37,0.15,-0.3,0.43,-0.35,-0.67,-0.37,-0.06,-0.31,-0.08,-0.79,-1.12,-1.91,-0.22,-0.86,0.07,0.2,-1.32,-0.2,-0.45,3640,1816,1824
