player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
762,Shawn Bradley,2000,-1.58,-0.2,-0.61,0.07,-1.6,-0.31,2.21,0.21,-1.49,-0.45,-0.7,0.25,-0.72,2.94,0.52,2.06,0.61,-0.64,0.16,-1.43,0.47,-0.24,-0.03,0.23,-0.26,-0.69,-2.73,2.55,-0.17,0.36,-0.3,-2.43,-0.58,3.13,-1.17,-0.72,7137,3557,3580
176,Antonio Harvey,2000,0.19,-0.26,0.06,0.11,0.14,-0.09,-0.2,0.22,-0.64,-0.38,-0.18,-0.2,0.08,0.42,-0.07,0.06,-0.0,-0.13,0.03,0.07,0.29,0.16,0.02,-0.01,0.03,-0.09,-0.18,-0.0,-0.18,-0.42,-0.42,0.25,-0.62,0.62,-0.3,-0.07,482,238,244
436,Juwan Howard,2000,0.51,0.26,-0.26,-0.27,-1.85,0.2,2.1,0.92,-0.49,0.26,0.27,-0.01,0.58,-1.1,-0.37,-0.19,-1.21,0.04,-0.04,0.15,0.14,-0.04,-0.38,0.01,-0.38,-0.13,0.99,-1.18,-0.19,0.07,-0.24,1.23,0.03,-1.21,0.84,-0.51,11088,5544,5544
760,Jerome Kersey,2000,-2.96,-0.46,-0.24,-0.66,-2.76,-0.25,2.99,-0.39,-1.33,0.32,0.28,0.04,0.31,1.14,0.0,0.74,0.17,0.42,-0.12,-1.16,0.64,1.9,0.65,0.5,0.15,0.07,-2.19,1.99,-0.2,0.27,0.56,-2.76,0.14,1.85,0.63,0.72,4972,2479,2493
1894,Corey Maggette,2000,0.56,0.14,1.25,-0.54,-1.68,0.11,0.43,0.52,-2.31,-1.32,0.08,-1.39,0.9,-0.45,-0.17,-0.04,-0.33,0.28,0.38,-0.24,-0.32,-0.04,-0.2,-0.14,-0.06,-0.11,0.59,-0.79,-0.2,0.42,0.99,-0.4,-0.66,-0.13,-0.42,-0.31,5415,2703,2712
147,Jalen Rose,2000,1.01,-0.02,-1.4,0.74,0.06,0.73,1.33,0.67,0.6,0.61,0.13,0.48,-0.66,0.49,0.36,0.53,-0.24,0.67,0.25,-1.21,0.06,-0.39,-0.9,-0.3,-0.6,-0.28,0.72,-0.91,-0.2,-0.47,-0.56,1.27,-0.6,-0.32,-0.05,-1.18,14893,7450,7443
1510,Brevin Knight,2000,-0.84,0.43,0.35,-0.8,-0.93,0.09,0.58,-0.46,0.72,0.05,-0.5,0.55,0.14,-0.28,-0.52,0.1,0.16,-0.32,-0.17,0.22,0.24,-0.16,0.89,0.15,0.74,-0.07,-0.86,0.64,-0.22,-0.11,-0.19,-0.66,0.05,0.59,0.19,0.82,7165,3587,3578
1916,Calvin Booth,2000,-0.15,0.11,-0.56,0.38,-0.71,0.07,1.27,-0.28,-0.47,0.52,0.28,0.23,-0.03,-0.64,-0.02,0.2,-0.19,0.01,-0.1,-0.21,-0.11,-0.14,0.07,-0.07,0.14,0.01,0.3,-0.53,-0.23,-0.01,-0.07,0.36,0.12,-0.64,0.49,0.08,554,274,280
1051,Dean Garrett,2000,-1.2,-0.69,-1.01,-0.01,-1.13,0.07,2.14,-0.16,0.54,-0.27,-0.03,-0.24,0.29,1.03,0.24,0.08,0.14,0.48,0.25,-0.56,0.08,0.3,-0.36,0.17,-0.54,0.1,-1.03,0.8,-0.23,0.18,0.43,-1.46,-0.09,0.89,0.02,-0.26,2315,1159,1156
1897,Metta World Peace,2000,-1.26,-0.24,1.36,-1.15,-0.15,-0.4,-1.23,-0.61,-1.42,-0.31,0.46,-0.77,-0.5,1.2,0.2,-0.17,0.65,0.12,0.29,0.06,-0.19,-0.37,0.61,-0.03,0.63,-0.04,-2.0,1.77,-0.24,0.06,-0.61,-1.4,0.49,1.28,-0.81,0.57,8195,4073,4122
431,Shawn Kemp,2000,0.72,0.52,1.77,-0.53,-0.82,0.85,-0.94,-0.85,0.82,-1.25,-0.25,-1.0,-0.0,-0.62,-0.26,-0.28,-0.1,0.31,-0.03,-0.03,0.0,-0.54,0.31,0.29,0.02,0.43,-0.76,0.53,-0.24,0.17,-0.22,-0.54,0.5,0.03,-1.25,0.74,9995,5010,4985
1509,Kelvin Cato,2000,0.32,0.15,0.77,0.34,0.66,0.04,-1.42,-0.6,-1.45,-0.85,-0.03,-0.82,-0.64,1.19,0.29,1.01,0.18,0.17,0.16,-1.19,0.03,0.42,-0.49,-0.53,0.04,0.28,-1.26,1.02,-0.24,-0.05,-0.64,-0.62,-0.07,1.1,-1.49,-0.21,6055,3006,3049
213,Antonio Davis,2000,0.46,-0.19,-0.59,-0.32,-0.55,0.45,1.15,0.8,1.84,-0.26,-0.44,0.18,0.13,-0.29,0.21,-0.3,0.32,-0.0,-0.0,0.3,-0.34,-0.43,-0.22,0.12,-0.34,0.22,-0.27,0.01,-0.26,-0.3,0.26,-0.54,0.39,-0.38,-0.13,0.0,9840,4917,4923
361,Clifford Robinson,2000,0.5,0.19,0.08,0.37,1.7,-0.12,-1.79,-0.01,2.33,-0.05,-0.61,0.56,-0.62,0.69,-0.09,-0.25,0.56,-0.35,-0.09,0.6,0.58,0.09,-0.01,-0.14,0.13,-0.16,-0.54,0.28,-0.26,-0.61,-0.61,0.07,-0.4,0.68,-0.67,-0.17,12182,6105,6077
1887,Wally Szczerbiak,2000,0.35,-0.78,-1.44,0.39,-0.92,-0.11,2.35,1.46,2.28,1.0,0.71,0.3,-0.65,-0.84,0.1,-0.01,0.08,0.25,-0.18,-0.24,-0.24,-0.2,0.19,0.27,-0.08,0.24,0.22,-0.48,-0.26,-0.55,0.09,0.12,0.76,-1.23,0.35,0.43,8511,4265,4246
952,Antoine Walker,2000,-0.12,0.01,2.56,-0.85,1.0,-0.37,-3.56,-0.23,-0.01,1.01,0.61,0.4,0.57,-1.6,-0.51,-0.91,-0.4,0.37,-0.13,0.54,-0.45,-0.31,0.07,0.12,-0.05,0.13,0.76,-1.03,-0.26,-0.32,-0.21,0.98,0.48,-1.51,1.58,0.2,11733,5865,5868
