nba_id,player_name,Latest_Year,Pos2,Defensive_Role,current_OffPoss,current_Minutes,current_GamesPlayed,window_OffPoss,window_Minutes,factor_off_poss,factor_def_poss,factor_possessions,pure_off,pure_def,pure_net,hybrid_off,hybrid_def,hybrid_net,hybrid_delta_off,hybrid_delta_def,hybrid_delta_net,off_resid,def_resid,actual_oTS,actual_oTOV,actual_oREB,actual_dTS,actual_dTOV,actual_dREB,box_oTS,box_oTOV,box_oREB,box_dTS,box_dTOV,box_dREB,hybrid_oTS,hybrid_oTOV,hybrid_oREB,hybrid_dTS,hybrid_dTOV,hybrid_dREB,prior_weight_oTS,prior_weight_oTOV,prior_weight_oREB,prior_weight_dTS,prior_weight_dTOV,prior_weight_dREB,hybrid_shift_oTS,hybrid_shift_oTOV,hybrid_shift_oREB,hybrid_shift_dTS,hybrid_shift_dTOV,hybrid_shift_dREB
1630639,A.J. Lawson,2026,SG,Chaser,215.0,110.0,14.0,2171.0,1015.0,2171,2160,4331,,,-2.23,,,,,,,,,-2.01,0.47,0.27,-1.24,-0.33,0.1,-1.443477150984429,0.10873413438627805,0.40076102594880036,-0.7707071466184658,-0.3007214256778733,-0.1976420207671475,-1.7383515468637873,0.3223838740341643,0.28350279078364315,-1.0476668633682238,-0.32449650858606643,0.023288138977539296,0.4795013186286262,0.40860800871697084,0.10326311441553077,0.4098360655737705,0.18796992481203006,0.25773195876288657,0.27164845313621244,-0.14761612596583568,0.013502790783643137,0.1923331366317762,0.005503491413933581,-0.0767118610224607
1631260,AJ Green,2026,SG,Chaser,3515.0,1724.0,58.0,8885.0,4342.0,9259,9241,18500,-0.608494,-0.0594847,1.58,-0.7259085874836068,-0.26046990798483205,-0.9863784954684388,-0.11741458748360678,-0.20098520798483205,-2.566378495468439,-0.9584940000000001,-1.3594847,1.25,0.24,-1.14,0.7,0.16,0.44,0.6247135209263632,0.1113528024988536,-0.6989972859935872,-0.2133574458218027,-0.3644692487685167,-0.17960833627722086,1.1389268178215406,0.22206424423722282,-1.12840564954237,0.572447987270021,0.13307929120375134,0.3934875135413957,0.17763566924238386,0.1394181615391765,0.026290882322010725,0.13965180150823944,0.0513294322964788,0.07506756080472425,-0.1110731821784594,-0.017935755762777172,0.01159435045762991,-0.12755201272997896,-0.026920708796248666,-0.046512486458604285
1642358,AJ Johnson,2026,SG,Chaser,652.0,319.0,35.0,1965.0,957.0,1884,1877,3761,,,-3.86,,,,,,,,,-2.95,-0.06,0.27,0.08,-0.56,-0.04,-2.478887652730066,-0.17007329128077936,0.34562783454134755,-0.8678509043368416,-0.6394360680368948,-0.23495736583393945,-2.70740867802784,-0.10879135251807595,0.27885986815151687,-0.34101757669684996,-0.5767093117452451,-0.09565969713568884,0.5149330587023687,0.4432624113475177,0.11715089034676664,0.4441812259401836,0.2103491796381994,0.2854967643700038,0.24259132197216005,-0.04879135251807595,0.008859868151516848,-0.42101757669684997,-0.016709311745245037,-0.055659697135688836
203932,Aaron Gordon,2026,PF,Helper,1348.0,663.0,24.0,20842.0,10222.0,24637,24593,49230,0.566484,-0.804272,3.09,0.6017791566092205,-0.9547352106781064,-0.35295605406888586,0.03529515660922056,-0.15046321067810642,-3.442956054068886,-0.11351600000000006,-3.934272,0.21,-0.09,0.56,2.69,-0.48,0.92,0.4453972136946307,0.23303552151970627,0.46858748119284943,0.5281111639712519,-0.4227273022995968,-0.003316543496517922,0.22767445385701324,-0.0714610214531293,0.5590817242053366,2.565720183419188,-0.47885879134219894,0.8926753972449044,0.0750835304276007,0.05738990702835062,0.010045405231647044,0.05748668225194497,0.01992587574223887,0.0295939707216983,0.017674453857013245,0.0185389785468707,-0.0009182757946634146,-0.12427981658081189,0.0011412086578010405,-0.02732460275509563
1628988,Aaron Holiday,2026,PG,Chaser,1061.0,532.0,40.0,11611.0,5635.0,11512,11517,23029,-1.34883,0.9879269999999999,0.09,-1.33436928180552,0.7391917100587979,-0.595177571746722,0.014460718194480027,-0.24873528994120198,-0.685177571746722,-0.7288300000000001,-1.432073,-1.16,0.56,-0.02,1.7,0.48,0.24,-0.7332409096975042,0.07667844429782117,0.30979421596458534,-0.13287733063006715,0.2261612385146786,-0.20102299773024307,-1.0968325798841776,0.5042835587493646,-0.012990260670706823,1.4887903513908656,0.46943834727946565,0.21303601138846642,0.14801657785671996,0.1152782047340916,0.021254888624383607,0.11523392486748099,0.04160772239327619,0.061139642944485206,0.06316742011582233,-0.05571644125063546,0.007009739329293177,-0.21120964860913438,-0.010561652720534331,-0.026963988611533568
1630174,Aaron Nesmith,2026,SG,Wing Stopper,2177.0,1034.0,35.0,14985.0,7211.0,17363,17339,34702,-0.398629,-0.501611,0.96,-0.5401864931375537,-0.4916600416111627,-1.0318465347487165,-0.14155749313755372,0.009950958388837305,-1.9918465347487164,-1.7086290000000002,-0.751611,1.19,0.14,-0.02,0.33,0.01,-0.09,-0.01083566760235588,-0.09941663153250502,0.08674530803354424,0.4207219568297228,0.15369408579102742,-0.12135516210270963,1.065965948706052,0.120961408720842,-0.018484850564447507,0.337223469146164,0.014027526368939612,-0.09130003712626636,0.10328977947632081,0.07952075491703335,0.014194061204791915,0.07962206061892882,0.028028476932563485,0.041461661783404276,-0.12403405129394796,-0.01903859127915801,0.0015151494355524937,0.007223469146164008,0.0040275263689396115,-0.0013000371262663624
1630598,Aaron Wiggins,2026,SG,Helper,2436.0,1180.0,50.0,13715.0,6658.0,14356,14469,28825,1.04272,-0.282246,0.7,0.9256617497110682,-0.3779829332411623,0.5476788164699059,-0.11705825028893191,-0.09573693324116228,-0.15232118353009405,0.3027200000000001,-0.522246,0.74,0.28,-0.28,1.32,-0.06,-1.02,0.02504076460701199,-0.1043040795528428,0.11273566818726419,-0.21441732925148513,0.1528773956549322,-0.1822785356057918,0.6525752952564211,0.24364429116238245,-0.2732778367077355,1.1758691218061728,-0.052889391554047295,-0.9787166634932877,0.12227928588897041,0.09460141271442987,0.017116253594413256,0.0939319932368965,0.03340236488743403,0.04928050463236743,-0.08742470474357888,-0.03635570883761757,0.006722163292264549,-0.1441308781938273,0.007110608445952703,0.04128333650671234
1642846,Ace Bailey,2026,SG,Unknown,3242.0,1534.0,57.0,3242.0,1534.0,3245,3219,6464,,,-4.1,,,,,,,,,-2.3,0.19,0.37,-2.07,-0.1,-0.66,-0.901421912126113,-0.11792599584960592,0.5097185768673272,-0.2747771191602427,-0.33770485447025267,-0.3236037633398754,-1.7667004431367443,0.09265774630676314,0.3799941757415828,-1.4993633563764281,-0.131958168119152,-0.5964330618556076,0.3813155386081983,0.31612223393045313,0.0715307582260372,0.3178639542275906,0.13444474321054048,0.1889644746787604,0.5332995568632555,-0.09734225369323686,0.00999417574158279,0.5706366436235717,-0.031958168119152,0.0635669381443924
1641737,Adem Bona,2026,C,Helper,1901.0,922.0,54.0,3745.0,1824.0,3828,3828,7656,-3.01757,-1.47376,-0.49,-3.3993759742360137,-1.4614645180470163,-4.86084049228303,-0.3818059742360136,0.012295481952983689,-4.37084049228303,-2.5075700000000003,-1.1937600000000002,-0.33,-0.86,0.68,0.02,0.56,-0.86,-1.034592258686902,-1.3270519715162645,0.5410126502003436,0.27413762443068757,-0.22540467679037565,-0.6678276576154412,-0.5717955589179486,-0.9914898568457952,0.6714794415277308,0.09154775462575664,0.46926470924325614,-0.828516981916029,0.34317089910775567,0.28153153153153154,0.061304561059342816,0.28153153153153154,0.11552680221811461,0.16382699868938402,-0.24179555891794863,-0.13148985684579517,-0.00852055847226929,0.07154775462575663,-0.09073529075674391,0.031483018083971026
1642876,Adou Thiero,2026,SG,Unknown,204.0,102.0,18.0,204.0,102.0,204,205,409,,,-1.18,,,,,,,,,-0.21,0.1,-0.06,-1.17,0.31,-0.13,-1.8230049237124923,-0.29632640530994847,0.8089740990316651,-1.3665072388367878,0.6284472479801572,-0.32547699521232787,-1.6737068273253108,-0.24887887791368704,0.41850996642712834,-1.3428802687713675,0.5358491120426647,-0.2835159648264355,0.9074410163339383,0.8802816901408451,0.5506607929515418,0.8797653958944281,0.7092198581560284,0.7853403141361257,-1.4637068273253109,-0.34887887791368705,0.47850996642712834,-0.17288026877136753,0.22584911204266472,-0.15351596482643548
1642349,Ajay Mitchell,2026,PG,Point of Attack,2381.0,1129.0,43.0,3604.0,1726.0,3799,3770,7569,-2.01335,0.15537,2.01,-2.0370754428750266,0.04194007764140162,-1.995135365233625,-0.023725442875026648,-0.11342992235859839,-4.005135365233625,-1.76335,-2.71463,0.31,0.49,-1.05,1.23,0.91,0.73,0.16751850796306889,0.3329752711800139,0.08151614836050709,1.4136939903414385,0.8171928782941266,-0.20321363315420501,0.2608599786042659,0.4455506523438424,-0.980136073823135,1.2822848169852292,0.8991326555379541,0.5751526051182182,0.3448870494912916,0.28307227778826194,0.06174364040503828,0.2846299810246679,0.117096018735363,0.16592920353982302,-0.04914002139573409,-0.0444493476561576,0.0698639261768651,0.05228481698522924,-0.010867344462045958,-0.15484739488178179
201143,Al Horford,2026,C,Helper,1841.0,894.0,41.0,18182.0,9001.0,22560,22493,45053,-0.378567,0.404001,2.11,-0.4353232154756074,0.4147110329621679,-0.020612182513439492,-0.056756215475607386,0.010710032962167881,-2.130612182513439,-0.598567,-0.40599900000000005,0.87,0.31,-0.96,1.02,-0.69,0.48,0.03531815130657273,0.3941531622957686,-0.4154648437995488,1.1621531700445535,-0.4796704643725259,0.39474760515403107,0.8020291654158447,0.31524645650223,-0.954031837393682,1.0288871652176397,-0.6854262267727682,0.4772490945172965,0.08143322475570032,0.06234413965087282,0.010960105217010083,0.06251823448505814,0.021745748706127953,0.03226777954653014,-0.06797083458415532,0.00524645650222999,0.005968162606317939,0.008887165217639659,0.004573773227231737,-0.0027509054827034585
