team,alpha,off,def,net_rapm,o_shot_value,o_rim_value,o_rim_freq,o_rim_fg,o_mid_value,o_mid_freq,o_mid_fg,o_three_value,o_three_freq,o_three_fg,o_ft,o_ft_freq,o_ft_severity,o_tov_value,o_sc_clean,oFC,oDISPLAY_SUM,oRESID,o_badpass_tov_value,o_scoring_tov_value,o_tov_loss_split,o_assist_points,o_rim_assist,d_shot_value,d_rim_value,d_rim_freq,d_rim_fg,d_mid_value,d_mid_freq,d_mid_fg,d_three_value,d_three_freq,d_three_fg,d_ft,d_ft_freq,d_ft_severity,d_tov_value,d_sc_clean,dFC,dDISPLAY_SUM,dRESID,d_badpass_tov_value,d_scoring_tov_value,d_tov_loss_split,d_assist_points,d_rim_assist,n_shot_value,n_rim_value,n_rim_freq,n_rim_fg,n_mid_value,n_mid_freq,n_mid_fg,n_three_value,n_three_freq,n_three_fg,n_ft,n_ft_freq,n_ft_severity,n_tov_value,n_sc_clean,nDISPLAY_SUM,RESID,n_badpass_tov_value,n_scoring_tov_value,n_tov_loss_split,n_assist_points,n_rim_assist,possessions,off_poss,def_poss
ORL,25.0,-3.063,3.122,0.059,-3.241,-0.043,0.294,-0.337,-1.026,0.134,-1.16,-2.171,-0.003,-2.168,0.504,0.682,-0.178,-0.411,0.191,-3.148,-2.957,-0.106,0.124,-0.536,-0.411,-4.85,0.446,0.761,0.248,-0.099,0.347,0.114,0.249,-0.134,0.399,-0.002,0.401,-0.983,-0.639,-0.343,1.738,1.666,1.517,3.183,-0.061,0.182,1.556,1.738,6.681,0.4,-2.479,0.204,0.195,0.01,-0.911,0.383,-1.294,-1.772,-0.005,-1.768,-0.478,0.043,-0.521,1.327,1.857,0.226,-0.167,0.306,1.02,1.327,1.831,0.846,51129,25567,25562
DET,25.0,-1.271,1.288,0.018,-1.082,0.206,0.471,-0.266,-0.651,-0.137,-0.514,-0.636,0.015,-0.651,0.248,0.493,-0.245,-0.95,0.613,-1.784,-1.171,-0.099,-0.337,-0.613,-0.95,-2.085,1.11,1.578,1.533,0.025,1.508,-0.311,0.045,-0.356,0.356,-0.001,0.357,-0.941,-0.919,-0.022,0.643,-0.259,1.281,1.022,0.266,-0.144,0.787,0.643,4.267,0.952,0.497,1.739,0.496,1.243,-0.962,-0.092,-0.87,-0.28,0.014,-0.294,-0.693,-0.426,-0.267,-0.307,0.355,-0.149,0.167,-0.481,0.174,-0.307,2.182,2.061,52371,26179,26192
IND,25.0,1.657,-1.804,-0.147,2.856,0.957,0.192,0.765,1.197,0.017,1.18,0.702,0.012,0.69,-0.309,-0.329,0.02,0.818,-1.562,3.365,1.803,-0.145,0.638,0.18,0.818,4.645,1.502,-1.154,-0.472,-0.387,-0.085,-1.072,0.007,-1.078,0.389,-0.005,0.394,-0.656,-0.954,0.298,-0.126,-0.028,-1.936,-1.963,0.159,-0.277,0.151,-0.126,5.131,-0.36,1.702,0.485,-0.195,0.68,0.125,0.023,0.102,1.091,0.007,1.084,-0.964,-1.283,0.319,0.692,-1.59,-0.16,0.013,0.361,0.331,0.692,9.777,1.142,56442,28227,28215
ATL,25.0,0.653,-1.115,-0.463,0.648,-0.313,-0.127,-0.186,0.545,-0.043,0.589,0.416,-0.002,0.418,-0.2,-0.269,0.069,0.05,0.278,0.498,0.776,-0.123,-0.756,0.805,0.05,3.353,0.56,-2.556,-0.79,-0.253,-0.536,-0.56,-0.182,-0.378,-1.207,-0.004,-1.202,-0.107,-0.037,-0.07,1.011,0.644,-1.653,-1.009,-0.107,0.622,0.389,1.011,-1.043,-0.784,-1.908,-1.103,-0.38,-0.723,-0.015,-0.225,0.21,-0.791,-0.006,-0.784,-0.308,-0.306,-0.001,1.06,0.922,-0.233,-0.23,-0.134,1.194,1.06,2.311,-0.224,50906,25444,25462
DAL,25.0,-0.21,-0.449,-0.659,-0.066,0.227,-0.161,0.388,-0.075,-0.408,0.333,-0.218,0.002,-0.22,-0.03,0.486,-0.516,0.592,-0.79,0.495,-0.295,0.085,0.28,0.311,0.592,-4.463,-0.218,0.281,0.288,-0.012,0.3,-0.345,0.267,-0.612,0.338,0.019,0.32,0.398,0.29,0.108,-1.078,-0.178,-0.398,-0.576,0.127,-0.577,-0.501,-1.078,-0.815,-0.228,0.215,0.515,-0.173,0.688,-0.421,-0.141,-0.279,0.12,0.021,0.1,0.368,0.776,-0.408,-0.486,-0.969,-0.871,0.212,-0.297,-0.189,-0.486,-5.278,-0.446,53197,26591,26606
MIL,25.0,0.526,-1.45,-0.924,2.825,0.779,-0.26,1.039,0.234,0.098,0.136,1.812,0.003,1.809,-0.556,-0.078,-0.478,0.349,-2.406,2.617,0.211,0.315,0.469,-0.12,0.349,0.397,-1.72,-0.391,0.211,0.262,-0.052,-0.359,0.159,-0.519,-0.242,0.007,-0.249,-0.003,0.205,-0.208,-1.647,0.673,-2.041,-1.368,-0.082,-0.949,-0.698,-1.647,-1.499,0.755,2.434,0.99,0.002,0.987,-0.126,0.257,-0.383,1.57,0.01,1.56,-0.56,0.127,-0.686,-1.298,-1.733,-1.157,0.233,-0.479,-0.818,-1.298,-1.103,-0.966,50503,25254,25249
PHI,25.0,-0.463,-0.688,-1.15,-2.6,-1.127,0.137,-1.264,-0.297,0.018,-0.316,-1.177,-0.012,-1.165,0.902,0.452,0.45,1.035,0.094,-0.664,-0.57,0.107,1.174,-0.139,1.035,-5.185,-0.63,-0.662,-0.647,-0.241,-0.406,0.024,-0.322,0.345,-0.038,0.014,-0.053,-0.288,-0.327,0.039,1.158,-0.936,0.209,-0.727,0.039,0.129,1.029,1.158,-1.735,-0.997,-3.262,-1.773,-0.104,-1.67,-0.274,-0.303,0.03,-1.215,0.003,-1.218,0.614,0.125,0.489,2.193,-0.842,-1.297,0.147,1.303,0.89,2.193,-6.92,-1.627,51145,25562,25583
SAC,25.0,0.053,-2.23,-2.177,-0.429,0.544,-0.162,0.706,-0.185,-0.611,0.426,-0.788,0.029,-0.817,-0.376,-0.206,-0.169,0.521,0.183,-0.284,-0.1,0.153,0.22,0.301,0.521,-0.043,-0.261,-2.777,-0.548,-0.05,-0.498,0.009,-0.071,0.08,-2.238,0.003,-2.241,-0.27,-0.27,0.0,-0.165,1.225,-3.212,-1.987,-0.243,-0.229,0.064,-0.165,-2.298,-0.135,-3.206,-0.004,-0.212,0.208,-0.176,-0.682,0.506,-3.026,0.032,-3.057,-0.646,-0.477,-0.169,0.356,1.408,-2.088,-0.089,-0.009,0.365,0.356,-2.341,-0.395,48430,24189,24241
TOR,25.0,-2.355,-0.372,-2.727,-1.556,0.534,0.324,0.209,-0.913,-0.34,-0.573,-1.176,0.008,-1.184,-0.656,-0.054,-0.602,-0.297,0.119,-2.508,-2.389,0.034,-0.774,0.477,-0.297,3.833,1.979,-0.623,-1.073,-0.087,-0.986,-0.021,-0.144,0.123,0.471,-0.003,0.474,-0.176,-0.383,0.207,1.032,-0.559,0.233,-0.325,-0.047,0.392,0.641,1.032,0.96,-0.238,-2.179,-0.539,0.237,-0.776,-0.934,-0.484,-0.45,-0.705,0.005,-0.711,-0.831,-0.436,-0.395,0.735,-0.44,-2.715,-0.013,-0.382,1.118,0.735,4.793,1.742,50013,25010,25003
CHI,25.0,-0.999,-1.814,-2.813,0.033,-0.6,0.188,-0.788,0.825,0.272,0.553,-0.192,-0.019,-0.173,-0.419,-0.398,-0.021,0.139,-0.858,-0.247,-1.105,0.106,0.094,0.045,0.139,2.051,-0.765,-0.487,-0.334,-0.098,-0.236,-0.42,-0.255,-0.165,0.266,-0.007,0.273,0.43,0.181,0.249,-1.109,-0.267,-1.166,-1.433,-0.381,-0.33,-0.779,-1.109,-3.71,-0.963,-0.454,-0.934,0.09,-1.024,0.406,0.017,0.389,0.075,-0.026,0.1,0.011,-0.217,0.227,-0.97,-1.125,-2.538,-0.275,-0.236,-0.734,-0.97,-1.659,-1.728,49205,24598,24607
MEM,25.0,-2.21,-0.614,-2.824,-1.54,-0.931,-0.359,-0.573,-0.121,-0.233,0.111,-0.487,0.003,-0.49,0.032,-0.02,0.051,-0.949,0.072,-2.458,-2.385,0.176,-0.203,-0.746,-0.949,0.316,-1.163,-0.007,0.091,0.046,0.045,0.038,-0.176,0.215,-0.137,-0.0,-0.136,-0.187,-0.289,0.102,0.774,-1.076,0.58,-0.496,-0.118,0.386,0.388,0.774,-1.299,-0.16,-1.547,-0.84,-0.312,-0.528,-0.083,-0.409,0.326,-0.624,0.003,-0.627,-0.155,-0.309,0.154,-0.175,-1.004,-2.881,0.057,0.183,-0.358,-0.175,-0.982,-1.322,50055,25013,25042
NOP,25.0,-1.78,-1.79,-3.569,-2.6,-0.9,0.547,-1.448,-0.92,0.066,-0.986,-0.78,0.002,-0.782,-0.072,0.305,-0.377,0.196,0.632,-2.476,-1.844,0.064,0.04,0.156,0.196,-2.684,0.377,-1.538,-1.136,-0.081,-1.055,-1.038,-0.646,-0.392,0.636,0.007,0.629,0.269,0.085,0.185,-0.22,-0.314,-1.489,-1.803,0.013,0.124,-0.345,-0.22,-3.53,-0.92,-4.138,-2.036,0.466,-2.502,-1.958,-0.58,-1.378,-0.144,0.009,-0.153,0.198,0.39,-0.192,-0.025,0.318,-3.647,0.078,0.165,-0.189,-0.025,-6.214,-0.542,49431,24762,24669
POR,25.0,-4.007,-0.035,-4.042,-4.646,-1.738,0.375,-2.114,-0.757,0.568,-1.325,-2.15,-0.018,-2.132,-0.146,0.106,-0.252,-1.936,2.575,-6.728,-4.153,0.146,-0.994,-0.942,-1.936,-5.991,-0.862,-0.121,-0.542,-0.055,-0.487,-0.039,0.198,-0.237,0.461,0.002,0.459,-0.299,-0.406,0.107,0.931,-0.361,0.512,0.151,-0.186,0.188,0.743,0.931,0.869,-0.426,-4.766,-2.28,0.32,-2.6,-0.796,0.766,-1.562,-1.69,-0.016,-1.674,-0.445,-0.3,-0.144,-1.005,2.214,-4.002,-0.04,-0.806,-0.199,-1.005,-5.122,-1.288,49519,24761,24758
CHA,25.0,-3.065,-2.136,-5.202,-3.5,-1.439,-0.264,-1.175,-1.539,-0.057,-1.482,-0.522,-0.016,-0.506,-0.338,-0.653,0.315,-0.93,1.471,-4.768,-3.297,0.232,-0.443,-0.488,-0.93,-0.947,-1.167,-1.256,-0.593,0.034,-0.627,-0.551,-0.086,-0.464,-0.112,-0.003,-0.11,0.135,0.359,-0.224,-0.805,0.064,-1.925,-1.861,-0.275,-0.33,-0.474,-0.805,-2.998,-0.391,-4.756,-2.032,-0.23,-1.801,-2.09,-0.144,-1.946,-0.634,-0.018,-0.616,-0.203,-0.294,0.091,-1.735,1.535,-5.159,-0.043,-0.773,-0.962,-1.735,-3.945,-1.558,47440,23712,23728
BKN,25.0,-4.704,-2.017,-6.722,-3.497,-1.563,0.027,-1.59,-0.783,0.456,-1.239,-1.151,-0.004,-1.147,-0.236,-0.131,-0.106,-0.754,-0.346,-4.487,-4.834,0.129,-0.023,-0.731,-0.754,-0.175,-0.635,-1.992,-0.981,-0.26,-0.721,-0.199,-0.215,0.016,-0.812,-0.01,-0.801,-0.457,-0.501,0.044,0.375,0.15,-2.073,-1.924,-0.094,0.457,-0.081,0.375,-1.676,-1.079,-5.489,-2.544,-0.233,-2.311,-0.982,0.241,-1.223,-1.963,-0.014,-1.949,-0.693,-0.632,-0.061,-0.379,-0.196,-6.757,0.035,0.434,-0.812,-0.379,-1.851,-1.714,47326,23664,23662
UTA,25.0,-1.43,-5.869,-7.298,-1.216,-0.056,0.091,-0.146,-0.219,0.339,-0.558,-0.941,-0.001,-0.941,0.626,0.189,0.437,-1.605,0.697,-2.196,-1.499,0.069,-0.521,-1.084,-1.605,0.905,0.767,-3.318,-1.03,-0.017,-1.013,-1.1,-0.437,-0.663,-1.188,0.01,-1.197,0.019,0.052,-0.033,-1.486,-0.63,-4.785,-5.414,-0.454,-0.515,-0.971,-1.486,-7.813,-1.159,-4.534,-1.086,0.073,-1.159,-1.319,-0.098,-1.221,-2.129,0.009,-2.138,0.644,0.241,0.403,-3.091,0.067,-6.913,-0.385,-1.036,-2.055,-3.091,-6.907,-0.392,49129,24548,24581
WAS,25.0,-5.711,-5.087,-10.799,-2.699,-0.652,0.069,-0.721,-0.77,-0.004,-0.767,-1.277,0.002,-1.278,-0.727,-0.563,-0.164,-0.733,-1.503,-4.16,-5.663,-0.048,-0.523,-0.21,-0.733,-2.947,-0.227,-1.783,-0.899,-0.364,-0.535,-0.532,-0.254,-0.278,-0.352,0.002,-0.354,-0.481,-0.411,-0.071,-0.681,-1.878,-2.945,-4.823,-0.264,0.049,-0.731,-0.681,-3.35,-1.821,-4.482,-1.551,-0.295,-1.256,-1.302,-0.258,-1.045,-1.629,0.004,-1.633,-1.209,-0.974,-0.235,-1.414,-3.381,-10.486,-0.312,-0.474,-0.941,-1.414,-6.297,-2.048,49393,24695,24698
