player_id,player_name,off,def,net_rapm,oRIM_FREQ,dRIM_FREQ,oRIM_FG,dRIM_FG,oMID_FG,dMID_FG,oTHREE_FREQ,dTHREE_FREQ,oTHREE_FG,dTHREE_FG,oFT,dFT,oTOV_VALUE,dTOV_VALUE,oSC,dSC,vanilla_off,vanilla_def,vanilla_net,delta_net,possessions
1629678,Admiral Schofield,-1.736,0.591,-2.327,-0.336,0.192,-0.365,-0.551,-0.402,0.115,0.104,-0.036,-0.16,-0.038,-0.163,-0.406,-0.059,-0.025,-0.355,0.158,-1.559,0.281,-1.84,-0.487,4099
1641707,Taylor Hendricks,-1.606,0.721,-2.327,-0.16,-0.663,0.488,-0.412,-0.669,0.052,0.113,-0.057,-0.346,-0.113,-0.556,-0.227,-0.525,0.971,0.049,-0.272,-1.622,0.855,-2.477,0.15,8549
1631097,Bennedict Mathurin,-1.269,1.065,-2.334,0.465,-0.46,-1.251,0.489,-0.816,-0.207,-0.265,0.064,-0.313,0.063,1.711,-0.318,-0.612,-0.091,-0.188,-0.605,-1.24,0.71,-1.95,-0.384,33083
1629234,Drew Eubanks,-2.58,-0.24,-2.34,0.023,0.202,-0.093,0.63,-0.381,0.021,-0.385,-0.083,-0.395,-0.128,-0.28,0.295,-0.806,-0.265,-0.263,-0.432,-2.666,0.81,-3.476,1.136,24877
1641803,Tristen Newton,-1.334,1.012,-2.346,-0.057,-0.107,-0.5,-0.562,-0.564,0.042,0.006,0.008,-0.09,-0.027,-0.218,-0.128,-0.096,-0.183,0.185,-0.055,-0.634,0.347,-0.981,-1.365,134
1641787,Tosan Evbuomwan,-2.025,0.325,-2.35,0.063,-0.112,-0.433,-0.298,-0.628,0.091,-0.052,-0.051,-0.582,0.013,-0.355,-0.203,-0.369,0.065,0.331,0.17,-1.977,-0.027,-1.95,-0.4,4165
1626220,Royce O'Neale,-1.987,0.366,-2.353,-0.495,-0.083,-0.487,0.049,-0.69,0.184,0.551,-0.008,0.69,0.009,0.016,-0.077,-0.163,-0.233,-1.409,-0.207,-1.247,0.356,-1.603,-0.75,56781
1641745,Adam Flagler,-2.433,-0.076,-2.357,-0.505,0.06,-0.833,0.004,-0.432,0.06,0.14,-0.042,-0.314,0.042,-0.695,-0.087,-0.059,-0.021,0.265,0.06,-1.942,-0.28,-1.662,-0.695,900
203458,Alex Len,-3.131,-0.773,-2.358,-0.82,0.488,-0.829,0.17,-0.473,0.043,0.097,-0.075,0.028,-0.026,-0.878,0.172,-0.342,-0.201,0.086,0.202,-2.153,-0.075,-2.078,-0.28,11358
1629642,Nassir Little,-1.433,0.929,-2.362,-0.311,-0.321,-0.173,-0.173,-0.516,0.038,0.021,0.011,-0.072,-0.087,-0.107,-0.122,-0.195,-0.356,-0.08,0.081,-1.146,0.887,-2.033,-0.329,12886
1630579,Jericho Sims,-1.751,0.625,-2.376,-0.86,0.522,0.717,-0.072,0.232,0.014,-0.151,-0.203,-0.139,-0.199,-0.806,0.179,-1.699,-1.13,0.955,0.264,-1.521,1.329,-2.85,0.474,15753
202694,Marcus Morris Sr.,-0.634,1.743,-2.377,-0.671,-0.076,-0.062,-1.361,-0.207,0.032,-0.06,0.098,-0.024,-0.106,0.78,-0.194,0.295,-0.519,-0.685,0.383,-0.85,1.045,-1.895,-0.482,26067
1642384,Isaiah Crawford,-2.574,-0.187,-2.387,-0.03,0.035,-0.71,-0.248,-0.553,0.139,-0.043,-0.02,-0.36,-0.059,-0.813,0.181,-0.158,-0.009,0.093,0.168,-1.585,-0.038,-1.547,-0.84,566
1630621,Hunter Dickinson,-1.203,1.186,-2.389,-0.063,0.171,-0.372,-0.303,-0.215,-0.106,-0.124,0.051,-0.396,-0.018,-0.345,-0.453,-0.54,-0.753,0.852,0.225,-0.67,0.703,-1.373,-1.016,188
1643158,Andersson Garcia,-2.371,0.026,-2.397,-0.358,0.096,-0.773,0.175,-0.26,-0.186,-0.031,-0.013,-0.355,-0.053,-0.47,-0.346,-1.11,0.05,0.986,0.251,-1.165,0.337,-1.502,-0.895,714
1628427,Vlatko Cancar,-1.838,0.578,-2.416,-0.006,-0.25,0.129,-0.784,-0.723,0.296,0.104,0.072,-0.315,-0.008,-0.192,-0.067,-0.337,-0.004,-0.498,0.167,-2.181,-0.087,-2.094,-0.322,6357
201569,Eric Gordon,-1.126,1.295,-2.421,0.426,-0.268,-0.586,-0.586,0.047,0.416,0.162,0.075,0.106,-0.098,0.219,-0.141,-0.799,-0.327,-0.701,-0.366,-0.576,0.648,-1.224,-1.197,30683
1642848,Tre Johnson,-0.111,2.313,-2.424,-0.385,-0.315,-0.026,-0.644,0.39,-0.025,-0.044,0.063,-0.144,0.084,-0.276,-0.598,0.641,-0.597,-0.267,-0.281,-0.241,0.758,-0.999,-1.425,6140
202709,Cory Joseph,-1.642,0.786,-2.428,-0.529,0.034,-0.75,-1.346,-0.528,0.158,0.112,0.08,0.116,-0.019,-0.285,-0.141,0.251,0.18,-0.029,0.268,-0.804,0.339,-1.143,-1.285,21425
1630658,Colin Castleton,-1.884,0.545,-2.429,-0.188,0.12,-1.145,-0.026,-0.228,-0.01,-0.181,-0.063,-0.608,0.039,-0.152,-0.108,-0.825,-0.419,1.443,-0.078,-1.857,0.158,-2.015,-0.414,2136
1631107,Nikola Jovic,-1.958,0.472,-2.43,-0.151,0.065,-0.208,-0.372,0.372,0.19,0.306,-0.058,-0.358,0.293,0.153,0.374,-0.392,-0.126,-1.68,-0.838,-1.998,-0.619,-1.379,-1.051,13421
1631116,Patrick Baldwin Jr.,-3.235,-0.798,-2.437,-0.086,0.012,-0.64,-0.108,-1.345,0.101,0.169,-0.064,-0.059,-0.08,-0.979,0.108,0.11,0.149,-0.405,0.68,-1.447,-0.226,-1.221,-1.216,3988
203924,Jerami Grant,-0.489,1.977,-2.466,0.535,-0.431,-0.908,-0.16,-0.572,-0.008,-0.039,0.212,0.06,-0.137,1.136,-0.524,-0.306,-0.215,-0.395,-0.714,-0.443,1.588,-2.031,-0.435,43886
203914,Gary Harris,-2.105,0.365,-2.47,-0.141,-0.063,-0.4,-0.823,-0.328,-0.139,0.167,0.041,-0.021,-0.114,-0.334,-0.053,-0.461,0.681,-0.587,0.105,-1.31,0.307,-1.617,-0.853,27975
1642505,Alex Ducas,-1.483,0.996,-2.479,-0.286,-0.017,-0.378,-0.476,-0.417,0.01,0.066,-0.022,-0.245,0.017,-0.414,-0.363,0.009,-0.132,0.182,-0.013,-1.346,0.27,-1.616,-0.863,530
1627752,Taurean Prince,-0.824,1.663,-2.487,-0.132,-0.173,-0.422,-0.485,0.124,-0.255,0.168,-0.044,0.797,-0.186,-0.261,-0.147,0.047,0.138,-1.145,-0.511,-0.021,1.503,-1.524,-0.963,35456
1629669,Jaylen Nowell,-0.923,1.567,-2.49,0.211,-0.471,-0.559,-0.455,-0.088,0.041,-0.06,0.065,-0.371,-0.042,0.071,-0.553,0.228,0.156,-0.355,-0.308,-1.444,0.804,-2.248,-0.242,14492
203082,Terrence Ross,-0.515,1.988,-2.503,-0.342,-0.33,-0.149,-0.714,0.218,-0.15,-0.004,0.049,-0.309,0.027,0.427,-0.489,0.238,-0.388,-0.594,0.007,-1.041,0.872,-1.913,-0.59,17200
1642882,Julian Reese,-1.071,1.437,-2.508,0.328,-0.624,-0.611,-0.967,-0.34,-0.031,-0.477,0.08,-0.261,-0.105,-0.21,0.005,-1.211,-0.307,1.711,0.512,-0.356,1.203,-1.559,-0.949,1693
1641767,Ben Sheppard,-0.584,1.934,-2.518,-0.372,-0.422,-0.262,-0.778,0.12,-0.101,0.067,0.295,-0.635,0.127,-0.43,-0.98,0.686,-0.421,0.242,0.346,-0.516,0.652,-1.168,-1.35,16748
