player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
891,Charles Oakley,2000,-1.53,-0.23,-1.44,-1.99,-0.82,0.31,2.26,0.77,1.96,-0.89,-0.87,-0.02,1.08,0.26,0.17,0.54,0.41,-0.28,0.12,-0.26,0.04,1.52,0.09,-0.4,0.49,0.99,-1.87,1.25,-0.62,-0.62,0.46,-2.34,0.86,0.4,0.19,1.08,37939,18984,18955
1739,Ruben Patterson,2000,-0.21,-0.15,1.79,0.11,-1.13,-0.2,-0.66,-0.55,0.3,-1.32,-0.32,-1.0,1.26,0.15,0.52,0.59,-1.05,0.52,0.1,-1.11,0.02,-2.0,-0.27,-0.02,-0.26,-0.2,-0.05,-0.56,-0.62,-0.03,2.45,-2.51,-0.95,0.39,-0.06,-0.47,8862,4409,4453
690,Don Reid,2000,-1.37,-0.83,0.45,0.93,-0.36,-0.4,-0.1,-0.78,0.69,-0.44,-0.08,-0.36,-0.05,0.12,-0.47,0.93,0.37,0.39,-0.07,-1.31,-0.26,2.0,0.61,0.41,0.2,0.38,-1.94,1.29,-0.64,0.11,0.35,-2.29,-0.04,1.33,-0.49,0.99,10659,5296,5363
1916,Calvin Booth,2000,-0.48,0.06,-1.03,0.65,-1.07,-0.01,2.1,-0.58,-0.72,0.52,0.34,0.17,-0.01,-0.67,-0.07,0.42,-0.45,0.17,-0.1,-0.59,-0.02,-0.26,0.01,-0.1,0.1,-0.01,-0.04,-0.61,-0.65,-0.01,-0.02,-0.02,0.11,-0.72,0.51,0.0,554,274,280
1904,Devean George,2000,-1.39,-0.13,-1.05,-0.12,0.52,-0.16,0.53,-0.62,-1.9,-0.09,-0.06,-0.04,0.36,0.25,-0.74,-0.04,-0.1,0.12,0.08,-0.08,0.52,0.73,-0.35,-0.06,-0.3,0.19,-0.6,-0.06,-0.66,0.37,0.64,-1.25,0.25,-0.31,0.27,-0.16,1510,750,760
906,Haywoode Workman,2000,-0.15,-0.34,0.09,0.6,1.36,-0.22,-1.45,-0.0,2.1,0.11,0.29,-0.19,-0.02,-0.43,-0.42,0.09,-0.24,-0.71,0.26,0.62,-0.2,0.64,0.96,0.56,0.39,-0.14,-0.63,-0.05,-0.68,-1.01,0.04,-0.67,-0.04,-0.01,0.09,0.82,4685,2343,2342
187,Terry Cummings,2000,-0.38,-0.44,-1.57,-0.32,-2.04,-1.25,3.6,1.17,0.73,0.27,-0.06,0.32,0.41,-0.57,-0.58,0.51,-0.61,-0.05,0.02,-0.46,0.28,0.35,0.23,0.06,0.15,0.25,-0.46,-0.23,-0.69,-0.9,0.15,-0.61,-0.08,-0.16,0.68,0.48,14223,7150,7073
1666,Gerald Madkins,2000,-0.97,0.07,-0.84,0.29,0.0,-0.28,0.85,-0.51,-0.58,-0.22,0.25,-0.5,0.17,0.05,-0.13,0.58,-0.32,0.06,-0.06,-0.63,0.2,0.22,0.17,-0.08,0.25,-0.01,-1.04,0.34,-0.69,0.12,0.08,-1.12,0.28,0.06,-0.05,0.16,875,435,440
15,Eric Piatkowski,2000,-0.04,-0.25,0.63,-0.4,2.61,0.56,-3.24,-0.95,0.09,0.76,-0.17,0.92,-0.21,-1.07,-0.01,-1.49,-0.46,0.48,-0.07,1.01,-0.48,0.42,-0.17,0.14,-0.31,-0.74,1.25,-1.94,-0.7,0.77,0.02,1.23,-0.79,-1.16,0.55,-0.91,20623,10309,10314
57,Doug Christie,2000,0.79,0.43,0.88,-1.06,1.55,0.78,-2.42,-0.49,-0.29,0.28,0.65,-0.36,0.2,-1.23,0.34,-1.14,-0.68,-0.16,-0.53,1.3,-0.28,-2.4,0.27,0.48,-0.21,-0.77,0.21,-0.91,-0.7,-0.24,-0.46,0.67,0.16,-1.07,0.48,-0.5,38307,19160,19147
380,Tony Smith,2000,-1.1,-0.39,2.14,-2.71,1.16,0.66,-3.3,0.98,2.83,1.08,0.49,0.59,0.39,-0.58,0.01,-2.26,0.99,0.25,-0.15,2.01,-1.19,0.57,-0.07,-0.05,-0.03,-0.15,0.48,-1.18,-0.7,-0.27,-0.26,0.74,-0.79,-0.39,1.47,-0.22,5066,2514,2552
1478,Stevin Smith,2000,-1.2,-0.0,-0.46,0.2,-0.4,-0.26,0.87,-0.56,-0.82,0.43,0.22,0.2,0.14,-0.12,-0.23,0.34,-0.18,0.14,0.02,-0.48,0.03,0.04,-0.0,0.07,-0.08,-0.0,-0.57,-0.13,-0.7,0.05,0.07,-0.64,0.0,-0.13,0.57,-0.0,194,96,98
265,Harvey Grant,2000,-1.83,0.04,-2.02,0.28,-0.84,-0.12,2.85,-1.07,-1.21,1.25,0.47,0.77,-1.11,1.34,0.03,-0.74,0.41,0.02,0.54,0.72,0.33,2.83,-0.24,-0.23,-0.01,0.27,-1.64,0.93,-0.71,-0.39,-0.03,-1.62,-0.12,1.06,0.14,0.03,12403,6181,6222
1894,Corey Maggette,2000,0.24,0.08,0.75,-0.32,-1.45,0.07,0.71,0.32,-2.6,-1.22,0.18,-1.4,0.77,-0.56,-0.24,0.07,-0.58,0.4,0.37,-0.47,-0.26,-0.34,-0.36,-0.2,-0.16,-0.09,0.31,-1.02,-0.71,0.51,0.8,-0.49,-0.68,-0.34,-0.45,-0.45,5415,2703,2712
761,Matt Geiger,2000,-0.85,-0.08,0.69,0.77,-2.25,-0.96,1.55,-0.23,-0.41,-0.94,-0.97,0.04,0.79,-0.18,0.41,0.77,-1.21,-0.07,-0.38,-0.69,0.46,-0.57,-0.13,0.42,-0.56,0.41,-0.81,0.1,-0.71,0.19,1.16,-1.97,-0.07,0.17,-0.15,0.28,22568,11293,11275
1823,Makhtar N'diaye,2000,-0.6,-0.12,-0.96,0.28,-0.05,-0.19,1.02,-0.21,-0.65,0.06,-0.02,0.06,0.03,-0.27,-0.11,0.3,-0.3,0.13,-0.06,-0.43,0.1,-0.17,-0.04,-0.01,-0.05,0.04,-0.53,-0.2,-0.73,0.05,-0.01,-0.52,-0.02,-0.19,0.09,0.0,81,41,40
1093,Gaylon Nickerson,2000,-0.49,0.15,-0.68,0.19,-0.5,-0.06,1.18,-0.42,-0.9,0.01,0.24,-0.25,0.01,-0.07,-0.1,0.26,-0.35,0.05,0.03,-0.3,0.2,-0.1,0.03,0.04,-0.02,0.0,-0.74,0.01,-0.74,-0.23,0.2,-0.94,-0.01,0.02,0.02,0.03,157,78,79
699,Brent Barry,2000,0.89,0.29,-0.07,0.63,3.74,-0.08,-3.67,-0.62,-0.45,0.94,0.53,0.4,-1.63,-1.5,-0.31,-0.47,-0.41,-0.5,0.01,0.96,-0.89,-0.16,0.12,0.07,0.05,-0.04,0.66,-1.4,-0.74,0.48,-0.87,1.52,0.13,-1.53,-0.69,0.08,25622,12838,12784
1519,John Thomas,2000,-1.27,-0.5,0.32,-0.71,-0.86,-0.24,0.55,-0.04,-1.14,-0.96,-0.75,-0.22,0.78,-0.03,-0.45,-0.09,-0.29,0.14,0.26,-0.05,0.26,-0.21,1.16,0.96,0.2,-0.33,-1.56,0.82,-0.74,-0.09,1.55,-3.11,0.71,0.12,-0.18,0.83,6019,3010,3009
29,Jim McIlvaine,2000,-2.17,-1.79,0.16,-0.21,-1.3,0.31,1.14,-0.56,0.77,-0.82,-0.66,-0.16,0.37,1.38,0.49,1.48,1.27,0.05,-0.46,-1.52,0.13,0.14,0.66,0.31,0.35,-0.56,-2.89,2.14,-0.75,0.39,0.08,-2.98,-0.02,2.16,-0.45,0.1,15374,7687,7687
1748,Korleone Young,2000,-0.69,-0.11,-0.57,0.44,-0.27,-0.19,0.85,-0.47,-0.46,0.05,0.1,-0.07,-0.06,-0.11,-0.17,0.35,-0.29,0.06,0.03,-0.4,0.1,0.03,0.05,0.0,0.04,0.02,-0.72,-0.03,-0.76,-0.02,0.06,-0.78,0.05,-0.08,-0.01,0.07,55,28,27
1710,Mike Bibby,2000,1.06,0.41,-0.28,0.61,-1.0,0.07,1.28,0.4,1.31,0.52,0.46,0.05,-0.19,-1.64,-0.47,-0.32,-1.51,-0.26,0.05,0.58,0.02,-0.3,0.19,0.05,0.14,0.03,0.62,-1.37,-0.76,-0.73,-0.74,1.35,-0.43,-0.94,0.33,0.22,18295,9111,9184
1667,Steve Henson,2000,-0.2,0.19,-0.35,0.44,-0.3,-0.1,0.66,-0.45,-1.11,-0.45,-0.32,-0.13,0.13,0.1,-0.11,0.33,-0.13,-0.06,0.05,-0.26,0.03,0.29,-0.26,-0.16,-0.11,0.13,-0.74,-0.03,-0.77,-0.22,0.1,-0.84,0.19,-0.22,-0.32,-0.13,309,158,151
194,Anthony Bowie,2000,-0.22,-0.3,-0.45,0.36,-0.69,-0.29,1.13,0.26,0.73,0.07,0.2,-0.13,-0.03,-0.58,-0.42,0.1,-0.3,-0.13,0.12,0.03,-0.05,-0.26,-0.17,-0.0,-0.18,0.14,-0.22,-0.56,-0.78,0.01,-0.4,0.19,0.3,-0.86,0.04,-0.03,879,434,445
693,Joe Smith,2000,-1.61,0.32,-0.57,-0.94,-2.31,-0.66,2.88,-0.42,-0.09,-0.29,-0.43,0.14,1.17,-0.19,-0.18,1.18,-0.53,0.16,-0.22,-1.34,-0.14,-1.02,0.54,-0.21,0.75,-0.21,-1.22,0.43,-0.78,-0.19,0.85,-2.06,0.55,-0.12,0.88,0.33,34037,17057,16980
1844,Fred Vinson,2000,-1.06,-0.16,-0.96,0.36,-0.16,-0.17,1.13,-0.52,-0.66,0.27,0.1,0.16,-0.05,0.23,-0.21,0.43,-0.23,0.1,0.08,-0.53,0.16,0.37,0.05,0.11,-0.07,-0.03,-1.0,0.21,-0.78,-0.19,0.32,-1.32,0.1,0.11,0.22,0.02,152,78,74
988,Randy Livingston,2000,-0.69,-0.22,1.96,-0.43,-1.35,-0.05,-0.59,-0.17,1.03,-1.02,-0.56,-0.46,-0.39,0.52,-0.24,0.26,0.29,-1.0,0.45,0.74,0.06,0.43,0.12,-0.08,0.2,0.07,-1.39,0.59,-0.8,0.59,-0.24,-1.15,0.51,0.08,-1.41,0.19,8430,4204,4226
