player_id,player_name,Latest_Year,oTS,oFT,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
2544,LeBron James,2010,4.68,1.2,2.54,2.07,2.21,0.53,-4.76,0.15,3.17,1.04,0.19,0.86,-0.39,1.11,0.15,0.58,0.43,-0.15,0.06,-0.44,0.31,1.08,0.1,0.17,-0.06,0.45,6.21,1.24,7.45,0.46,-0.36,6.57,0.49,0.75,0.65,0.55,12823,6418,6405
2548,Dwyane Wade,2010,4.25,0.71,1.4,1.55,0.65,0.11,-2.06,0.86,0.48,0.91,0.1,0.83,0.36,0.28,-0.33,0.75,0.37,-0.33,0.21,-0.42,-0.02,1.31,0.38,0.83,-0.45,0.01,5.94,0.61,6.55,0.36,1.28,4.66,0.16,0.45,1.27,0.39,11168,5588,5580
201142,Kevin Durant,2010,1.65,1.85,0.39,0.6,-0.04,-0.28,-0.36,0.04,0.52,1.05,1.14,-0.08,0.26,1.43,-0.14,-1.11,0.35,0.32,0.3,0.79,0.98,2.89,0.65,0.29,0.36,0.26,3.2,1.84,5.03,-0.27,-0.21,3.41,-0.8,2.64,1.31,0.91,13282,6637,6645
2730,Dwight Howard,2010,4.3,-0.12,0.14,0.97,2.59,1.11,-2.72,0.51,0.97,-0.78,-0.11,-0.68,-0.25,1.24,0.19,1.65,0.69,0.02,-0.09,-1.67,0.16,1.31,-0.29,-0.06,-0.23,0.32,3.25,1.55,4.8,0.26,-0.16,3.41,0.5,1.05,-1.03,0.03,12300,6176,6124
2365,Chris Andersen,2010,1.94,1.24,1.36,-0.11,-0.18,0.05,-1.2,0.44,-0.11,-0.43,-0.57,0.13,1.22,1.84,0.14,-0.03,0.9,-0.14,0.29,0.17,0.24,0.82,0.61,-0.05,0.68,-0.8,2.88,1.82,4.71,0.33,0.84,2.04,-0.91,2.73,0.79,-0.19,7000,3488,3512
2760,Anderson Varejao,2010,1.67,0.44,0.0,0.97,0.21,0.67,-0.21,-0.23,1.83,0.29,-0.44,0.73,0.57,0.6,-0.14,0.81,0.44,-0.66,0.27,-0.16,0.15,1.18,0.57,0.69,-0.11,0.36,2.53,1.61,4.14,0.08,0.63,1.9,0.6,1.01,0.86,0.93,8698,4335,4363
951,Ray Allen,2010,2.68,0.47,0.5,1.19,0.65,0.26,-1.15,0.94,3.92,0.78,0.17,0.6,-0.38,0.58,-0.08,-0.08,0.22,0.4,0.24,-0.32,0.07,1.27,0.52,0.41,0.11,-0.25,2.87,0.94,3.81,-0.12,-0.68,3.55,0.04,0.9,0.4,0.27,13885,6956,6929
101114,Deron Williams,2010,3.88,0.7,1.74,1.16,0.36,0.69,-2.1,0.83,4.6,0.35,-0.02,0.38,-0.55,0.51,-0.11,-0.13,-0.19,-0.37,0.12,0.51,0.64,0.43,0.18,-0.25,0.43,-0.11,3.24,0.49,3.74,-0.52,-0.63,3.87,0.11,0.38,-0.2,0.07,12345,6193,6152
2440,Matt Barnes,2010,3.22,-0.04,0.97,0.59,0.8,0.99,-1.77,0.89,1.9,-0.53,-0.73,0.2,0.33,-0.24,0.09,1.19,0.08,-0.1,-0.23,-1.09,0.17,0.69,-0.28,0.18,-0.46,0.44,3.7,-0.02,3.68,0.74,-0.14,3.84,0.59,-0.61,-0.2,0.16,9023,4512,4511
977,Kobe Bryant,2010,1.81,0.45,-0.56,0.01,0.0,-0.06,0.56,1.46,0.47,0.43,0.16,0.26,0.19,1.06,-0.13,0.24,0.21,-0.29,0.57,0.05,0.26,0.2,0.5,0.5,0.0,-0.1,2.17,1.32,3.5,-0.39,0.17,2.0,0.59,0.73,0.62,0.4,14034,7032,7002
2555,Nick Collison,2010,1.05,0.64,0.74,-0.05,-1.03,0.26,0.3,-0.17,0.07,-0.73,0.08,-0.81,1.04,0.48,-0.09,0.67,0.13,-0.11,0.2,-0.57,0.41,1.44,1.08,0.09,0.99,0.69,1.07,2.3,3.37,-0.24,0.99,0.08,0.45,1.85,0.31,1.77,6315,3143,3172
