nba_id,player_name,Latest_Year,box_prior_source,Pos2,Defensive_Role,current_OffPoss,current_Minutes,current_GamesPlayed,window_OffPoss,window_Minutes,factor_off_poss,factor_def_poss,factor_possessions,box_off,box_def,box_net,pure_off,pure_def,pure_net,prior_off,prior_def,prior_net,pure_RESID,prior_RESID,shift_off,shift_def,shift_net,box_oTS,pure_oTS,prior_oTS,shift_oTS,box_oTOV,pure_oTOV,prior_oTOV,shift_oTOV,box_oREB,pure_oREB,prior_oREB,shift_oREB,box_dTS,pure_dTS,prior_dTS,shift_dTS,box_dTOV,pure_dTOV,prior_dTOV,shift_dTOV,box_dREB,pure_dREB,prior_dREB,shift_dREB
1626156,D'Angelo Russell,2026,current_single_season,PG,Point of Attack,1051.0,495.0,26.0,1051.0,495.0,1121,1120,2241,-1.2145637232890505,0.043386370982526436,-1.171177352306524,-0.62,0.21,-0.4,-1.42,0.24,-1.18,-0.18,-0.14,-0.7999999999999999,0.03,-0.7799999999999999,-0.3411772974660878,0.63,0.62,-0.010000000000000009,-0.2446492018130548,-0.48,-0.59,-0.10999999999999999,-0.6287372240099077,-0.66,-1.39,-0.7299999999999999,0.38590033943781404,0.68,0.77,0.08999999999999997,-0.36226410021136723,-0.2,-0.43,-0.22999999999999998,0.019750131756079627,-0.19,-0.02,0.17
1642461,Spencer Jones,2026,current_single_season,SF,Helper,2566.0,1275.0,56.0,2566.0,1275.0,2603,2664,5267,-1.090850163306508,0.003301561459756741,-1.0875486018467513,-0.18,-0.27,-0.45,-1.25,0.04,-1.21,-0.54,-0.4,-1.07,0.31,-0.76,-1.1945174832792331,0.2,-0.77,-0.97,-0.10103236340531734,0.42,0.28,-0.13999999999999996,0.20469968337804267,-0.51,-0.52,-0.010000000000000009,-0.08003069824913914,-0.29,-0.12,0.16999999999999998,0.2706798605162773,-0.2,0.09,0.29000000000000004,-0.18734760080738141,0.47,0.23,-0.23999999999999996
1629726,Garrison Mathews,2026,current_single_season,SG,Low Activity,413.0,196.0,15.0,413.0,196.0,411,405,816,-0.3440600674940737,-0.2639029196899473,-0.607962987184021,-0.78,0.22,-0.55,-1.11,-0.1,-1.21,-0.2,-0.15,-0.33000000000000007,-0.32,-0.6599999999999999,-0.1937592825905024,-0.66,-0.72,-0.05999999999999994,0.03380068438582354,0.22,0.28,0.060000000000000026,-0.1841014692893948,-0.18,-0.54,-0.36000000000000004,-0.5939181516535212,-0.09,-0.55,-0.4600000000000001,0.7068068193680551,0.41,0.88,0.47000000000000003,-0.37679158740448115,-0.05,-0.41,-0.36
1642866,Joan Beringer,2026,current_single_season,PF,Unknown,443.0,209.0,31.0,443.0,209.0,437,448,885,-0.49274028177048756,-1.4699864437558534,-1.962726725526341,0.52,0.24,0.76,-0.01,-1.21,-1.22,0.38,0.37,-0.53,-1.45,-1.98,-0.6415105919874247,0.18,-0.35,-0.53,-0.34093753821526307,-0.08,-0.29,-0.20999999999999996,0.48970784843220017,0.14,0.33,0.19,-0.24960431924424248,0.13,-0.11,-0.24,-0.7745657022943643,0.21,-0.62,-0.83,-0.44581642221724666,-0.2,-0.55,-0.35000000000000003
1629599,Amir Coffey,2026,current_single_season,SG,Chaser,839.0,427.0,41.0,839.0,427.0,843,851,1694,-0.004139449805040218,-0.31491526902082356,-0.3190547188258638,-1.15,-0.01,-1.15,-1.0,-0.26,-1.25,-0.56,-0.46,0.1499999999999999,-0.25,-0.10000000000000009,-0.7922141611986667,-0.41,-0.84,-0.43,0.1564960682980317,-0.48,-0.2,0.27999999999999997,0.6315786430955947,-0.1,0.2,0.30000000000000004,0.23488452533740967,0.65,0.7,0.04999999999999993,-0.35884606612303993,0.13,-0.26,-0.39,-0.19095372823519333,-0.38,-0.39,-0.010000000000000009
1630168,Onyeka Okongwu,2026,current_single_season,C,Anchor Big,4095.0,1909.0,61.0,4095.0,1909.0,4106,4110,8216,-0.38384656496558955,-0.21152441956456014,-0.5953709845301497,-1.5,0.73,-0.76,-1.98,0.71,-1.27,0.52,0.44,-0.48,-0.020000000000000018,-0.51,0.0993376070377337,-0.31,-0.27,0.03999999999999998,-0.32433604810966654,-0.63,-0.85,-0.21999999999999997,-0.1588481238936567,-0.83,-1.14,-0.30999999999999994,-0.25799375729880597,-0.33,-0.06,0.27,-0.23435654417978294,0.25,-0.07,-0.32,0.2808258819140288,0.57,0.68,0.1100000000000001
1629216,Gabe Vincent,2026,current_single_season,SG,Point of Attack,1423.0,688.0,39.0,1423.0,688.0,1409,1420,2829,-0.44928829623000455,-1.0366535068262852,-1.4859418030562899,1.23,-1.94,-0.71,0.81,-2.07,-1.27,0.12,0.06,-0.41999999999999993,-0.1299999999999999,-0.56,-0.8611330023790564,1.3,0.61,-0.6900000000000001,0.1430968654190144,0.16,0.32,0.16,0.26874784073003755,-0.29,-0.18,0.10999999999999999,-0.9181824364135542,-1.12,-1.47,-0.34999999999999987,-0.06367574058159288,-0.72,-0.51,0.20999999999999996,-0.054795329831138065,-0.16,-0.1,0.06
1628418,Thomas Bryant,2026,current_single_season,C,Mobile Big,1147.0,552.0,49.0,1147.0,552.0,1160,1146,2306,-0.1394714625837552,-1.8383783039383954,-1.9778497665221506,0.4,0.66,1.05,-0.02,-1.24,-1.27,0.19,0.25,-0.42000000000000004,-1.9,-2.3200000000000003,-0.5691160145869951,-0.15,-0.58,-0.42999999999999994,0.07700937059805232,0.14,0.2,0.06,0.35263518140518757,0.04,-0.01,-0.05,-1.302218568306024,0.73,-0.72,-1.45,-0.3901849349178684,0.64,-0.03,-0.67,-0.1459748007145033,-0.54,-0.38,0.16000000000000003
1631120,JD Davison,2026,current_single_season,PG,Point of Attack,352.0,184.0,25.0,352.0,184.0,323,321,644,-1.2214215591913635,-0.29153939800423645,-1.5129609571956,0.35,-0.13,0.23,-0.86,-0.42,-1.28,-0.04,-0.07,-1.21,-0.29,-1.51,-1.214964730339987,0.45,-0.48,-0.9299999999999999,0.23605915832955107,-0.09,0.16,0.25,-0.24251598718092754,0.07,-0.47,-0.54,0.15581348067279704,0.46,0.39,-0.07,-0.25883972015196255,-0.15,-0.34,-0.19000000000000003,-0.18851315852507095,-0.47,-0.47,0.0
1631222,Jake LaRavia,2026,current_single_season,PF,Chaser,3467.0,1691.0,67.0,3467.0,1691.0,3405,3434,6839,-0.6638398031035204,-0.23728314601974534,-0.9011229491232657,1.02,-2.53,-1.52,0.43,-1.74,-1.31,-0.22,-0.12,-0.5900000000000001,0.7899999999999998,0.20999999999999996,-1.0467654927255858,0.39,-0.51,-0.9,-0.25896920842626897,-0.13,-0.14,-0.010000000000000009,0.6418948980483343,0.72,1.01,0.29000000000000004,-0.6913806844125427,-1.52,-1.42,0.10000000000000009,0.6774634335027901,-0.15,0.33,0.48,-0.22336589510999275,-0.61,-0.46,0.14999999999999997
