player_id,player_name,Latest_Year,box_prior_source,prior_total_off,factor_off_poss,factor_def_poss,factor_possessions,prior_oTS,prior_dTS,prior_oTOV,prior_dTOV,prior_oSC,prior_dSC,prior_off,prior_def,prior_net,prior_total_def,prior_total_net,pure_oTS,pure_dTS,pure_oTOV,pure_dTOV,pure_oSC,pure_dSC,pure_off,pure_def,pure_net,box_oTS,box_dTS,box_oTOV,box_dTOV,box_oSC,box_dSC,box_off,box_def,box_net,pure_RESID,prior_RESID,shift_oTS,shift_oTOV,shift_oSC,shift_dTS,shift_dTOV,shift_dSC,shift_off,shift_def,shift_net
203081,Damian Lillard,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",7.816,485,491,976,6.321,-1.127,1.536,-0.272,-0.039,-0.286,7.818,-1.685,6.133,-1.685,6.131,1.83,-0.466,-0.081,-0.004,-0.444,-0.218,1.305,-0.688,0.617,6.679,-0.676,1.781,-0.245,0.152,-0.035,8.612,-0.956,7.656,0.0,-0.002,4.491,1.617,0.405,-0.661,-0.268,-0.068,6.513,-0.997,5.516
203999,Nikola Jokić,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",5.958,687,685,1372,4.838,-1.544,-0.031,0.525,1.152,1.058,5.959,0.039,5.998,0.039,5.997,-0.473,-1.015,-0.151,-0.116,0.511,0.293,-0.113,-0.838,-0.951,6.101,-0.709,0.167,0.559,1.003,0.915,7.271,0.765,8.036,0.0,-0.001,5.311,0.12,0.641,-0.529,0.641,0.765,6.072,0.877,6.949
202695,Kawhi Leonard,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",5.134,835,835,1670,3.792,-0.756,1.609,0.938,-0.268,0.345,5.133,0.527,5.66,0.529,5.663,0.49,-0.554,-0.147,0.118,-0.004,0.046,0.339,-0.39,-0.051,4.614,-0.229,2.049,0.862,-0.28,0.469,6.383,1.102,7.485,-0.0,0.003,3.302,1.756,-0.264,-0.202,0.82,0.299,4.794,0.917,5.711
203507,Giannis Antetokounmpo,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",2.09,1605,1591,3196,2.192,2.04,0.009,0.316,-0.11,0.906,2.091,3.262,5.353,3.258,5.348,-1.06,0.894,0.062,0.216,0.169,0.461,-0.829,1.571,0.742,4.036,1.775,0.179,0.082,-0.318,0.859,3.897,2.716,6.613,0.0,-0.005,3.252,-0.053,-0.279,1.146,0.1,0.445,2.92,1.691,4.611
2544,LeBron James,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",3.216,431,430,861,2.983,1.515,-0.147,0.202,0.379,0.197,3.215,1.914,5.129,1.912,5.128,-0.126,0.388,-0.373,0.07,0.342,-0.047,-0.157,0.411,0.254,3.869,1.627,0.041,0.235,0.317,0.309,4.227,2.171,6.398,0.0,-0.001,3.109,0.226,0.037,1.127,0.132,0.244,3.372,1.503,4.875
202710,Jimmy Butler III,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",2.484,318,326,644,1.172,0.055,1.938,2.15,-0.624,0.38,2.486,2.585,5.071,2.583,5.067,-1.606,-0.697,0.132,0.106,-0.196,-0.152,-1.67,-0.743,-2.413,2.568,0.694,2.068,2.178,-0.655,0.636,3.981,3.508,7.489,0.0,-0.004,2.778,1.806,-0.428,0.752,2.044,0.532,4.156,3.328,7.484
201950,Jrue Holiday,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",2.41,1838,1819,3657,0.862,1.377,0.761,0.952,0.789,0.259,2.412,2.588,5.0,2.585,4.995,-0.448,0.374,0.312,0.32,0.911,0.305,0.775,0.999,1.774,2.427,1.417,0.881,0.63,0.354,0.254,3.662,2.301,5.963,0.0,-0.005,1.31,0.449,-0.122,1.003,0.632,-0.046,1.637,1.589,3.226
202681,Kyrie Irving,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",4.479,663,664,1327,3.036,0.262,1.98,0.456,-0.535,-0.4,4.481,0.318,4.799,0.318,4.797,1.005,0.385,0.507,0.082,0.116,0.043,1.628,0.51,2.138,3.851,0.426,1.991,0.395,-0.667,-0.429,5.175,0.392,5.567,0.0,-0.002,2.031,1.473,-0.651,-0.123,0.374,-0.443,2.853,-0.192,2.661
1629029,Luka Doncic,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",5.053,544,532,1076,4.405,-0.528,0.425,-0.148,0.223,0.309,5.053,-0.367,4.686,-0.367,4.686,0.506,-0.786,-0.085,0.041,0.196,0.2,0.617,-0.545,0.072,5.212,0.167,0.643,-0.318,0.064,0.257,5.919,0.106,6.025,-0.0,0.0,3.899,0.51,0.027,0.258,-0.189,0.109,4.436,0.178,4.614
203497,Rudy Gobert,2021,"results/rs_posterior_priors/manifest.json (LOSO; inserted at ps1, a7000_7000; box_ cols unscaled)",0.251,750,756,1506,0.269,4.445,-1.619,-0.858,1.601,0.757,0.251,4.344,4.595,4.344,4.595,0.756,0.293,-0.074,-0.065,0.268,-0.244,0.95,-0.016,0.934,0.919,5.171,-1.518,-0.914,1.628,1.025,1.029,5.282,6.311,0.0,0.0,-0.487,-1.545,1.333,4.152,-0.793,1.001,-0.699,4.36,3.661
