player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1641783,Tristan da Silva,2026,0.960,0.430,-1.060,-0.660,0.110,-0.330,-0.450,-0.380,-0.490,0.030,-0.520,0.110,0.152,0.284,-0.132,0.318,0.680,0.320,0.090,0.140,-0.780,-0.030,0.920,0.950,0.600,0.350,0.250,0.350,-0.419,-0.180,-0.239,0.559,-0.228,0.531,0.090,1.090,1.180,-0.000,8089,4044,4045
1630596,Evan Mobley,2026,0.340,0.480,0.570,-0.360,-0.920,0.360,1.660,0.040,0.580,1.200,-0.620,-0.540,0.525,0.150,0.375,-0.875,1.080,0.110,-0.640,0.220,-0.440,0.170,0.960,1.050,0.950,0.230,0.720,0.100,-0.346,-0.112,-0.234,0.786,0.565,0.704,-0.310,1.490,1.180,-0.000,9539,4763,4776
1631095,Jabari Smith Jr.,2026,-1.010,-0.120,-1.150,-0.020,2.170,0.140,0.050,-0.960,-0.780,-0.260,-0.520,-0.180,0.215,0.051,0.164,1.105,-0.740,0.820,0.770,0.150,-0.030,-0.020,0.980,1.120,1.250,0.180,1.070,-0.130,-0.059,-0.119,0.060,-0.261,-0.745,1.061,0.360,0.800,1.160,-0.000,11503,5754,5749
203500,Steven Adams,2026,0.510,-0.560,-2.470,-0.270,1.970,-0.160,-4.560,-0.990,-1.180,-1.080,-0.100,0.190,-0.807,-0.121,-0.686,1.417,1.040,-0.080,-0.640,0.460,-0.410,0.220,0.660,1.660,1.490,0.380,1.110,0.170,-0.350,-0.054,-0.296,0.240,-1.797,1.310,-0.380,1.550,1.160,-0.010,2968,1491,1477
1641775,Jordan Walsh,2026,-0.270,-0.340,1.290,-0.120,-1.010,0.900,-0.410,0.880,1.090,0.360,0.730,-0.210,-0.241,0.343,-0.584,1.311,-0.120,0.730,-0.500,-0.430,0.610,0.060,-1.010,-0.790,-0.800,-0.010,-0.790,0.010,0.061,-0.287,0.348,-0.061,0.639,-0.729,1.950,-0.790,1.160,0.000,4971,2470,2501
201142,Kevin Durant,2026,0.000,0.530,-3.700,0.230,3.690,0.800,-1.190,2.760,2.020,-0.020,2.040,0.740,-0.693,-0.592,-0.101,-0.817,-0.470,0.130,0.410,-0.140,0.060,0.400,1.730,0.460,0.370,-0.010,0.380,0.090,-0.560,-0.480,-0.080,0.000,2.067,-0.100,1.250,-0.100,1.150,0.000,11487,5760,5727
1630178,Tyrese Maxey,2026,0.680,-0.930,-0.200,-0.300,-0.480,-0.210,-1.790,-0.350,-0.870,-0.220,-0.650,0.520,0.760,0.559,0.201,0.290,-0.780,-0.240,0.240,0.550,0.540,0.140,0.730,0.370,0.420,-0.580,1.000,-0.050,0.369,0.296,0.073,-0.289,0.410,0.739,0.700,0.450,1.150,0.000,11943,5988,5955
1631214,Alondes Williams,2026,-0.250,0.460,0.200,-0.010,0.060,0.120,0.940,0.800,0.590,-0.010,0.600,0.210,-0.026,-0.340,0.314,0.286,0.220,-0.070,-0.220,-0.040,0.010,0.080,0.230,-0.160,-0.070,0.030,-0.100,-0.090,0.120,-0.059,0.179,0.110,0.774,-0.040,1.060,0.070,1.130,-0.000,420,208,212
1629006,Josh Okogie,2026,0.380,0.160,-0.950,0.640,0.570,-0.820,-1.510,-0.070,0.260,0.350,-0.090,-0.330,0.150,0.021,0.129,0.860,-0.440,0.390,0.390,-0.130,0.050,0.020,0.910,0.280,0.240,0.040,0.200,0.040,0.614,0.008,0.606,-0.734,0.080,0.894,0.940,0.160,1.100,0.000,5610,2773,2837
1631111,Wendell Moore Jr.,2026,0.050,0.310,0.310,-0.050,-0.370,0.160,0.780,1.130,1.170,0.080,1.090,-0.040,0.206,0.087,0.119,-0.446,-0.120,-0.070,0.050,0.060,0.070,0.040,0.320,0.160,0.180,0.030,0.150,-0.020,0.198,0.172,0.026,-0.158,1.336,0.358,0.890,0.200,1.090,0.000,235,117,118
