player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
406,Shaquille O'Neal,2004,4.89,5.78,-0.89,-0.34,-0.36,0.03,2.35,3.36,2.55,0.81,-1.63,-0.81,-0.83,-0.05,4.55,1.73,6.9,1.68,8.58,0.0,49767,25014,24753
708,Kevin Garnett,2004,3.84,3.57,0.27,0.45,0.31,0.13,-0.13,3.88,3.29,0.59,0.19,0.26,-0.08,0.3,4.29,4.07,4.16,4.37,8.53,0.0,52939,26607,26332
1495,Tim Duncan,2004,1.65,1.71,-0.06,0.11,-0.17,0.27,1.25,5.05,4.36,0.69,-0.68,-0.34,-0.33,1.06,1.76,4.37,3.01,5.43,8.44,0.0,53148,26671,26477
1717,Dirk Nowitzki,2004,4.17,3.04,1.13,0.83,0.05,0.77,-0.61,1.49,0.89,0.6,0.25,0.25,-0.0,0.13,5.0,1.74,4.39,1.87,6.27,0.01,52530,26347,26183
739,Rasheed Wallace,2004,2.74,3.02,-0.28,-0.7,-0.81,0.11,-0.41,3.47,3.1,0.37,0.35,-0.08,0.42,0.2,2.04,3.82,1.63,4.02,5.65,0.0,44222,22131,22091
1905,Andrei Kirilenko,2004,2.61,1.47,1.14,-0.35,-0.34,-0.01,0.96,0.8,1.97,-1.17,1.13,0.35,0.78,0.43,2.26,1.93,3.22,2.36,5.58,0.0,27394,13664,13730
1112,Ben Wallace,2004,-1.68,-0.89,-0.79,0.14,0.07,0.07,1.92,3.42,2.67,0.75,0.68,0.22,0.44,0.89,-1.54,4.1,0.38,4.99,5.37,0.0,50493,25220,25273
1884,Baron Davis,2004,1.28,1.09,0.19,0.81,0.22,0.58,1.35,1.59,1.8,-0.21,1.06,0.51,0.55,-0.75,2.09,2.65,3.44,1.9,5.33,-0.01,44147,21993,22154
304,John Stockton,2004,3.23,2.63,0.6,0.23,0.04,0.18,0.03,-0.37,-0.08,-0.29,1.29,0.39,0.91,0.93,3.46,0.92,3.49,1.85,5.33,-0.01,28500,14226,14274
1713,Vince Carter,2004,0.76,1.21,-0.45,1.1,0.53,0.57,1.38,1.89,1.77,0.12,-0.34,0.01,-0.35,-0.35,1.86,1.55,3.24,1.2,4.44,0.0,37298,18673,18625
