player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
2544,LeBron James,2010,2.190,3.910,3.710,0.270,-5.900,0.110,2.160,5.470,4.580,0.890,1.646,0.458,1.188,1.324,-0.370,0.970,-0.130,1.040,0.480,0.450,2.750,1.300,1.650,-0.350,0.298,0.272,0.026,0.662,7.116,1.598,8.440,2.260,10.700,-0.000,68434,34225,34209
2548,Dwyane Wade,2010,2.860,3.710,-0.990,0.240,-1.880,1.060,-0.230,5.680,4.410,1.270,0.765,0.118,0.647,0.845,-0.120,0.320,0.290,0.330,-0.180,-0.050,1.550,-0.080,0.630,-0.710,0.689,0.667,0.022,0.391,6.445,0.609,7.290,1.000,8.290,0.000,53301,26722,26579
708,Kevin Garnett,2010,0.440,2.320,-3.780,0.300,3.340,2.050,4.530,2.890,2.280,0.610,0.047,-0.280,0.327,-0.907,0.990,1.940,-0.050,0.460,-0.950,1.700,3.820,4.720,4.460,0.260,0.378,0.460,-0.082,0.452,2.937,5.098,2.030,5.550,7.580,0.000,51007,25567,25440
959,Steve Nash,2010,-0.310,3.920,4.990,2.120,-4.680,2.980,7.550,8.890,8.390,0.500,1.209,-0.229,1.438,-2.019,0.720,-0.170,0.160,-0.580,-0.880,-0.120,0.190,0.420,0.080,0.340,-0.215,-0.006,-0.209,-1.045,10.099,0.205,8.080,-0.840,7.240,0.000,59843,29958,29885
977,Kobe Bryant,2010,-1.250,1.010,2.310,0.520,-1.090,2.200,0.740,5.110,3.770,1.340,1.814,0.659,1.155,-0.454,-1.070,0.300,0.090,0.800,0.980,0.180,0.840,-0.500,-0.040,-0.460,-0.204,0.125,-0.329,0.394,6.924,-0.704,6.470,-0.310,6.160,-0.000,70844,35531,35313
1495,Tim Duncan,2010,-0.130,2.220,-3.620,1.130,3.750,0.780,2.050,0.750,0.910,-0.160,0.306,-0.088,0.394,1.064,1.780,1.950,1.600,-0.040,-3.380,0.300,0.390,4.560,3.230,1.330,-1.037,-0.516,-0.521,0.087,1.056,3.523,2.120,3.610,5.730,0.000,56462,28427,28035
1713,Vince Carter,2010,0.250,-0.150,3.680,0.790,-3.940,0.770,1.480,2.610,2.170,0.440,1.146,0.405,0.741,-0.056,0.150,1.320,-0.900,-0.120,0.750,0.510,1.040,1.600,1.870,-0.270,-0.541,-0.240,-0.301,0.711,3.756,1.059,3.700,1.770,5.460,-0.010,58382,29237,29145
2730,Dwight Howard,2010,2.980,2.380,-1.140,1.100,-1.830,0.220,0.110,1.280,1.960,-0.680,-1.550,-0.752,-0.798,3.070,2.520,0.600,0.610,0.430,-3.130,0.150,1.640,2.140,1.850,0.290,-0.541,-0.229,-0.312,0.981,-0.270,1.599,2.800,2.580,5.380,0.000,61841,31016,30825
1497,Chauncey Billups,2010,-1.270,-0.680,4.370,1.190,-3.090,0.680,-0.740,3.100,0.950,2.150,1.794,0.790,1.004,0.116,-1.190,0.670,0.350,0.510,0.840,0.120,1.620,-0.250,0.330,-0.580,0.022,0.044,-0.022,0.228,4.894,-0.228,5.010,0.000,5.010,0.000,58047,29149,28898
1897,Metta World Peace,2010,0.490,-0.540,1.390,0.660,-1.890,-0.240,-1.420,0.270,0.530,-0.260,0.520,0.640,-0.120,0.880,1.610,0.000,-0.000,0.500,-1.610,0.480,2.400,2.050,1.650,0.400,0.595,0.280,0.315,0.615,0.790,2.645,1.670,3.260,4.920,-0.010,51089,25577,25512
