player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
458,Howard Eisley,1999,-0.73,0.28,-0.98,-0.99,0.01,-1.08,0.05,-0.33,-0.6,-0.59,-0.01,0.36,-2.21,-0.76,-2.96,0.02,-0.06,-2.15,-0.16,-0.6,-2.06,-0.24,12046,6026,6020
902,Bimbo Coles,1999,-2.26,-0.32,0.21,0.68,-0.46,0.0,-0.11,-0.53,-0.39,-0.15,-0.23,-0.12,-2.57,-0.45,-3.02,-0.35,0.54,-3.11,-0.09,-0.36,0.21,-0.51,10303,5161,5142
685,Cherokee Parks,1999,-1.28,-0.79,-0.85,-0.45,-0.4,0.09,-0.14,0.25,-0.09,0.15,-0.24,-0.83,-2.33,-0.71,-3.04,0.06,-0.41,-1.92,-0.29,-0.42,-0.76,-0.92,10512,5245,5267
123,Robert Pack,1999,-1.36,-0.05,-0.34,-0.19,-0.15,-0.22,-0.74,-0.39,-0.12,-0.44,0.32,-0.18,-2.04,-1.06,-3.1,-0.14,0.26,-2.3,0.18,-1.24,-0.56,-0.3,2826,1406,1420
440,Zan Tabak,1999,-2.35,-0.99,-0.62,-0.36,-0.27,-0.03,-1.42,0.25,0.41,0.23,0.18,0.47,-3.19,0.06,-3.13,0.41,-0.16,-3.03,1.16,-1.1,-0.65,0.88,3660,1833,1827
457,Andrew Lang,1999,-2.33,-0.16,-0.54,-0.26,-0.29,0.54,-0.56,-0.6,-0.61,-0.52,-0.1,0.03,-2.28,-0.88,-3.17,0.3,0.29,-2.57,-0.04,-0.84,0.0,-0.58,3860,1929,1931
695,Eldridge Recasner,1999,-0.03,0.25,-0.06,0.45,-0.49,-0.32,-1.26,-0.54,-0.42,-0.33,-0.09,-0.6,-0.54,-2.64,-3.18,-0.49,0.19,-0.73,-1.21,-1.43,-0.38,-1.02,8183,4081,4102
1497,Chauncey Billups,1999,-0.66,0.45,-0.13,0.14,-0.27,0.07,-3.01,-0.31,0.79,0.13,0.65,-0.93,-0.63,-2.62,-3.25,0.62,0.03,-0.66,-0.01,-2.61,-0.06,-0.14,14079,7056,7023
1051,Dean Garrett,1999,-1.69,-0.47,0.01,-0.04,0.05,0.15,-1.26,0.67,-0.28,-0.08,-0.21,-0.26,-1.95,-1.32,-3.27,0.06,0.15,-2.1,0.23,-1.55,0.16,-0.54,13833,6888,6945
1533,Anthony Johnson,1999,-1.05,-0.26,-0.49,-0.31,-0.19,-1.32,0.02,-0.09,-0.28,-0.3,0.01,-0.32,-2.48,-0.81,-3.29,0.15,-0.68,-1.8,-0.01,-0.8,-1.81,-0.6,12006,6002,6004
178,Olden Polynice,1999,-2.76,-1.18,-0.69,-0.54,-0.16,1.28,-1.31,0.57,-0.12,-0.37,0.25,0.3,-2.34,-0.97,-3.3,0.0,1.21,-3.55,-0.13,-0.84,0.59,0.18,10824,5399,5425
42,Monty Williams,1999,-0.91,-0.39,-1.56,-0.87,-0.69,0.01,-0.55,-0.4,-0.44,-0.22,-0.22,0.17,-2.48,-0.83,-3.31,-0.03,-0.43,-2.05,-0.21,-0.62,-1.55,-0.27,4929,2437,2492
399,Sean Rooks,1999,-1.82,-0.31,0.21,0.11,0.09,-0.34,-0.79,-0.22,-0.01,0.14,-0.14,-0.4,-1.94,-1.41,-3.34,-0.19,-0.26,-1.68,-0.45,-0.96,-0.13,-0.41,3073,1531,1542
179,Bryant Stith,1999,-0.93,-0.03,-0.06,-0.01,-0.05,-0.17,-1.24,-0.09,-1.18,-0.74,-0.45,0.29,-0.88,-2.47,-3.35,-0.06,-0.04,-0.84,-0.59,-1.88,-0.23,-0.89,7058,3523,3535
960,Tony Delk,1999,-2.63,-0.8,-0.33,0.08,-0.4,0.29,1.02,-0.07,-0.59,-0.25,-0.34,-1.1,-2.51,-0.85,-3.37,-0.03,0.12,-2.63,-1.19,0.34,-0.04,-1.69,8648,4303,4345
