player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
203076,Anthony Davis,2026,0.06,0.08,-0.15,0.23,-0.02,-0.12,-0.41,0.28,-0.09,0.96,0.53,0.03,0.5,0.43,-0.44,-0.13,-0.31,0.09,-0.06,0.52,-0.15,0.61,0.46,0.0,9432,4720,4712
1631133,Jabari Walker,2026,-0.16,-0.22,-0.37,0.15,0.06,-0.3,0.09,-0.39,0.31,-0.56,-0.48,-0.51,0.03,-0.08,0.92,0.37,0.55,0.21,-0.46,0.36,-0.15,0.57,0.42,-0.0,6238,3127,3111
1629048,Goga Bitadze,2026,0.03,-0.05,0.32,-0.37,0.08,-1.03,-0.38,-0.65,0.92,-0.24,0.02,-0.42,0.44,-0.26,0.79,0.66,0.12,-0.07,-1.0,0.55,-0.08,0.48,0.39,-0.01,9913,4941,4972
1631197,Jared Rhoden,2026,-0.68,-0.64,0.18,-0.82,-0.04,0.1,-0.06,0.16,0.83,0.47,0.34,0.0,0.34,0.13,0.05,0.09,-0.05,-0.39,-0.58,0.52,0.25,0.13,0.38,0.0,942,474,468
1642357,David Jones Garcia,2026,0.56,0.52,0.03,0.49,0.04,-0.08,-0.08,0.01,-0.05,-0.43,-0.31,0.02,-0.33,-0.12,0.3,0.22,0.09,0.06,0.48,-0.13,0.43,-0.07,0.36,-0.0,293,149,144
1642950,Lachlan Olbrich,2026,-1.06,-0.78,-0.13,-0.65,-0.28,0.32,0.05,0.28,0.86,0.14,0.21,-0.1,0.31,-0.07,0.37,0.06,0.31,-0.27,-0.74,0.51,0.12,0.24,0.36,0.0,1391,694,697
1642949,Yanic Konan Niederhäuser,2026,1.07,1.0,0.25,0.75,0.07,-0.16,-0.24,0.08,-0.74,-0.02,0.07,0.23,-0.16,-0.09,0.05,0.13,-0.08,0.16,0.91,0.03,0.17,0.19,0.36,-0.0,1673,835,838
1628995,Kevin Knox II,2026,0.27,0.29,0.18,0.11,-0.02,0.1,0.1,0.0,-0.01,-0.34,-0.14,0.17,-0.31,-0.2,0.34,0.24,0.1,-0.01,0.37,0.0,0.36,-0.01,0.36,0.01,501,251,250
1642434,Riley Minix,2026,0.66,0.57,0.11,0.46,0.09,-0.16,-0.13,-0.03,-0.12,0.07,0.17,-0.05,0.22,-0.1,-0.01,0.12,-0.14,-0.08,0.5,0.06,0.38,-0.02,0.36,0.0,280,138,142
1642400,Enaruna,2026,0.19,0.24,0.05,0.19,-0.05,-0.39,-0.27,-0.12,0.41,0.07,0.05,0.01,0.04,0.02,0.13,0.13,0.0,-0.07,-0.2,0.2,0.21,0.13,0.34,0.0,341,169,172
1642450,Daniss Jenkins,2026,-0.57,-1.0,-0.49,-0.51,0.43,-0.3,0.03,-0.35,0.74,-0.18,0.27,-0.09,0.36,-0.45,0.97,0.37,0.6,-0.33,-0.87,0.79,-0.13,0.46,0.33,-0.0,5947,2981,2966
