player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1630540,Miles McBride,2026,-0.23,-0.43,0.71,-1.14,0.2,0.7,0.72,-0.01,1.68,1.1,1.19,0.24,0.95,-0.09,0.22,0.29,-0.07,-0.24,0.47,1.32,2.15,1.08,3.24,0.01,4840,2431,2409
1642349,Ajay Mitchell,2026,1.42,1.17,0.16,1.01,0.25,0.5,0.37,0.13,-0.63,0.55,0.65,0.46,0.19,-0.1,0.96,0.28,0.68,0.36,1.92,1.51,1.29,1.87,3.16,0.0,6432,3232,3200
1628378,Donovan Mitchell,2026,2.15,2.07,0.4,1.67,0.08,1.01,0.4,0.6,-0.07,-0.05,0.22,0.74,-0.52,-0.27,0.22,0.35,-0.13,-0.13,3.16,0.17,3.09,0.04,3.13,-0.0,10528,5271,5257
1641709,Ausar Thompson,2026,0.93,1.09,-0.07,1.16,-0.16,-0.38,-0.46,0.08,0.46,1.06,0.91,0.4,0.51,0.15,0.71,0.31,0.39,0.32,0.55,1.77,1.01,2.09,3.1,0.0,8442,4190,4252
203497,Rudy Gobert,2026,-1.47,-1.27,0.3,-1.57,-0.2,-0.53,-0.68,0.15,0.63,3.44,3.05,0.68,2.37,0.39,0.16,0.3,-0.14,0.87,-2.0,3.6,-1.37,4.47,3.1,0.0,10904,5439,5465
1630577,Julian Champagnie,2026,2.05,1.89,0.23,1.66,0.16,0.29,0.13,0.16,-0.4,1.05,0.52,0.08,0.44,0.53,-0.13,0.17,-0.3,0.22,2.34,0.92,1.94,1.14,3.08,-0.0,10205,5118,5087
1642864,Hugo González,2026,0.54,0.86,0.25,0.61,-0.32,-0.18,0.32,-0.51,1.14,1.72,1.53,0.11,1.42,0.19,0.35,0.15,0.2,-0.51,0.36,2.07,1.5,1.56,3.06,0.0,4218,2097,2121
201950,Jrue Holiday,2026,0.24,0.4,-0.35,0.75,-0.16,-0.29,-0.51,0.22,0.42,1.68,1.42,0.6,0.82,0.26,0.83,0.03,0.8,0.06,-0.05,2.51,0.37,2.57,2.94,0.0,7287,3642,3645
1629731,Dean Wade,2026,1.22,1.34,0.5,0.84,-0.12,0.1,0.24,-0.14,-0.01,0.95,1.08,-0.19,1.27,-0.13,0.15,0.13,0.02,0.45,1.32,1.1,1.31,1.55,2.86,0.0,6002,2984,3018
1630182,Josh Green,2026,1.39,1.33,0.12,1.21,0.06,-0.09,-0.05,-0.05,-0.34,1.34,1.33,0.24,1.09,0.01,0.34,0.22,0.12,0.18,1.3,1.68,0.96,1.86,2.82,0.0,3571,1789,1782
1630591,Jalen Suggs,2026,1.24,1.26,0.6,0.66,-0.02,0.18,-0.06,0.24,-1.3,0.52,0.87,0.28,0.59,-0.35,1.19,0.27,0.94,0.97,1.42,1.71,0.12,2.68,2.8,0.0,7379,3689,3690
1642347,Jamal Shead,2026,0.53,0.58,-0.03,0.61,-0.05,0.12,-0.28,0.38,0.21,0.93,1.15,-0.01,1.16,-0.22,1.16,0.1,1.05,-0.22,0.65,2.09,0.86,1.87,2.73,0.0,8180,4102,4078
203932,Aaron Gordon,2026,0.06,0.0,0.18,-0.18,0.06,1.36,0.5,0.87,-0.04,1.66,1.59,-0.04,1.63,0.07,-0.44,-0.22,-0.21,0.07,1.42,1.22,1.38,1.29,2.67,0.0,4289,2143,2146
1642844,Dylan Harper,2026,0.17,0.26,-0.61,0.87,-0.09,0.44,0.57,-0.12,0.68,0.31,0.35,0.48,-0.13,-0.04,-0.14,0.09,-0.23,1.18,0.61,0.17,1.29,1.35,2.64,0.0,6814,3410,3404
1626164,Devin Booker,2026,0.69,0.11,-0.49,0.6,0.58,-0.42,-0.07,-0.35,0.6,1.43,1.66,0.11,1.55,-0.23,0.37,0.02,0.34,-0.12,0.27,1.8,0.87,1.68,2.56,0.01,9621,4811,4810
1629684,Grant Williams,2026,1.32,1.21,0.1,1.11,0.11,-0.69,-0.27,-0.43,0.59,1.2,1.37,0.32,1.05,-0.17,0.22,0.22,0.0,-0.14,0.63,1.42,1.22,1.28,2.5,0.0,2829,1416,1413
1642345,Oso Ighodaro,2026,0.29,0.81,0.26,0.55,-0.52,1.01,0.38,0.62,0.45,0.5,0.93,0.05,0.88,-0.43,0.37,0.36,0.01,-0.11,1.3,0.87,1.75,0.76,2.5,-0.01,7675,3822,3853
1628384,OG Anunoby,2026,0.83,0.79,0.64,0.15,0.04,0.05,-0.12,0.16,0.29,0.37,0.25,0.31,-0.06,0.12,0.35,0.06,0.3,0.6,0.88,0.72,1.17,1.32,2.49,0.0,10111,5063,5048
1628392,Isaiah Hartenstein,2026,-0.25,-0.01,-0.27,0.26,-0.24,-0.32,-0.21,-0.12,1.36,1.11,0.77,0.6,0.17,0.34,0.29,0.14,0.15,0.29,-0.57,1.4,0.79,1.69,2.47,-0.01,5033,2519,2514
1641744,Zach Edey,2026,0.41,0.52,-0.22,0.74,-0.11,-0.37,0.01,-0.38,-0.09,1.83,1.48,0.47,1.01,0.35,0.09,-0.06,0.15,0.57,0.04,1.92,-0.05,2.49,2.43,-0.01,1160,584,576
1628374,Lauri Markkanen,2026,0.57,0.38,0.5,-0.12,0.19,-0.45,-0.14,-0.32,0.29,2.0,1.78,0.44,1.34,0.22,-0.16,0.09,-0.24,0.12,0.12,1.84,0.41,1.96,2.36,-0.01,6095,3052,3043
1629628,RJ Barrett,2026,3.04,2.86,-0.2,3.06,0.18,0.53,0.31,0.23,-0.5,-0.68,-0.6,0.43,-1.03,-0.08,0.1,-0.05,0.14,-0.16,3.57,-0.58,3.07,-0.74,2.33,0.0,7962,3977,3985
1630596,Evan Mobley,2026,0.64,0.64,1.0,-0.36,-0.0,0.47,0.14,0.34,-0.77,1.65,1.49,0.34,1.15,0.16,-0.4,-0.23,-0.17,0.72,1.11,1.25,0.34,1.97,2.32,0.01,9427,4708,4719
1629661,Cameron Johnson,2026,1.78,1.79,0.72,1.07,-0.01,0.22,0.03,0.19,0.28,0.27,0.27,0.47,-0.2,0.0,-0.39,-0.24,-0.15,0.1,2.0,-0.12,2.28,-0.02,2.26,-0.0,7639,3827,3812
1631157,Ryan Rollins,2026,2.77,3.04,0.01,3.03,-0.27,-0.01,0.5,-0.51,-1.28,1.64,1.48,-0.4,1.88,0.16,-0.08,-0.14,0.06,-0.83,2.76,1.56,1.48,0.73,2.21,0.0,9788,4888,4900
203468,CJ McCollum,2026,0.41,0.3,-0.42,0.72,0.11,0.59,0.44,0.15,-0.27,2.36,2.3,-0.23,2.53,0.06,-0.24,-0.19,-0.06,-0.69,1.0,2.12,0.73,1.43,2.16,0.0,10304,5169,5135
1630558,Davion Mitchell,2026,1.14,1.2,-0.39,1.59,-0.06,0.73,0.28,0.45,-0.58,1.39,1.33,0.24,1.09,0.06,-0.28,-0.19,-0.08,-0.25,1.87,1.11,1.29,0.86,2.16,0.01,8491,4254,4237
1628386,Jarrett Allen,2026,1.9,2.0,0.36,1.64,-0.1,-0.57,-0.43,-0.14,0.06,1.24,0.43,0.23,0.2,0.81,-0.02,0.45,-0.47,-0.5,1.33,1.22,1.39,0.72,2.11,0.0,6992,3490,3502
1630572,Sandro Mamukelashvili,2026,0.44,0.29,0.31,-0.02,0.15,0.55,0.16,0.39,0.09,0.41,0.55,-0.36,0.91,-0.14,0.75,0.2,0.56,-0.17,0.99,1.16,1.08,0.99,2.07,-0.0,7511,3768,3743
1628368,De'Aaron Fox,2026,2.04,2.28,0.25,2.03,-0.24,1.2,0.37,0.82,-0.85,0.46,0.19,0.29,-0.1,0.27,-0.93,-0.62,-0.31,0.13,3.24,-0.47,2.39,-0.34,2.05,0.0,9860,4940,4920
1630163,LaMelo Ball,2026,1.13,1.45,1.38,0.07,-0.32,0.37,-0.17,0.54,1.83,-0.58,-0.43,0.08,-0.51,-0.15,-0.17,-0.0,-0.17,-0.57,1.5,-0.75,3.33,-1.32,2.01,-0.0,8158,4107,4051
202699,Tobias Harris,2026,-0.09,-0.55,-0.28,-0.27,0.46,0.31,0.22,0.08,0.58,2.27,2.5,0.25,2.25,-0.23,-0.47,-0.43,-0.05,-0.59,0.22,1.8,0.8,1.21,2.01,0.0,7988,4013,3975
1630567,Scottie Barnes,2026,0.13,0.01,-0.17,0.18,0.12,0.31,-0.14,0.45,0.45,1.11,1.07,0.44,0.63,0.04,0.46,0.03,0.43,-0.49,0.44,1.57,0.89,1.08,1.97,0.0,11816,5922,5894
1629011,Mitchell Robinson,2026,-0.73,-0.48,0.05,-0.53,-0.25,-0.39,-0.01,-0.37,2.39,0.52,0.54,-0.5,1.04,-0.02,0.06,-0.28,0.34,0.11,-1.12,0.58,1.27,0.69,1.96,-0.0,4981,2475,2506
1631105,Jalen Duren,2026,0.36,0.18,0.61,-0.43,0.18,0.38,-0.0,0.39,0.43,0.45,0.49,-0.18,0.67,-0.04,0.47,0.03,0.44,-0.15,0.74,0.92,1.17,0.77,1.94,0.0,8735,4378,4357
203991,Clint Capela,2026,-0.87,-0.42,-0.32,-0.1,-0.45,-0.02,0.03,-0.06,0.85,2.26,2.04,-0.0,2.04,0.22,-0.16,-0.21,0.05,-0.19,-0.89,2.1,-0.04,1.91,1.87,0.0,3763,1879,1884
1630559,Austin Reaves,2026,1.34,0.86,0.69,0.17,0.48,0.08,0.23,-0.15,-0.73,0.42,0.31,0.32,-0.01,0.11,0.19,0.07,0.1,0.51,1.42,0.61,0.69,1.12,1.82,0.01,7337,3670,3667
1629750,Javonte Green,2026,1.81,1.5,-0.07,1.57,0.31,-1.23,-0.74,-0.49,-0.46,0.87,1.04,-0.08,1.12,-0.17,1.67,0.8,0.87,-0.85,0.58,2.54,0.12,1.69,1.81,0.0,6231,3108,3123
1629130,Duncan Robinson,2026,1.51,1.55,0.51,1.04,-0.04,0.15,-0.08,0.24,0.15,0.58,0.68,0.18,0.5,-0.1,-0.51,-0.35,-0.16,-0.08,1.66,0.07,1.81,-0.01,1.8,0.0,9277,4670,4607
1631114,Jalen Williams,2026,0.68,0.63,-0.25,0.88,0.05,0.27,0.37,-0.1,-0.12,-0.07,-0.33,-0.03,-0.3,0.26,0.68,0.19,0.5,0.35,0.95,0.61,0.83,0.96,1.79,0.0,3987,1992,1995
