player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1630043,Bernadett Hatar,2025,-0.408,-0.104,-0.045,-0.059,-0.046,-0.074,0.028,-0.258,-0.008,-0.25,-0.015,-0.359,-0.086,-0.782,-0.868,0.0,-0.244,-0.183,-0.062,-0.244,-0.193,-0.092,-0.022,-0.07,-0.088,-0.034,-0.054,-0.014,-0.002,-0.012,-0.066,-0.18,0.014,-0.44,-0.426,0.0,-0.092,-0.083,-0.009,-0.092,-0.601,-0.081,-0.539,-0.073,-1.295,0.0,-0.868,-0.426,-1.295,542,262,280
202633,Liz Cambage,2025,-0.325,0.003,0.007,-0.004,-0.062,-0.448,0.386,-0.266,-0.024,-0.241,0.188,-0.576,-0.427,-0.713,-1.14,0.0,-0.578,-0.508,-0.07,-0.578,0.005,0.161,0.082,0.079,-0.203,0.102,-0.305,0.046,-0.045,0.092,-0.002,-0.129,-0.029,-0.126,-0.155,0.0,-0.129,0.034,-0.163,-0.129,-0.32,0.186,-0.706,-0.456,-1.295,0.0,-1.14,-0.155,-1.295,5139,2583,2556
1629478,Katie Lou Samuelson,2025,0.956,0.882,0.092,0.789,0.25,0.035,0.215,-0.175,0.041,-0.216,-0.165,-1.167,-0.308,-0.377,-0.684,-0.0,-0.599,-0.35,-0.249,-0.599,-0.221,0.197,0.065,0.131,-0.243,0.042,-0.285,-0.174,-0.033,-0.141,-0.014,0.067,-0.444,-0.168,-0.612,-0.0,0.023,0.055,-0.032,0.023,0.735,-0.179,-1.1,-0.752,-1.297,-0.0,-0.684,-0.612,-1.297,8036,3988,4048
1642782,Sarah Ashlee Barker,2025,-1.188,0.017,0.132,-0.115,-0.131,0.352,-0.483,-1.074,-0.084,-0.99,0.114,-0.24,0.396,-1.314,-0.918,-0.0,-0.29,-0.514,0.225,-0.29,-0.236,0.173,0.124,0.049,-0.509,-0.107,-0.403,0.1,0.028,0.072,-0.051,-0.321,0.224,-0.608,-0.384,-0.0,-0.13,-0.314,0.184,-0.13,-1.423,0.063,-0.562,0.62,-1.301,-0.0,-0.918,-0.384,-1.301,1825,900,925
202259,Epiphanny Prince,2025,0.039,-0.097,-0.072,-0.025,-0.166,-0.205,0.04,0.302,0.051,0.251,-0.299,-0.425,-0.243,-0.685,-0.929,0.0,-0.453,-0.407,-0.046,-0.453,0.039,-0.118,-0.01,-0.108,0.093,0.028,0.066,0.064,-0.029,0.093,0.075,-0.291,-0.199,-0.177,-0.376,0.0,-0.237,-0.047,-0.189,-0.237,0.078,-0.225,-0.716,-0.442,-1.304,0.0,-0.929,-0.376,-1.304,3433,1722,1711
1642293,Alissa Pili,2025,-1.087,-0.219,0.04,-0.259,-0.041,0.124,-0.164,-0.827,-0.03,-0.798,0.061,-0.198,0.136,-1.224,-1.087,0.0,-0.402,-0.081,-0.321,-0.402,-0.004,-0.238,0.022,-0.26,-0.05,-0.038,-0.012,0.284,0.013,0.272,-0.071,-0.183,0.029,-0.257,-0.228,0.0,-0.095,-0.001,-0.094,-0.095,-1.091,-0.009,-0.381,0.166,-1.315,0.0,-1.087,-0.228,-1.315,385,193,192
204365,Erica Wheeler,2025,-0.115,0.045,-0.012,0.057,-0.216,-0.189,-0.028,0.056,0.027,0.029,-0.369,0.325,-0.144,-0.16,-0.304,0.0,0.223,0.744,-0.521,0.223,-0.812,0.323,0.041,0.282,-0.32,0.039,-0.359,-0.815,-0.016,-0.799,-0.295,0.371,-0.277,-0.736,-1.013,0.0,0.407,0.094,0.313,0.407,-0.927,-0.664,0.695,-0.421,-1.317,0.0,-0.304,-1.013,-1.317,14824,7426,7398
203015,Shekinna Stricklen,2025,-0.807,-0.34,-0.021,-0.319,-0.385,-0.001,-0.384,-0.083,0.023,-0.106,-0.109,-0.053,0.096,-0.969,-0.874,0.0,0.041,0.076,-0.034,0.041,-0.348,-0.096,0.001,-0.097,-0.023,-0.023,0.001,-0.229,-0.008,-0.22,-0.035,-0.103,0.04,-0.486,-0.446,-0.0,-0.057,-0.038,-0.019,-0.057,-1.155,-0.144,-0.157,0.136,-1.32,0.0,-0.874,-0.446,-1.32,857,431,426
1628278,Shatori Walker-Kimbrough,2025,-0.906,-0.034,-0.03,-0.004,-0.04,0.023,-0.063,-0.832,0.058,-0.89,0.335,0.204,-1.303,-0.368,-1.671,-0.0,0.196,0.277,-0.081,0.196,0.549,-0.214,-0.021,-0.193,0.485,0.101,0.384,0.279,-0.022,0.301,-0.065,-0.355,0.216,0.129,0.345,-0.0,-0.188,-0.111,-0.077,-0.188,-0.357,0.27,-0.151,-1.087,-1.326,-0.0,-1.671,0.345,-1.326,9119,4559,4560
1641651,Jordan Horston,2025,-1.528,-0.28,0.047,-0.326,-0.539,-0.073,-0.466,-0.709,0.067,-0.776,0.273,-0.076,-0.135,-1.331,-1.466,-0.0,-0.185,0.105,-0.29,-0.185,0.265,0.175,0.037,0.138,0.332,0.054,0.278,-0.242,-0.042,-0.2,-0.08,0.05,-0.107,0.235,0.128,0.0,0.036,0.067,-0.032,0.036,-1.263,0.193,-0.026,-0.242,-1.338,-0.0,-1.466,0.128,-1.338,5158,2603,2555
1642290,Aaliyah Edwards,2025,-0.103,-0.009,-0.065,0.057,-0.677,0.002,-0.679,0.583,-0.071,0.654,0.097,-0.974,-0.096,-0.981,-1.078,-0.0,-0.64,-0.164,-0.477,-0.64,-0.451,-0.31,-0.054,-0.256,0.053,-0.127,0.18,-0.193,0.034,-0.227,0.04,0.213,-0.072,-0.198,-0.27,-0.0,0.351,0.286,0.065,0.351,-0.554,0.136,-0.762,-0.168,-1.347,-0.0,-1.078,-0.27,-1.347,4299,2149,2150
204322,Elizabeth Williams,2025,-1.171,-0.574,0.009,-0.583,-0.5,-0.409,-0.091,-0.096,0.003,-0.1,-0.286,0.474,-0.412,-0.983,-1.395,0.0,-0.065,-0.266,0.201,-0.065,0.629,0.496,0.035,0.461,-0.019,0.156,-0.175,0.152,-0.016,0.169,0.084,-0.286,-0.394,0.427,0.033,0.0,-0.242,0.055,-0.297,-0.242,-0.542,-0.202,0.188,-0.806,-1.362,0.0,-1.395,0.033,-1.362,13463,6745,6718
1642798,Dominique Malonga,2025,0.501,0.246,0.075,0.172,0.597,-0.054,0.651,-0.342,-0.129,-0.213,-0.301,-0.364,-0.092,-0.165,-0.257,-0.0,-0.54,-0.396,-0.144,-0.54,-0.768,0.128,-0.023,0.152,0.155,-0.057,0.212,-1.051,0.071,-1.121,-0.206,-0.387,0.253,-1.361,-1.108,0.0,-0.197,-0.037,-0.16,-0.197,-0.267,-0.508,-0.751,0.161,-1.365,-0.0,-0.257,-1.108,-1.365,2408,1213,1195
1630454,Charli Collier,2025,-0.456,-0.374,-0.068,-0.306,-0.144,-0.079,-0.065,0.062,0.028,0.034,-0.045,-0.185,0.112,-0.686,-0.574,0.0,-0.129,-0.101,-0.028,-0.129,-0.154,0.006,-0.001,0.007,0.029,0.011,0.018,-0.189,-0.01,-0.18,-0.036,-0.312,-0.292,-0.503,-0.795,0.0,-0.203,-0.126,-0.078,-0.203,-0.61,-0.081,-0.498,-0.18,-1.369,0.0,-0.574,-0.795,-1.369,1531,761,770
202638,Jessica Breland,2025,-0.655,-0.2,0.005,-0.205,-0.16,-0.128,-0.032,-0.295,-0.008,-0.287,-0.075,-0.08,-0.11,-0.81,-0.92,0.0,-0.094,-0.076,-0.018,-0.094,-0.334,-0.047,0.017,-0.064,-0.028,0.014,-0.042,-0.259,-0.014,-0.245,0.001,-0.105,-0.026,-0.439,-0.465,-0.0,-0.137,-0.133,-0.004,-0.137,-0.989,-0.074,-0.186,-0.137,-1.385,0.0,-0.92,-0.465,-1.385,1957,974,983
1628929,Kristy Wallace,2025,-0.472,0.025,-0.093,0.118,-0.532,-0.184,-0.348,0.034,0.072,-0.037,0.128,-0.575,-0.336,-0.919,-1.255,-0.0,-0.266,-0.146,-0.121,-0.266,0.594,0.248,0.063,0.185,0.304,0.039,0.265,0.042,-0.052,0.094,-0.272,-0.438,-0.018,-0.116,-0.134,0.0,-0.263,-0.2,-0.063,-0.263,0.122,-0.144,-1.013,-0.355,-1.389,-0.0,-1.255,-0.134,-1.389,7062,3513,3549
1629481,Arike Ogunbowale,2025,-1.119,-0.322,-0.073,-0.249,0.155,-0.254,0.409,-0.952,0.064,-1.017,0.168,0.213,1.249,-0.737,0.512,-0.0,-0.004,0.062,-0.066,-0.004,-1.425,-0.683,-0.092,-0.591,-0.369,-0.064,-0.305,-0.373,-0.041,-0.332,-0.286,-0.005,-0.207,-1.716,-1.922,0.0,0.018,-0.018,0.036,0.018,-2.544,-0.118,0.209,1.042,-1.411,-0.0,0.512,-1.922,-1.411,22606,11274,11332
203389,Yvonne Turner,2025,-0.498,0.096,-0.008,0.104,-0.168,-0.106,-0.062,-0.427,0.003,-0.429,-0.084,-0.384,0.049,-0.966,-0.917,0.0,-0.175,-0.076,-0.099,-0.175,-0.693,-0.327,0.008,-0.335,0.021,-0.0,0.021,-0.387,-0.013,-0.374,0.021,0.047,0.105,-0.625,-0.52,0.0,0.016,0.007,0.009,0.016,-1.191,-0.063,-0.337,0.154,-1.437,0.0,-0.917,-0.52,-1.437,1309,643,666
1629571,Morgan Bertsch,2025,-0.437,-0.46,-0.053,-0.407,-0.562,-0.108,-0.454,0.585,0.051,0.534,-0.0,-0.454,0.037,-0.891,-0.854,0.0,-0.496,-0.337,-0.159,-0.496,-0.233,-0.206,-0.033,-0.173,-0.044,0.004,-0.048,0.017,-0.012,0.029,-0.108,-0.217,-0.038,-0.558,-0.595,-0.0,-0.089,-0.086,-0.002,-0.089,-0.669,-0.109,-0.67,-0.001,-1.449,0.0,-0.854,-0.595,-1.449,1458,722,736
1630099,Te'a Cooper,2025,-0.906,-0.424,0.016,-0.439,-0.453,-0.004,-0.448,-0.029,0.039,-0.068,-0.02,-0.28,-0.325,-1.206,-1.531,-0.0,-0.152,0.002,-0.154,-0.152,-0.216,-0.13,0.016,-0.146,0.038,-0.025,0.062,-0.123,-0.025,-0.099,-0.069,0.463,-0.099,0.178,0.078,-0.0,0.37,0.06,0.31,0.37,-1.122,-0.089,0.183,-0.425,-1.453,-0.0,-1.531,0.078,-1.453,2495,1249,1246
1629566,Han Xu,2025,-1.084,-0.517,-0.061,-0.456,-0.204,-0.061,-0.143,-0.363,0.04,-0.403,-0.069,-0.085,-0.2,-1.238,-1.438,-0.0,-0.25,0.075,-0.324,-0.25,0.437,0.153,-0.045,0.198,0.241,0.01,0.231,0.043,-0.005,0.048,-0.01,-0.392,-0.066,0.035,-0.032,0.0,-0.23,-0.165,-0.064,-0.23,-0.647,-0.08,-0.477,-0.266,-1.47,-0.0,-1.438,-0.032,-1.47,2039,1023,1016
203849,Theresa Plaisance,2025,-0.886,0.044,-0.088,0.132,-0.041,0.058,-0.099,-0.89,0.131,-1.021,-0.011,0.037,-0.231,-0.861,-1.092,-0.0,0.041,0.169,-0.128,0.041,-0.015,-0.177,0.023,-0.2,0.167,0.026,0.141,-0.005,-0.04,0.036,0.021,-0.276,-0.118,-0.27,-0.388,-0.0,-0.199,-0.157,-0.041,-0.199,-0.902,0.01,-0.239,-0.349,-1.479,-0.0,-1.092,-0.388,-1.479,3652,1831,1821
1631055,Nyara Sabally,2025,-1.312,-0.281,-0.004,-0.277,0.173,-0.06,0.232,-1.204,-0.023,-1.18,-0.172,0.256,0.48,-1.229,-0.749,-0.0,0.002,-0.129,0.131,0.002,0.037,0.303,-0.005,0.308,-0.02,-0.067,0.047,-0.246,0.012,-0.258,-0.23,-0.46,-0.131,-0.653,-0.784,0.0,-0.223,-0.184,-0.04,-0.223,-1.275,-0.402,-0.204,0.349,-1.533,0.0,-0.749,-0.784,-1.533,2390,1201,1189
1642320,Jaylyn Sherrod,2025,-0.825,-0.558,-0.009,-0.548,0.069,0.094,-0.025,-0.337,-0.025,-0.311,-0.06,-0.512,0.39,-1.397,-1.006,0.0,-0.431,-0.278,-0.153,-0.431,-0.212,-0.058,0.036,-0.093,-0.049,-0.039,-0.01,-0.106,0.008,-0.114,-0.019,-0.032,-0.264,-0.263,-0.527,0.0,0.1,0.073,0.027,0.1,-1.038,-0.079,-0.544,0.126,-1.534,0.0,-1.006,-0.527,-1.534,519,254,265
1641665,Leigha Brown,2025,-0.42,-0.042,0.013,-0.055,-0.22,-0.002,-0.218,-0.159,0.003,-0.162,-0.015,-0.236,-0.232,-0.671,-0.903,0.0,-0.218,-0.186,-0.032,-0.218,-0.194,-0.178,-0.008,-0.17,-0.089,-0.039,-0.05,0.073,-0.005,0.078,-0.102,-0.08,-0.275,-0.376,-0.651,-0.0,-0.076,-0.04,-0.036,-0.076,-0.614,-0.116,-0.316,-0.507,-1.554,0.0,-0.903,-0.651,-1.554,451,221,230
1627643,Cyesha Goree,2025,-0.674,-0.238,-0.01,-0.228,-0.313,-0.027,-0.286,-0.124,0.015,-0.139,-0.104,0.025,-0.139,-0.754,-0.892,0.0,-0.034,-0.062,0.028,-0.034,-0.538,-0.122,-0.005,-0.117,-0.151,-0.028,-0.123,-0.265,-0.007,-0.259,0.038,-0.145,-0.026,-0.645,-0.671,0.0,-0.108,-0.07,-0.039,-0.108,-1.213,-0.067,-0.12,-0.164,-1.563,0.0,-0.892,-0.671,-1.563,453,234,219
1642809,Saniya Rivers,2025,-0.308,-0.196,-0.23,0.034,-0.813,-0.315,-0.498,0.701,-0.116,0.818,0.16,0.186,-0.485,0.038,-0.447,0.0,-0.06,-0.318,0.258,-0.06,-0.818,-0.536,-0.006,-0.53,0.094,-0.191,0.285,-0.376,0.048,-0.424,0.084,-0.017,-0.381,-0.752,-1.132,-0.0,0.078,-0.236,0.314,0.078,-1.126,0.243,0.169,-0.866,-1.579,0.0,-0.447,-1.132,-1.579,3853,1922,1931
204297,Cayla George,2025,-0.178,0.033,-0.079,0.113,0.059,-0.031,0.09,-0.271,0.092,-0.362,-0.219,-0.41,-0.489,-0.807,-1.296,-0.0,-0.227,-0.064,-0.163,-0.227,-0.003,-0.068,-0.014,-0.054,-0.014,0.006,-0.02,0.079,-0.015,0.094,-0.113,-0.135,-0.054,-0.251,-0.306,-0.0,-0.086,0.08,-0.166,-0.086,-0.181,-0.331,-0.545,-0.543,-1.601,-0.0,-1.296,-0.306,-1.601,1221,607,614
1630143,Luisa Geiselsöder,2025,-1.101,-0.306,-0.065,-0.241,-0.56,-0.001,-0.559,-0.235,-0.053,-0.181,-0.307,0.564,-0.369,-0.845,-1.214,0.0,0.397,0.005,0.392,0.397,-0.347,-0.174,0.029,-0.203,0.221,-0.105,0.326,-0.394,0.034,-0.427,0.003,-0.114,0.041,-0.458,-0.416,-0.0,-0.168,-0.175,0.008,-0.168,-1.448,-0.304,0.45,-0.328,-1.63,-0.0,-1.214,-0.416,-1.63,2359,1174,1185
203863,Haley Peters,2025,-0.493,-0.539,-0.187,-0.351,0.212,-0.074,0.287,-0.167,-0.041,-0.126,-0.125,-0.546,-0.019,-1.165,-1.183,-0.0,-0.34,-0.506,0.166,-0.34,-0.157,-0.194,0.002,-0.196,0.049,-0.11,0.159,-0.012,0.028,-0.04,-0.319,0.269,-0.256,-0.206,-0.463,0.0,0.281,0.049,0.231,0.281,-0.65,-0.444,-0.277,-0.275,-1.646,0.0,-1.183,-0.463,-1.646,1364,675,689
1631022,Shakira Austin,2025,-0.855,-0.379,0.111,-0.49,-0.207,-0.158,-0.049,-0.269,-0.061,-0.207,-0.093,-0.917,-0.441,-1.865,-2.306,-0.0,-0.711,-0.563,-0.147,-0.711,-0.874,-0.304,-0.024,-0.28,-0.887,0.01,-0.897,0.317,0.019,0.297,0.232,0.554,0.729,-0.088,0.641,0.0,0.234,-0.094,0.327,0.234,-1.729,0.139,-0.363,0.288,-1.665,-0.0,-2.306,0.641,-1.665,9381,4682,4699
202252,Alysha Clark,2025,-0.61,-0.151,-0.123,-0.029,-0.028,0.033,-0.06,-0.431,0.09,-0.521,-0.214,0.056,-0.825,-0.768,-1.593,0.0,-0.184,-0.348,0.164,-0.184,-0.227,0.253,0.139,0.114,0.242,0.005,0.236,-0.722,-0.039,-0.683,-0.166,-0.137,0.457,-0.53,-0.074,-0.0,-0.177,-0.156,-0.021,-0.177,-0.837,-0.38,-0.081,-0.368,-1.666,-0.0,-1.593,-0.074,-1.666,13047,6546,6501
1642813,Serena Sundell,2025,-0.66,-0.233,0.002,-0.236,-0.001,0.036,-0.036,-0.426,-0.011,-0.415,-0.056,-0.295,-0.121,-1.011,-1.132,0.0,-0.3,-0.147,-0.153,-0.3,-0.43,-0.194,-0.008,-0.187,-0.04,-0.048,0.007,-0.196,0.006,-0.202,-0.021,-0.162,0.044,-0.614,-0.57,-0.0,-0.099,-0.041,-0.058,-0.099,-1.09,-0.078,-0.457,-0.077,-1.702,0.0,-1.132,-0.57,-1.702,76,37,39
204335,Betnijah Laney-Hamilton,2025,0.283,0.335,-0.053,0.388,-0.352,0.068,-0.42,0.3,0.221,0.079,-0.412,-0.661,-0.409,-0.79,-1.199,-0.0,-0.385,0.08,-0.465,-0.385,-0.543,-0.296,0.003,-0.299,-0.152,0.06,-0.211,-0.096,-0.074,-0.021,0.127,0.142,-0.264,-0.274,-0.538,0.0,-0.188,-0.161,-0.027,-0.188,-0.26,-0.285,-0.519,-0.673,-1.737,-0.0,-1.199,-0.538,-1.737,15771,7919,7852
1630115,Joyner Holmes,2025,-1.01,-0.007,-0.037,0.03,-0.932,-0.112,-0.82,-0.071,0.058,-0.129,0.005,-0.231,0.082,-1.236,-1.154,-0.0,-0.035,0.141,-0.175,-0.035,-0.348,-0.218,-0.021,-0.197,0.044,0.02,0.024,-0.174,-0.018,-0.155,-0.052,-0.216,0.027,-0.616,-0.589,-0.0,-0.168,-0.121,-0.048,-0.168,-1.358,-0.048,-0.446,0.109,-1.743,-0.0,-1.154,-0.589,-1.743,2440,1220,1220
1630446,Michaela Onyenwere,2025,-1.109,-0.68,-0.007,-0.673,-0.627,-0.166,-0.46,0.198,0.022,0.176,-0.066,-0.251,0.163,-1.425,-1.262,0.0,-0.539,-0.137,-0.401,-0.539,0.285,0.189,-0.016,0.205,0.14,0.054,0.086,-0.044,-0.012,-0.032,-0.089,-0.686,0.003,-0.49,-0.487,-0.0,-0.505,-0.337,-0.168,-0.505,-0.823,-0.154,-0.937,0.166,-1.749,0.0,-1.262,-0.487,-1.749,13081,6519,6562
