player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
406,Shaquille O'Neal,2005,7.86,-1.16,-1.22,-0.9,-0.32,0.13,1.9,0.47,-1.8,-0.87,-0.91,0.86,6.98,1.34,8.32,0.59,-0.17,7.15,0.55,0.79,-1.09,-0.94,34527,17363,17164
1495,Tim Duncan,2005,3.29,-0.09,-0.24,-0.44,0.2,0.58,4.45,0.69,-0.27,-0.21,-0.04,0.55,3.6,4.63,8.23,-0.13,0.85,2.75,0.32,4.31,0.34,0.28,37030,18589,18441
708,Kevin Garnett,2005,4.22,0.89,1.0,0.57,0.44,-0.11,2.73,0.35,-0.3,-0.03,-0.26,0.41,4.76,3.01,7.77,-0.18,-0.5,5.26,0.34,2.67,0.89,0.11,39569,19885,19684
1938,Manu Ginobili,2005,2.39,1.22,-0.02,0.13,-0.16,0.86,0.91,0.16,1.2,0.63,0.57,0.57,3.49,2.44,5.93,0.02,0.99,2.5,0.21,2.23,0.84,1.77,27958,14011,13947
1884,Baron Davis,2005,2.11,0.08,1.77,0.47,1.3,0.64,1.08,-0.05,0.89,0.23,0.67,-0.89,4.49,1.21,5.7,0.1,0.52,3.97,-0.82,2.03,2.41,0.0,24238,12126,12112
467,Jason Kidd,2005,1.83,0.9,1.47,0.31,1.15,0.47,0.85,0.14,1.05,0.68,0.39,-0.11,3.6,1.83,5.43,-0.13,0.51,3.09,0.73,1.1,1.94,0.94,35291,17693,17598
1905,Andrei Kirilenko,2005,2.81,1.8,-0.72,-0.6,-0.12,1.69,0.83,-0.83,0.89,0.15,0.75,-0.05,3.67,1.66,5.33,-0.12,0.7,2.97,0.29,1.37,0.97,0.84,23846,11892,11954
1717,Dirk Nowitzki,2005,2.85,1.64,1.56,0.64,0.93,-0.73,0.94,0.22,0.1,0.29,-0.18,-0.04,3.15,1.27,4.41,-0.27,-0.45,3.6,0.58,0.69,0.83,0.06,40268,20211,20057
224,Eddie Jones,2005,1.66,0.2,0.63,0.47,0.15,-0.51,0.96,-0.51,0.42,0.35,0.06,0.44,1.88,2.5,4.38,0.78,0.94,0.94,1.44,1.06,0.12,0.86,32044,16006,16038
1718,Paul Pierce,2005,3.35,1.48,0.68,0.57,0.13,-0.48,0.04,-0.17,0.84,0.49,0.36,-0.14,2.35,1.75,4.1,-0.19,-1.02,3.37,0.41,1.34,0.2,0.7,38218,19143,19075
739,Rasheed Wallace,2005,1.86,-0.79,-0.37,-1.18,0.81,0.33,1.4,0.75,0.01,-0.35,0.37,0.82,1.64,2.39,4.03,-0.02,0.02,1.62,0.6,1.79,-0.04,0.83,34116,17099,17017
2034,Mike Miller,2005,2.2,-0.11,0.3,0.12,0.19,-0.01,0.44,-0.18,0.56,0.3,0.26,0.18,2.53,1.4,3.94,0.27,-0.93,3.46,0.15,1.25,0.29,0.74,24082,12047,12035
951,Ray Allen,2005,3.42,0.96,0.87,0.38,0.49,0.47,-0.38,-0.26,-0.72,-0.19,-0.52,0.11,4.63,-0.74,3.89,0.12,0.51,4.12,0.0,-0.74,1.34,-0.61,30883,15463,15420
1112,Ben Wallace,2005,-1.66,-1.16,0.72,0.34,0.39,1.46,3.16,0.65,0.47,0.1,0.37,-0.06,-0.04,3.69,3.65,-0.44,0.65,-0.69,0.94,2.75,2.18,0.41,40116,20043,20073
1902,Jeff Foster,2005,-0.71,-0.68,0.05,0.17,-0.13,1.82,0.63,0.28,0.58,0.17,0.41,1.29,1.14,2.46,3.59,-0.07,1.84,-0.7,1.15,1.31,1.87,1.87,17883,8895,8988
731,Greg Ostertag,2005,-0.38,-1.13,-1.15,-0.8,-0.36,1.74,3.37,0.49,-0.02,0.0,-0.03,0.06,0.11,3.45,3.56,-0.06,1.07,-0.96,0.56,2.89,0.59,0.04,17115,8521,8594
1503,Tracy McGrady,2005,2.89,1.15,2.01,0.61,1.4,-0.69,-0.3,0.04,-0.03,0.25,-0.28,-0.32,4.18,-0.72,3.46,-0.1,0.1,4.08,-0.36,-0.36,1.32,-0.35,35326,17688,17638
2217,Brendan Haywood,2005,0.03,-0.81,-0.07,0.21,-0.28,1.13,1.89,1.31,0.05,0.1,-0.04,-0.01,0.61,2.68,3.29,0.27,1.1,-0.49,0.38,2.3,1.06,0.04,20775,10390,10385
1890,Shawn Marion,2005,1.2,-0.25,0.65,-0.01,0.65,-0.3,0.25,0.31,0.44,0.58,-0.14,-0.11,2.43,0.79,3.22,1.09,-0.21,2.64,-0.29,1.08,0.35,0.33,40700,20380,20320
2572,Josh Howard,2005,0.84,-0.11,-0.02,-0.24,0.21,1.65,0.03,0.14,0.41,0.67,-0.26,-0.02,2.73,0.49,3.22,0.33,1.2,1.53,-0.1,0.59,1.63,0.39,17323,8636,8687
959,Steve Nash,2005,4.16,0.28,1.61,0.01,1.6,-0.38,-1.27,0.63,-0.13,0.43,-0.56,-0.17,5.21,-1.99,3.21,-0.61,-0.77,5.98,0.09,-2.08,1.23,-0.3,36214,18148,18066
1883,Steve Francis,2005,1.65,1.38,-0.0,0.3,-0.3,0.49,0.62,-0.04,0.0,0.17,-0.17,0.51,2.18,0.94,3.11,-0.16,0.34,1.84,0.08,0.86,0.49,0.51,36026,18017,18009
2203,Shane Battier,2005,-0.75,0.36,0.44,0.36,0.08,0.11,2.34,-0.33,0.49,0.23,0.26,-0.31,0.72,2.28,3.0,0.68,1.0,-0.28,-0.58,2.86,0.55,0.18,26142,13117,13025
2544,LeBron James,2005,1.13,0.68,1.14,0.52,0.61,0.4,0.4,-0.13,0.1,0.24,-0.13,-0.15,3.1,-0.11,2.99,-0.03,1.68,1.42,-0.56,0.45,1.54,-0.05,24061,12037,12024
