player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
689,Theo Ratliff,2003,-0.85,-0.24,-1.12,0.05,1.98,0.94,-1.98,-0.79,-0.76,-0.03,-0.4,-0.46,0.05,-1.27,0.13,0.79,0.07,-0.09,-0.19,0.01,-0.13,1.49,1.06,0.43,-0.3,0.01,-0.31,0.26,-1.19,1.19,-2.46,1.45,-1.01,0.0,9490,4739,4751
2456,Cezary Trybanski,2003,-0.49,-0.05,-0.21,-0.01,0.7,-0.43,-1.28,-1.21,-1.15,-0.06,-0.25,0.02,-0.26,0.58,0.07,-0.02,-0.06,0.06,-0.01,-0.03,-0.02,-0.17,-0.02,-0.15,-0.02,-0.04,0.02,0.06,-1.46,-0.19,-0.88,-0.13,-1.02,-0.01,309,157,152
1043,Amal McCaskill,2003,0.09,-0.31,0.07,-0.06,-0.16,-0.27,-0.49,-0.77,-0.64,-0.13,0.01,0.02,-0.01,-0.04,-0.15,0.01,-0.03,-0.07,0.18,0.05,-0.02,-0.29,-0.16,-0.13,0.14,0.05,0.08,-0.06,-0.76,-0.15,-0.8,-0.21,-1.02,-0.01,245,120,125
2036,Chris Mihm,2003,0.19,-0.49,-0.38,-0.41,0.18,0.06,-1.05,-1.18,-1.07,-0.11,-0.25,-0.3,0.05,0.9,-0.08,0.18,0.12,0.02,-0.04,-0.17,-0.65,-0.42,-0.2,-0.22,-0.38,-0.22,-0.16,0.3,-1.43,-0.8,-0.53,-0.5,-1.03,0.0,3074,1541,1533
95,Mark Bryant,2003,-0.83,-0.32,0.01,-0.03,0.83,-0.13,-1.38,-0.59,-0.69,0.1,-0.26,0.08,-0.34,-0.21,0.15,-0.04,-0.06,-0.1,-0.08,0.11,0.17,-0.1,0.02,-0.12,0.03,0.0,0.03,0.1,-0.85,-0.07,-1.06,0.03,-1.03,0.0,362,177,185
2220,Brandon Armstrong,2003,-0.11,-0.13,-0.16,-0.13,0.27,-0.31,-1.39,-1.02,-1.03,0.01,0.01,-0.06,0.07,0.15,0.05,-0.06,0.14,-0.05,-0.18,0.09,0.19,-0.26,-0.18,-0.08,0.01,0.01,0.0,0.08,-1.01,-0.25,-0.86,-0.17,-1.03,0.0,245,123,122
1531,Marc Jackson,2003,-0.83,0.49,-1.43,0.0,2.26,0.07,-0.27,0.34,0.2,0.14,-0.43,-0.02,-0.41,-0.43,0.36,-0.16,-0.31,-0.06,-0.05,0.03,-1.69,-0.54,-0.86,0.32,-0.27,-0.07,-0.2,0.29,-0.09,-0.81,-0.52,-0.52,-1.04,0.0,4260,2136,2124
1752,Sean Marks,2003,0.12,-0.1,-0.5,0.02,0.37,0.03,-1.33,-0.48,-0.39,-0.09,-0.39,-0.1,-0.28,0.07,-0.15,-0.03,-0.15,-0.02,0.31,-0.06,0.27,-0.77,-0.53,-0.24,0.33,0.1,0.22,0.19,-0.87,-0.44,-0.8,-0.25,-1.05,0.0,809,409,400
2198,Kwame Brown,2003,-0.1,0.08,-1.98,-0.17,2.08,-0.02,-1.94,-0.54,-0.09,-0.45,-0.4,-0.36,-0.03,-0.4,0.31,-0.41,0.51,-0.02,-0.82,0.2,-0.56,0.11,0.28,-0.17,0.05,-0.27,0.32,0.11,-0.94,0.16,-1.34,0.27,-1.06,0.01,6435,3199,3236
2370,Mengke Bateer,2003,-0.22,-0.11,0.04,0.04,0.18,-0.15,-0.72,-0.54,-0.51,-0.03,-0.24,-0.23,-0.01,-0.18,0.19,-0.13,-0.18,0.1,-0.02,0.02,0.23,-0.05,0.13,-0.18,-0.19,-0.05,-0.14,0.09,-0.78,-0.24,-0.96,-0.15,-1.12,-0.01,176,83,93
727,Eric Snow,2003,1.27,-0.74,-1.63,-0.62,0.36,-0.61,-1.48,-1.03,-1.83,0.8,-0.18,-0.27,0.08,-0.31,-0.03,0.07,-0.28,-0.06,0.31,-0.41,-0.07,-0.48,-0.38,-0.1,0.55,0.52,0.04,0.33,-1.21,0.07,-1.52,0.4,-1.12,-0.0,13049,6536,6513
1902,Jeff Foster,2003,-0.08,-0.25,-0.26,0.0,0.34,-1.17,-0.19,-2.5,-1.81,-0.69,-0.08,-0.05,-0.03,1.58,-0.12,-0.26,-0.22,-0.08,0.34,0.12,-0.03,-0.79,-0.71,-0.08,0.32,0.17,0.15,0.34,-2.58,-0.47,-1.0,-0.13,-1.13,0.0,3147,1546,1601
2484,Devin Brown,2003,-0.02,-0.23,-0.55,0.03,0.57,-0.31,-0.33,-0.35,-0.36,0.01,-0.18,-0.05,-0.12,-0.63,0.16,-0.1,0.16,0.01,-0.31,-0.01,0.26,0.03,0.03,-0.0,0.01,-0.03,0.03,-0.02,-0.53,0.04,-1.16,0.02,-1.14,0.0,373,185,188
458,Howard Eisley,2003,-1.15,-1.17,0.41,0.38,0.74,1.24,-0.27,0.54,0.76,-0.22,0.15,0.19,-0.04,-0.99,-0.81,-0.83,0.84,-0.02,-0.03,0.08,-1.75,-0.63,-0.77,0.14,-0.4,-0.32,-0.07,0.17,0.69,-1.03,-0.3,-0.86,-1.17,-0.01,8372,4194,4178
1498,Antonio Daniels,2003,0.06,0.17,-0.22,-0.32,0.16,0.14,-1.23,0.53,0.16,0.37,0.22,-0.16,0.38,-0.76,-0.25,-0.12,-0.66,-0.1,0.91,-0.12,-0.92,-1.35,-1.16,-0.19,0.28,-0.06,0.35,-0.1,0.75,-1.07,-0.01,-1.17,-1.18,0.0,3447,1717,1730
2470,Smush Parker,2003,1.5,0.18,0.77,-0.24,-2.27,-0.51,0.95,1.2,0.86,0.34,-0.73,-0.64,-0.09,-0.72,-0.11,-0.02,-0.22,-0.43,0.32,-0.3,-0.4,-1.57,-1.34,-0.23,0.12,0.07,0.06,0.5,0.47,-1.45,-0.25,-0.95,-1.2,0.0,4313,2151,2162
258,Brian Grant,2003,-0.87,0.03,-1.24,-0.6,2.11,0.33,-0.11,-1.09,-1.07,-0.02,0.05,-0.12,0.17,0.14,1.03,-0.12,0.29,-0.21,-1.32,-0.51,0.66,-0.75,-0.49,-0.26,-0.31,0.01,-0.32,0.73,-1.04,-1.06,-0.9,-0.33,-1.22,0.01,9349,4662,4687
2242,Terence Morris,2003,1.01,-0.27,-0.74,-0.4,-0.27,-0.06,1.01,-1.49,-1.08,-0.41,0.41,0.19,0.22,0.81,0.03,-0.04,0.03,0.13,-0.06,-0.25,0.2,0.0,-0.14,0.14,-0.52,-0.26,-0.26,-0.44,-1.08,-0.52,-0.27,-0.96,-1.23,0.0,2249,1122,1127
270,Horace Grant,2003,-0.4,-0.18,-0.49,-0.02,0.9,0.08,0.12,-0.68,-0.39,-0.29,-0.1,-0.23,0.13,-0.42,-0.28,-0.11,-0.06,-0.05,0.34,0.08,-0.37,-0.42,-0.39,-0.03,0.01,-0.04,0.05,0.35,-0.78,-0.41,-1.2,-0.06,-1.25,0.01,342,170,172
753,Randy Brown,2003,0.18,-0.28,-0.76,-0.08,0.58,-0.21,-0.91,-0.73,-0.72,-0.01,-0.14,0.11,-0.26,-0.29,-0.0,-0.11,-0.21,-0.04,0.21,0.07,-0.15,-0.22,-0.1,-0.12,0.34,-0.15,0.49,-0.23,-0.87,0.12,-1.16,-0.11,-1.26,0.01,911,452,459
1747,Rafer Alston,2003,0.6,-0.14,1.29,0.2,-1.89,-0.6,1.2,-0.26,0.2,-0.46,-0.22,-0.4,0.18,0.3,0.48,-0.17,-0.51,0.07,0.04,0.08,-0.12,-0.28,-0.12,-0.16,-0.44,-0.02,-0.42,-0.37,-0.48,-0.72,-0.18,-1.09,-1.27,0.0,3627,1813,1814
1740,Rashard Lewis,2003,-1.86,0.8,-0.17,0.03,2.03,-0.19,-0.34,0.33,0.06,0.27,0.21,0.37,-0.17,-0.44,0.98,-1.24,-0.97,-0.09,-0.01,-0.11,-1.13,-1.16,-1.33,0.17,-0.16,0.31,-0.47,-0.05,0.54,-1.32,0.1,-1.37,-1.27,-0.0,10910,5454,5456
2492,Adam Harrington,2003,0.11,0.03,-0.18,0.02,0.07,-0.57,-0.35,-1.08,-0.98,-0.1,0.07,-0.12,0.19,0.26,0.08,-0.03,-0.26,-0.11,0.19,-0.03,-0.15,-0.62,-0.56,-0.06,-0.08,0.05,-0.13,0.17,-1.01,-0.7,-0.75,-0.53,-1.28,0.0,253,126,127
2410,Fred Jones,2003,-0.0,-0.16,-0.18,-0.02,0.18,-0.26,-1.14,-0.9,-0.79,-0.11,-0.28,-0.01,-0.26,-0.07,0.19,0.02,-0.21,0.04,0.02,0.1,0.32,0.22,0.38,-0.16,-0.03,-0.11,0.08,-0.22,-1.18,0.19,-1.25,-0.03,-1.28,0.0,415,204,211
2413,Juan Dixon,2003,-1.27,0.01,0.08,-0.34,1.18,-0.28,-2.63,-0.67,-0.77,0.1,-0.2,-0.07,-0.13,-0.33,0.56,-0.34,0.09,-0.0,-0.65,0.3,1.21,-0.11,0.29,-0.4,-0.03,0.14,-0.17,0.05,-0.87,-0.14,-1.2,-0.09,-1.29,0.0,2336,1162,1174
363,Christian Laettner,2003,-0.82,0.57,-1.86,-0.29,2.68,0.45,1.14,-0.29,-0.47,0.18,0.01,-0.24,0.26,-0.69,0.33,-1.01,-0.3,-0.24,-0.04,0.44,0.56,-0.03,-0.5,0.47,-0.38,0.17,-0.55,0.09,-0.28,-0.41,-0.97,-0.32,-1.29,-0.0,8085,4051,4034
446,Lucious Harris,2003,0.63,-0.47,-1.15,-0.61,0.52,-1.31,-1.33,-2.24,-2.49,0.25,0.34,0.48,-0.14,1.28,0.13,0.09,-0.32,-0.34,0.18,0.4,0.15,-0.24,-0.09,-0.15,0.14,-0.15,0.29,-0.57,-1.9,-0.1,-0.62,-0.67,-1.3,-0.01,8941,4463,4478
296,Rick Fox,2003,0.4,0.46,-0.24,0.08,-0.16,-0.24,0.82,-0.98,-0.91,-0.07,-0.06,-0.11,0.05,-0.12,0.77,-0.25,-0.22,-0.04,-0.55,-0.09,0.5,0.65,0.51,0.14,-0.31,-0.22,-0.09,-0.48,-1.04,0.34,-1.16,-0.14,-1.3,0.0,8592,4297,4295
2411,Bostjan Nachbar,2003,0.13,0.07,-0.15,-0.12,0.01,-0.29,-1.45,-0.81,-0.68,-0.13,-0.51,-0.41,-0.09,-0.08,0.03,0.05,-0.04,-0.0,0.01,0.02,0.41,0.13,0.17,-0.04,-0.04,-0.03,-0.01,0.0,-1.32,0.09,-1.4,0.09,-1.31,0.0,296,149,147
948,Marcus Camby,2003,0.83,-0.48,-1.6,-0.15,0.76,-0.83,0.12,-2.05,-1.61,-0.44,-0.01,0.06,-0.06,0.91,0.13,-0.1,-0.29,-0.01,0.15,0.17,-0.55,-0.13,-0.06,-0.07,-0.41,-0.28,-0.13,0.38,-2.06,-0.54,-1.15,-0.16,-1.31,-0.0,2285,1137,1148
1735,Vladimir Stepania,2003,0.62,-1.42,-0.23,-0.33,-0.38,-2.04,-1.73,-2.94,-2.79,-0.15,-0.11,-0.08,-0.03,1.02,-0.18,0.52,0.04,-0.0,0.14,0.23,0.69,1.05,0.68,0.37,-0.16,-0.28,0.11,-0.18,-3.05,0.89,-2.03,0.71,-1.32,-0.0,5512,2744,2768
89,Nick Van Exel,2003,-0.55,-0.63,3.68,0.98,-3.14,0.28,1.39,2.76,2.05,0.71,0.55,-0.14,0.69,-1.4,-0.38,-0.34,-1.67,0.05,2.04,-0.1,-1.85,-1.75,-1.44,-0.31,-0.9,-0.18,-0.73,-0.58,3.31,-2.65,1.91,-3.23,-1.33,-0.01,10112,5080,5032
1886,Jonathan Bender,2003,-0.51,-0.08,-0.43,-0.24,0.94,-0.24,-1.45,-1.74,-1.43,-0.31,0.08,0.31,-0.22,0.33,-0.17,0.27,0.49,-0.03,-0.32,0.36,1.54,0.78,1.17,-0.39,-0.67,-0.38,-0.29,-0.11,-1.66,0.11,-1.33,0.0,-1.33,-0.0,3193,1595,1598
680,John Amaechi,2003,1.36,0.1,-0.56,-0.28,-0.79,-0.59,-1.79,-1.46,-1.15,-0.31,-0.47,-0.43,-0.04,-0.03,-0.49,-0.28,0.19,0.04,0.3,0.17,0.9,-0.19,-0.28,0.09,0.83,0.4,0.43,-0.01,-1.93,0.64,-1.96,0.63,-1.34,-0.01,1800,901,899
2352,Dean Oliver,2003,-0.34,-0.16,0.07,-0.14,0.27,-0.11,-1.09,0.19,-0.1,0.29,-0.43,-0.32,-0.1,-0.84,0.09,-0.08,-0.0,-0.08,-0.09,0.01,0.13,-0.46,-0.33,-0.13,0.27,0.16,0.11,-0.08,-0.24,-0.19,-1.08,-0.27,-1.35,0.0,387,191,196
2429,Dan Gadzuric,2003,-1.47,0.28,-0.93,0.08,2.4,-0.25,-2.33,-2.15,-1.45,-0.7,0.09,-0.26,0.34,0.56,0.13,-0.26,0.4,0.01,-0.53,-0.05,-0.93,0.37,0.11,0.26,0.01,0.03,-0.02,-0.23,-2.06,0.38,-1.5,0.15,-1.35,-0.0,2861,1428,1433
2405,Amar'e Stoudemire,2003,1.39,-0.46,-1.6,0.43,0.21,-0.61,-0.95,-0.41,-0.43,0.02,-0.8,-0.1,-0.69,0.56,-1.11,-0.13,-0.35,0.36,1.46,0.0,-1.71,0.17,-0.15,0.32,-0.43,-0.14,-0.29,-0.45,-1.21,-0.26,-0.65,-0.71,-1.36,-0.0,10392,5217,5175
2047,Quentin Richardson,2003,1.11,-1.56,1.73,-0.85,-2.85,-0.27,-2.91,-2.43,-2.24,-0.19,-0.02,0.04,-0.06,0.93,0.28,0.05,-0.48,0.11,0.19,0.06,0.39,0.53,0.6,-0.07,-0.32,-0.26,-0.06,-0.06,-2.45,0.21,-1.52,0.15,-1.37,0.0,5000,2499,2501
2211,Troy Murphy,2003,-0.61,0.2,-1.03,-0.13,1.64,-0.48,-1.66,-0.15,-0.49,0.34,-0.16,0.14,-0.29,-0.29,0.55,-0.8,0.5,0.02,-1.04,0.0,-1.13,-0.59,-0.74,0.15,-0.85,-0.53,-0.31,0.67,-0.31,-1.44,-0.6,-0.77,-1.37,0.0,9820,4901,4919
393,Rod Strickland,2003,-0.24,0.62,-2.16,-0.0,2.4,-0.6,-0.94,-1.07,-1.07,-0.0,-0.14,-0.02,-0.11,-0.18,0.31,0.14,-0.04,0.0,-0.28,-0.07,-0.18,-0.01,-0.03,0.02,0.15,0.02,0.13,-0.13,-1.21,0.14,-1.39,0.01,-1.38,0.0,3860,1927,1933
1510,Brevin Knight,2003,1.52,-0.12,-2.29,-0.47,0.77,-0.38,0.87,-1.15,-0.91,-0.24,-0.22,-0.15,-0.06,-0.45,0.19,0.18,-0.86,-0.14,0.67,-0.09,-0.99,-0.02,-0.08,0.06,0.5,0.12,0.37,-0.05,-1.37,0.48,-1.82,0.43,-1.39,0.0,3469,1731,1738
2453,Predrag Savovic,2003,0.79,-0.5,-0.01,-0.4,-0.77,-0.35,-1.94,-0.68,-0.61,-0.07,-0.92,-0.44,-0.48,-0.27,-0.01,0.2,-0.18,0.05,0.19,-0.17,0.16,-0.5,-0.24,-0.26,0.55,0.31,0.24,0.43,-1.6,0.05,-1.87,0.48,-1.39,0.0,966,482,484
2106,Ruben Wolkowyski,2003,-0.33,0.01,0.12,-0.08,0.21,-0.2,-0.5,-0.77,-0.63,-0.14,-0.15,-0.05,-0.1,-0.06,0.0,-0.06,-0.04,0.01,0.03,-0.13,0.05,-0.31,-0.25,-0.06,-0.05,-0.03,-0.02,-0.07,-0.92,-0.36,-0.98,-0.43,-1.41,0.0,70,36,34
2218,Joseph Forte,2003,-0.41,-0.02,-0.4,0.04,0.81,-0.38,-0.86,-1.22,-1.0,-0.22,0.09,0.07,0.01,-0.01,-0.12,-0.2,-0.14,0.06,0.27,0.06,-0.25,0.0,-0.03,0.03,-0.03,-0.02,-0.01,-0.24,-1.13,-0.03,-1.14,-0.27,-1.42,-0.01,286,144,142
969,Travis Knight,2003,-0.09,0.22,0.04,-0.25,0.05,-0.69,-0.32,-1.24,-1.13,-0.11,-0.17,-0.27,0.1,-0.29,0.59,0.12,-0.49,-0.03,-0.1,-0.02,0.01,-0.05,0.07,-0.12,0.14,0.05,0.09,0.17,-1.41,0.09,-1.7,0.26,-1.44,0.0,1052,532,520
