player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1629483,Napheesa Collier,2025,2.465,0.362,-0.147,0.509,0.989,-0.178,1.168,1.113,-0.016,1.129,-0.085,-0.239,0.153,0.236,-0.372,2.615,2.243,-0.0,0.348,0.501,-0.153,0.348,0.535,0.23,0.011,0.219,0.532,0.114,0.418,-0.227,-0.001,-0.226,0.031,0.146,-0.115,0.401,-0.328,0.967,0.639,-0.0,0.368,0.311,0.057,0.368,2.999,-0.054,-0.093,0.038,0.637,-0.7,2.882,-0.0,2.243,0.639,2.882,21561,10779,10782
204319,Jewell Loyd,2025,0.189,-0.183,-0.13,-0.052,-0.04,0.052,-0.091,0.412,-0.025,0.436,0.189,-0.07,0.26,0.51,1.035,0.888,1.924,0.0,0.255,-0.137,0.392,0.255,0.467,-0.322,-0.078,-0.244,0.461,-0.02,0.482,0.328,0.041,0.287,0.048,0.034,0.014,0.388,-0.285,0.903,0.618,-0.0,0.353,0.171,0.181,0.353,0.656,0.237,-0.037,0.274,0.898,0.75,2.542,0.0,1.924,0.618,2.542,26375,13199,13176
203026,Tiffany Hayes,2025,1.468,0.063,0.185,-0.122,0.557,0.495,0.063,0.847,0.104,0.743,-0.077,0.06,-0.136,0.647,-0.527,2.038,1.511,0.0,0.598,0.298,0.3,0.598,0.527,0.549,0.15,0.399,0.072,0.06,0.012,-0.094,-0.058,-0.036,-0.064,-0.103,0.038,0.339,0.146,0.802,0.948,0.0,0.174,-0.006,0.18,0.174,1.994,-0.141,-0.043,-0.098,0.986,-0.381,2.459,0.0,1.511,0.948,2.459,12452,6211,6241
1629501,Alanna Smith,2025,1.412,-0.106,-0.164,0.058,0.273,0.137,0.135,1.246,-0.01,1.255,-0.358,-0.39,0.032,0.301,0.185,1.355,1.54,-0.0,0.096,-0.069,0.165,0.096,0.25,-0.011,-0.023,0.012,0.069,-0.044,0.112,0.192,0.048,0.144,0.167,0.107,0.06,0.322,0.084,0.739,0.823,-0.0,0.363,0.467,-0.104,0.363,1.662,-0.191,-0.283,0.092,0.623,0.27,2.363,-0.0,1.54,0.823,2.363,17454,8721,8733
1628277,Allisha Gray,2025,0.178,0.077,0.107,-0.031,0.427,0.256,0.171,-0.325,-0.037,-0.288,0.327,0.465,-0.139,0.635,0.424,1.14,1.564,0.0,0.496,0.605,-0.109,0.496,0.592,0.623,-0.038,0.662,-0.122,0.064,-0.186,0.091,0.034,0.057,0.099,0.169,-0.069,-0.243,0.29,0.448,0.738,0.0,-0.211,-0.1,-0.112,-0.211,0.77,0.426,0.634,-0.208,0.392,0.714,2.301,0.0,1.564,0.738,2.301,25356,12680,12676
203399,Elena Delle Donne,2025,1.31,0.303,-0.151,0.455,0.403,-0.374,0.777,0.603,0.101,0.502,-0.092,-0.228,0.135,0.501,-0.477,1.718,1.241,-0.0,0.723,0.555,0.169,0.723,0.783,0.018,-0.016,0.034,0.269,0.084,0.185,0.496,-0.05,0.546,0.065,0.074,-0.009,-0.075,0.245,0.773,1.017,0.0,-0.07,0.006,-0.076,-0.07,2.093,-0.027,-0.153,0.126,0.425,-0.232,2.258,0.0,1.241,1.017,2.258,6129,3071,3058
1629567,Natisha Hiedeman,2025,0.769,0.788,0.286,0.502,-0.097,0.191,-0.288,0.077,0.036,0.041,0.161,0.107,0.054,0.38,0.587,1.31,1.897,-0.0,0.074,0.596,-0.522,0.074,0.518,-0.198,-0.005,-0.193,0.12,0.04,0.079,0.596,-0.013,0.61,-0.083,-0.049,-0.034,0.236,-0.522,0.67,0.148,0.0,0.267,0.065,0.202,0.267,1.286,0.078,0.058,0.02,0.616,0.064,2.045,0.0,1.897,0.148,2.045,16585,8288,8297
203827,Natasha Howard,2025,1.59,1.326,0.289,1.037,0.015,0.017,-0.003,0.249,-0.046,0.294,-0.063,-0.103,0.04,-0.481,0.552,1.046,1.598,0.0,-0.603,-0.182,-0.421,-0.603,-0.151,-0.499,-0.094,-0.404,0.005,0.019,-0.014,0.343,0.011,0.331,0.05,0.139,-0.089,0.031,0.278,-0.071,0.208,0.0,0.188,-0.099,0.287,0.188,1.438,-0.013,0.036,-0.049,-0.45,0.83,1.806,0.0,1.598,0.208,1.806,21221,10614,10607
202664,Courtney Vandersloot,2025,-0.031,0.148,0.12,0.028,0.094,0.098,-0.004,-0.272,0.096,-0.368,-0.27,-0.16,-0.11,0.117,0.762,-0.184,0.578,0.0,0.302,0.254,0.048,0.302,0.977,0.91,0.052,0.858,0.685,0.205,0.48,-0.618,-0.042,-0.576,0.159,0.18,-0.021,0.353,-0.274,1.489,1.215,0.0,0.225,0.242,-0.017,0.225,0.946,-0.112,0.019,-0.131,0.47,0.488,1.794,0.0,0.578,1.215,1.794,21651,10820,10831
1628878,Ariel Atkins,2025,1.463,-0.5,-0.207,-0.294,1.119,-0.001,1.12,0.845,0.079,0.765,0.103,-0.064,0.167,-0.152,0.428,1.413,1.842,0.0,-0.056,-0.13,0.074,-0.056,-0.527,-0.081,0.125,-0.207,-0.09,-0.0,-0.089,-0.356,-0.018,-0.337,-0.063,-0.167,0.104,0.257,0.225,-0.333,-0.108,0.0,0.216,0.019,0.196,0.216,0.936,0.04,-0.231,0.271,0.104,0.653,1.733,0.0,1.842,-0.108,1.733,21219,10609,10610
1631007,Veronica Burton,2025,-1.036,-1.038,-0.045,-0.993,0.357,0.434,-0.077,-0.355,0.008,-0.363,0.062,0.064,-0.002,1.007,0.848,0.033,0.881,0.0,0.584,0.455,0.129,0.584,0.894,0.681,0.175,0.506,0.246,-0.0,0.246,-0.033,0.002,-0.035,0.067,0.021,0.046,0.037,-0.256,0.998,0.742,0.0,0.148,0.066,0.081,0.148,-0.142,0.129,0.085,0.044,1.044,0.592,1.623,0.0,0.881,0.742,1.623,10621,5306,5315
1628931,Gabby Williams,2025,1.043,0.333,0.005,0.329,-0.005,-0.111,0.106,0.715,-0.07,0.785,-0.894,-0.896,0.002,1.06,0.252,1.209,1.461,0.0,0.802,0.374,0.428,0.802,-0.007,-0.324,-0.097,-0.227,-0.074,-0.014,-0.06,0.391,0.059,0.332,0.064,-0.002,0.066,0.143,-0.055,0.201,0.145,-0.0,0.378,0.359,0.019,0.378,1.037,-0.83,-0.898,0.068,1.203,0.197,1.606,-0.0,1.461,0.145,1.606,12752,6370,6382
1641648,Aliyah Boston,2025,1.209,0.031,0.101,-0.07,0.489,0.268,0.22,0.689,-0.081,0.77,0.123,0.246,-0.122,0.148,0.508,1.48,1.988,0.0,0.218,0.357,-0.14,0.218,-0.143,0.146,0.038,0.109,-0.144,-0.069,-0.075,-0.145,0.04,-0.185,-0.078,0.022,-0.099,-0.415,0.186,-0.636,-0.451,-0.0,-0.433,-0.285,-0.148,-0.433,1.065,0.046,0.267,-0.221,-0.267,0.694,1.538,0.0,1.988,-0.451,1.538,17714,8865,8849
1629524,Bridget Carleton,2025,0.28,-0.459,-0.129,-0.33,-0.229,0.156,-0.385,0.968,-0.031,0.999,-0.308,-0.115,-0.194,-0.054,-0.064,-0.082,-0.146,-0.0,-0.009,-0.413,0.404,-0.009,0.76,0.15,0.066,0.084,0.111,-0.06,0.172,0.499,0.017,0.481,0.177,0.181,-0.003,0.448,0.251,1.385,1.636,-0.0,0.357,0.052,0.305,0.357,1.04,-0.131,0.066,-0.197,0.394,0.187,1.49,-0.0,-0.146,1.636,1.49,19914,9943,9971
1631086,Lexie Hull,2025,0.466,0.532,0.069,0.463,0.34,0.018,0.322,-0.406,-0.121,-0.285,-0.07,-0.046,-0.024,-0.131,0.688,0.265,0.953,-0.0,-0.27,-0.332,0.062,-0.27,-0.138,-0.246,-0.046,-0.199,-0.492,-0.048,-0.444,0.6,0.072,0.528,-0.156,-0.203,0.047,0.389,0.427,0.095,0.522,-0.0,0.44,0.274,0.166,0.44,0.328,-0.226,-0.249,0.023,0.257,1.115,1.475,-0.0,0.953,0.522,1.475,11492,5749,5743
1642804,Te-Hina Paopao,2025,0.785,-0.104,0.005,-0.11,0.581,0.591,-0.009,0.308,-0.027,0.335,-0.323,-0.349,0.026,1.048,0.311,1.51,1.821,-0.0,0.492,0.087,0.405,0.492,-0.307,-0.122,-0.009,-0.113,-0.167,0.064,-0.231,-0.018,0.06,-0.078,0.197,0.132,0.065,-0.487,0.249,-0.598,-0.349,0.0,-0.325,-0.153,-0.172,-0.325,0.478,-0.127,-0.218,0.091,0.561,0.56,1.473,0.0,1.821,-0.349,1.473,2796,1401,1395
1631044,Naz Hillmon,2025,0.498,-0.002,0.16,-0.162,0.221,0.281,-0.06,0.279,-0.074,0.353,0.16,0.178,-0.018,0.009,0.14,0.667,0.807,-0.0,-0.207,-0.009,-0.197,-0.207,0.563,0.478,-0.055,0.534,-0.668,0.014,-0.682,0.753,0.046,0.708,0.09,0.049,0.041,-0.441,0.433,0.212,0.646,0.0,-0.426,-0.238,-0.188,-0.426,1.062,0.249,0.227,0.022,-0.432,0.573,1.453,-0.0,0.807,0.646,1.453,12544,6269,6275
203825,Kayla McBride,2025,1.749,0.318,0.021,0.297,0.913,0.011,0.902,0.518,-0.022,0.539,0.155,-0.029,0.184,-0.003,-0.51,1.9,1.39,0.0,0.051,0.219,-0.168,0.051,0.159,0.162,-0.114,0.276,0.268,0.06,0.209,-0.272,0.006,-0.278,0.363,0.361,0.002,-0.262,-0.225,0.26,0.035,0.0,-0.151,0.278,-0.428,-0.151,1.908,0.518,0.332,0.186,-0.265,-0.736,1.425,0.0,1.39,0.035,1.425,26014,13008,13006
1628244,Sami Whitcomb,2025,1.293,0.399,-0.1,0.499,0.371,0.346,0.025,0.522,0.08,0.442,-0.178,-0.057,-0.121,-0.017,-0.104,1.098,0.994,0.0,-0.133,-0.157,0.024,-0.133,0.749,-0.187,-0.115,-0.073,0.468,0.007,0.461,0.468,0.033,0.435,-0.202,-0.267,0.065,-0.144,-0.013,0.403,0.39,0.0,-0.097,-0.164,0.067,-0.097,2.041,-0.38,-0.324,-0.056,-0.16,-0.117,1.384,0.0,0.994,0.39,1.384,15860,7929,7931
201516,Allie Quigley,2025,1.165,0.805,0.133,0.672,0.087,-0.041,0.128,0.273,0.083,0.19,-0.299,-0.498,0.199,0.374,-0.242,1.24,0.998,-0.0,0.442,0.214,0.228,0.442,0.379,0.17,-0.124,0.295,0.285,0.106,0.179,-0.076,-0.008,-0.068,0.126,0.099,0.027,-0.01,-0.141,0.495,0.354,0.0,0.045,0.05,-0.005,0.045,1.544,-0.173,-0.399,0.226,0.364,-0.383,1.352,-0.0,0.998,0.354,1.352,8440,4228,4212
1627675,Courtney Williams,2025,0.336,0.252,-0.246,0.499,-0.075,-0.646,0.572,0.158,-0.026,0.184,-0.396,-0.542,0.146,0.003,0.102,-0.057,0.045,-0.0,0.084,-0.004,0.088,0.084,0.516,0.343,-0.043,0.387,0.151,0.027,0.124,0.022,0.004,0.018,0.22,0.233,-0.013,0.46,0.041,1.197,1.238,0.0,0.439,0.642,-0.203,0.439,0.852,-0.175,-0.309,0.133,0.463,0.143,1.283,-0.0,0.045,1.238,1.283,27676,13821,13855
1628886,Jordin Canada,2025,0.058,0.329,0.176,0.154,-0.537,0.015,-0.552,0.266,0.013,0.253,-0.172,-0.031,-0.14,0.521,-0.518,0.408,-0.11,0.0,0.456,0.318,0.138,0.456,0.116,0.013,-0.014,0.028,-0.438,0.048,-0.486,0.54,-0.02,0.56,0.063,0.109,-0.047,0.58,0.627,0.758,1.385,-0.0,0.581,0.418,0.163,0.581,0.174,-0.109,0.078,-0.187,1.101,0.109,1.275,-0.0,-0.11,1.385,1.275,17046,8527,8519
