player_id,player_name,Latest_Year,oTS,oFT,oTOV,oTOV_bp,oTOV_sc,oREB,dTS,dFT,dTOV,dTOV_bp,dTOV_sc,dREB,off,def,net_rapm,RESID,o_sc,o_fc,d_sc,d_fc,o_pval,d_pval,possessions,off_poss,def_poss
1630182,Josh Green,2026,0.16,0.16,-0.61,-0.16,-0.16,1.33,1.4,0.04,0.76,0.07,0.28,-0.19,0.82,2.08,2.9,0.05,0.32,0.5,0.53,1.55,0.72,0.57,3493,1749,1744
202331,Paul George,2026,0.82,-0.32,0.99,0.26,0.81,-0.4,0.5,0.1,1.19,0.26,0.24,-0.09,1.36,1.48,2.85,-0.16,0.46,0.9,-0.16,1.64,0.59,1.1,4273,2141,2132
1630567,Scottie Barnes,2026,1.02,0.07,0.12,-0.14,0.62,0.13,0.76,0.06,0.75,0.03,0.56,-0.1,1.5,1.32,2.82,0.14,0.83,0.67,-0.23,1.55,0.25,0.65,10524,5274,5250
1626157,Karl-Anthony Towns,2026,1.83,0.22,-0.49,0.13,0.14,0.64,0.01,0.05,-0.28,0.1,0.08,1.2,2.02,0.77,2.79,-0.12,0.29,1.73,0.27,0.5,0.15,0.92,9113,4572,4541
1630178,Tyrese Maxey,2026,0.72,0.4,1.49,0.66,0.3,-0.11,0.48,-0.09,0.59,0.44,0.2,-0.46,2.14,0.63,2.78,0.07,0.44,1.7,-0.46,1.09,1.38,0.13,10429,5231,5198
203954,Joel Embiid,2026,2.71,0.66,0.49,0.48,0.03,-0.72,1.55,-0.07,-1.09,0.29,-0.79,-0.33,2.54,0.17,2.71,0.1,0.12,2.42,-0.18,0.35,-0.23,-1.42,4905,2457,2448
1630692,Jordan Goodwin,2026,-1.05,-0.13,-0.03,0.26,-0.43,2.18,-0.81,-0.64,2.17,0.21,1.14,-0.05,1.33,1.36,2.7,0.29,1.65,-0.32,0.43,0.93,2.15,2.12,6219,3098,3121
1628389,Bam Adebayo,2026,-0.27,0.52,0.85,0.66,-0.15,-0.38,0.81,0.33,0.12,0.07,0.32,1.54,0.29,2.4,2.69,0.02,0.42,-0.13,1.63,0.77,0.47,1.66,9542,4780,4762
203932,Aaron Gordon,2026,0.28,0.06,1.37,0.61,0.66,-0.29,1.56,0.1,-0.81,-0.12,-0.31,0.41,1.48,1.2,2.69,0.17,-0.13,1.61,0.26,0.94,1.08,-0.4,3983,1988,1995
1630217,Desmond Bane,2026,1.21,0.64,0.66,0.1,0.48,-0.25,1.04,0.07,-0.29,-0.05,0.2,0.33,1.73,0.9,2.64,-0.06,0.24,1.49,0.62,0.28,0.41,0.04,10991,5499,5492
