player_id,player_name,Latest_Year,oRIM_FREQ,oRIM_FG_PCT,oTHREE_FREQ,oTHREE_FG_PCT,oMIDRANGE_FREQ,oMIDRANGE_FG_PCT,oASSIST_POINTS,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dRIM_FREQ,dRIM_FG_PCT,dTHREE_FREQ,dTHREE_FG_PCT,dMIDRANGE_FREQ,dMIDRANGE_FG_PCT,dASSIST_POINTS,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
2544,LeBron James,2016,2.28,4.4,2.45,1.24,-4.74,1.48,3.56,7.47,6.72,0.75,0.81,0.17,0.63,-0.44,-0.06,0.8,-0.27,0.32,0.33,0.34,1.68,1.04,0.75,0.29,0.86,0.73,0.13,0.54,8.28,1.9,7.84,2.44,10.28,0.0,66065,33113,32952
101108,Chris Paul,2016,-1.34,2.23,2.88,0.65,-1.54,2.58,2.27,5.59,4.73,0.86,1.73,0.97,0.75,-0.41,0.71,0.27,-0.49,0.19,-0.21,0.36,1.53,0.21,1.01,-0.8,1.14,0.49,0.65,0.83,7.32,1.35,6.91,2.18,9.09,0.0,52338,26231,26107
201939,Stephen Curry,2016,1.09,1.63,5.26,2.9,-6.44,0.32,4.35,6.3,5.71,0.59,0.3,-0.33,0.63,0.61,0.81,-0.04,-0.24,-0.13,-0.59,0.87,1.37,0.84,0.89,-0.05,0.48,0.12,0.36,-0.07,6.6,1.32,7.21,1.25,8.46,0.0,56781,28450,28331
203110,Draymond Green,2016,1.11,1.56,4.08,0.21,-5.18,-0.48,3.28,3.01,2.62,0.39,-0.02,-0.21,0.19,-0.07,0.99,0.87,-0.55,1.14,-0.43,0.49,2.36,2.33,2.53,-0.2,0.99,0.72,0.26,0.12,2.99,3.32,2.92,3.44,6.36,0.0,40554,20210,20344
201566,Russell Westbrook,2016,4.12,0.87,-1.22,0.28,-2.93,0.85,-0.86,4.95,3.42,1.53,0.88,0.16,0.72,-0.12,-1.02,0.92,1.1,-0.1,-0.05,0.1,1.06,-0.14,-0.07,-0.07,0.43,0.26,0.18,0.0,5.83,0.29,5.71,0.29,6.0,0.0,54968,27545,27423
2594,Kyle Korver,2016,-0.82,0.88,4.22,2.1,-3.33,1.14,8.58,3.5,4.03,-0.53,0.1,-0.19,0.29,0.24,-0.14,1.49,-0.12,0.55,0.29,0.15,0.34,1.12,1.19,-0.07,0.12,0.09,0.03,0.64,3.6,1.24,3.84,1.88,5.73,0.01,47506,24001,23505
200768,Kyle Lowry,2016,0.77,0.3,3.06,0.84,-3.86,-0.05,0.64,1.96,1.17,0.79,0.58,0.45,0.12,1.14,0.9,-0.03,-0.78,-0.25,-0.11,0.5,1.6,0.62,1.09,-0.47,1.15,-0.05,1.21,0.17,2.54,1.77,3.68,1.94,5.62,0.0,48930,24482,24448
2738,Andre Iguodala,2016,0.55,1.07,0.1,0.84,-0.56,0.43,2.09,2.03,2.19,-0.16,0.43,0.48,-0.05,0.17,0.13,0.43,1.31,1.18,-1.42,1.0,3.57,2.24,2.39,-0.15,0.83,0.36,0.47,-0.34,2.46,3.07,2.63,2.73,5.35,-0.01,51154,25581,25573
201142,Kevin Durant,2016,0.42,2.28,2.25,0.12,-2.64,1.5,1.31,4.79,2.8,1.99,0.06,0.26,-0.19,-0.41,-0.58,1.17,-0.47,0.64,1.09,0.94,2.34,2.11,2.25,-0.14,-0.8,-0.33,-0.47,-0.61,4.85,1.31,4.44,0.7,5.14,0.0,59066,29639,29427
1938,Manu Ginobili,2016,3.33,1.8,4.25,0.91,-7.59,-0.32,4.9,4.86,3.7,1.16,-0.48,-0.88,0.4,-0.2,0.47,0.52,-0.49,0.62,0.0,-0.34,1.79,0.5,0.59,-0.09,0.92,0.13,0.79,-0.55,4.38,1.42,4.18,0.87,5.04,-0.01,32407,16291,16116
201937,Ricky Rubio,2016,1.8,-0.12,-0.73,-0.42,-1.06,0.33,2.82,1.96,0.66,1.3,0.55,0.09,0.47,-0.17,-0.08,-0.63,0.0,-0.0,0.09,0.18,1.78,-0.15,0.07,-0.22,2.19,0.93,1.26,0.53,2.51,2.04,2.34,2.57,4.91,0.0,34356,17178,17178
202331,Paul George,2016,0.63,-0.28,1.81,0.04,-2.43,0.44,-1.32,2.72,1.62,1.1,-0.75,-0.61,-0.13,-0.39,-0.04,1.41,-0.76,0.61,0.79,0.89,2.2,1.57,1.48,0.09,1.02,0.71,0.31,0.6,1.97,2.59,1.58,3.19,4.77,0.0,48424,24205,24219
203468,CJ McCollum,2016,-1.39,-0.95,2.82,0.82,-1.47,0.28,0.14,0.53,0.84,-0.31,1.06,0.66,0.4,1.12,1.31,1.22,0.82,-0.08,-2.19,-0.28,2.35,1.62,1.69,-0.07,-0.4,-0.66,0.26,0.52,1.59,1.22,2.71,1.74,4.44,-0.01,19220,9615,9605
201144,Mike Conley,2016,2.15,-0.92,-0.03,0.32,-2.11,0.12,1.47,0.91,0.62,0.29,1.89,0.99,0.9,0.06,-0.06,0.22,-0.14,0.21,0.21,0.06,0.48,0.56,0.41,0.15,0.72,0.42,0.3,0.06,2.8,1.28,2.86,1.34,4.2,0.0,46839,23453,23386
201935,James Harden,2016,2.65,1.01,4.61,0.34,-7.27,-0.25,-1.62,5.98,3.55,2.43,0.51,0.43,0.09,-0.81,-0.59,-0.56,-0.66,0.22,1.26,-0.15,0.53,-0.95,-0.69,-0.26,0.04,-0.05,0.09,-0.64,6.49,-0.91,5.68,-1.55,4.13,0.0,62091,31129,30962
201588,George Hill,2016,-0.69,1.15,1.13,0.11,-0.44,0.24,1.13,2.26,1.61,0.65,1.1,0.53,0.58,0.13,0.41,1.5,0.77,0.73,-1.12,0.12,2.33,1.48,1.63,-0.15,-0.52,-0.22,-0.3,-0.36,3.36,0.96,3.49,0.6,4.1,0.01,45258,22637,22621
202322,John Wall,2016,1.16,1.63,-0.0,0.62,-1.16,-0.22,0.06,2.43,1.8,0.63,0.92,0.5,0.42,-0.38,-0.3,0.25,0.17,0.07,0.14,-0.07,0.87,0.31,0.21,0.1,1.06,0.14,0.91,-0.28,3.35,1.37,2.97,1.09,4.06,0.0,51999,26048,25951
203081,Damian Lillard,2016,1.06,-0.14,5.09,1.36,-6.13,-0.45,0.28,3.19,2.16,1.03,1.53,0.54,0.99,0.29,-0.24,0.22,2.02,0.04,-1.77,-0.33,1.48,0.04,0.2,-0.16,-0.95,-0.37,-0.58,-0.11,4.72,-0.91,5.01,-1.02,3.99,0.0,49544,24821,24723
1717,Dirk Nowitzki,2016,-3.47,1.15,-0.6,1.39,4.08,2.75,1.68,3.36,2.76,0.6,1.15,0.35,0.81,-0.7,2.19,-0.77,-1.02,-0.53,-1.17,-0.08,-1.04,-0.02,-0.57,0.55,-0.64,-0.47,-0.17,0.82,4.51,-0.66,3.81,0.16,3.98,0.01,44912,22639,22273
202339,Eric Bledsoe,2016,1.49,0.93,0.73,-0.07,-2.23,0.2,-1.6,1.43,1.74,-0.31,-0.46,-0.19,-0.26,-0.46,0.74,0.98,-0.4,0.01,-0.34,0.73,1.36,2.43,2.13,0.3,1.21,0.85,0.35,-0.24,0.97,3.64,0.51,3.4,3.91,0.0,29471,14720,14751
200746,LaMarcus Aldridge,2016,-1.17,0.65,-4.78,-0.05,5.95,1.37,0.32,0.11,-0.22,0.33,0.36,0.34,0.01,1.19,0.41,0.73,1.82,0.17,-2.25,0.22,0.95,1.5,1.36,0.14,0.03,-0.11,0.14,0.6,0.47,1.53,1.66,2.13,3.79,0.0,49511,24782,24729
203114,Khris Middleton,2016,-0.05,-0.95,-0.73,0.92,0.77,1.96,2.53,2.22,2.11,0.11,0.75,0.42,0.33,-0.13,-0.17,0.53,-1.37,-0.15,1.54,0.44,0.07,-0.2,-0.11,-0.09,0.96,0.72,0.25,0.13,2.97,0.76,2.84,0.89,3.73,0.0,32063,16055,16008
202695,Kawhi Leonard,2016,-0.05,1.06,-1.92,0.7,1.96,0.71,-0.62,1.08,0.95,0.13,0.24,0.37,-0.14,-0.16,0.21,0.15,0.68,0.58,-0.89,0.43,0.75,0.93,0.63,0.3,0.46,0.34,0.12,1.03,1.32,1.39,1.16,2.42,3.58,0.0,46517,23298,23219
201980,Danny Green,2016,-1.01,-0.36,2.09,1.08,-1.09,0.19,1.53,0.85,0.88,-0.03,0.52,-0.03,0.55,-0.2,-0.0,1.47,-0.06,0.36,0.06,0.3,1.19,2.5,1.94,0.56,-0.06,-0.24,0.17,-0.07,1.37,2.44,1.17,2.37,3.54,0.0,44685,22375,22310
2754,Tony Allen,2016,3.82,-1.38,-4.74,0.14,0.91,-1.03,-1.92,-0.17,-0.57,0.4,-0.6,-0.3,-0.3,0.54,-0.45,0.46,0.32,0.14,0.13,0.99,2.05,0.78,1.04,-0.26,1.7,1.3,0.41,1.09,-0.77,2.48,-0.23,3.57,3.34,0.0,34603,17143,17460
202691,Klay Thompson,2016,-0.05,0.95,2.18,2.56,-2.17,0.6,5.09,3.37,3.56,-0.19,0.62,0.18,0.44,-0.69,-0.18,0.05,0.6,0.27,-0.41,0.32,-0.32,0.73,0.59,0.14,-0.29,-0.28,-0.01,-0.51,3.99,0.44,3.3,-0.07,3.23,-0.0,58646,29343,29303
201568,Danilo Gallinari,2016,2.76,-0.29,0.84,0.24,-3.68,-1.66,-1.09,1.56,0.14,1.42,0.4,0.47,-0.07,-0.55,0.44,0.01,-0.59,-0.19,0.1,0.26,0.01,0.95,0.64,0.31,0.36,0.15,0.21,0.51,1.96,1.31,1.41,1.82,3.22,-0.01,27763,13904,13859
201933,Blake Griffin,2016,1.02,2.97,-1.78,0.61,0.77,-0.74,3.26,1.11,0.63,0.48,0.01,0.11,-0.1,1.48,0.08,-0.86,0.13,-0.05,-0.2,0.45,0.15,-0.28,-0.26,-0.02,0.3,0.16,0.14,0.56,1.12,0.02,2.6,0.58,3.18,0.0,49961,25019,24942
2730,Dwight Howard,2016,2.3,1.93,-1.06,0.47,-1.21,-0.26,-1.56,0.74,1.73,-0.99,-2.19,-0.98,-1.21,1.98,2.51,0.13,-0.22,-0.1,-2.28,0.8,-0.4,1.95,1.5,0.45,-0.14,0.47,-0.61,0.8,-1.45,1.81,0.53,2.61,3.14,0.0,45500,22803,22697
2207,Joe Johnson,2016,-2.46,0.67,0.9,1.1,1.6,2.09,0.77,2.25,2.63,-0.38,1.13,0.48,0.65,-0.1,-0.85,0.1,0.31,-0.5,0.52,0.23,0.68,-0.28,-0.21,-0.07,-0.15,-0.17,0.02,0.28,3.38,-0.43,3.28,-0.15,3.14,0.01,54896,27491,27405
