player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1627668,Breanna Stewart,2026,1.79,0.353,-0.214,0.568,0.752,0.229,0.523,0.685,-0.047,0.732,0.389,0.157,0.232,-0.239,-0.117,1.94,1.823,-0.0,-0.013,-0.03,0.016,-0.013,0.613,0.256,0.066,0.19,-0.032,0.139,-0.17,0.389,0.009,0.38,0.378,0.386,-0.008,-0.127,0.379,0.863,1.242,0.0,-0.19,0.014,-0.204,-0.19,2.403,0.767,0.543,0.224,-0.367,0.262,3.065,0.0,1.823,1.242,3.065,30582,15439,15143
1628276,Kelsey Plum,2026,3.425,1.223,0.365,0.859,1.621,0.847,0.774,0.581,0.027,0.554,0.246,-0.001,0.246,0.368,-0.606,4.039,3.433,-0.0,0.324,0.0,0.324,0.324,0.085,0.488,0.18,0.308,-0.108,0.007,-0.115,-0.295,-0.0,-0.295,0.162,0.253,-0.091,-0.161,-0.615,0.086,-0.529,0.0,-0.257,-0.056,-0.201,-0.257,3.51,0.407,0.252,0.155,0.207,-1.221,2.904,-0.0,3.433,-0.529,2.904,27577,13877,13700
1628280,Brionna Jones,2026,0.341,0.193,0.303,-0.11,0.49,0.539,-0.049,-0.342,-0.063,-0.278,-0.062,-0.036,-0.026,0.21,0.617,0.49,1.107,-0.0,0.396,0.161,0.235,0.396,1.243,0.144,-0.046,0.19,0.091,0.148,-0.057,1.009,-0.009,1.018,0.2,0.15,0.05,-0.202,0.347,1.242,1.588,0.0,-0.095,-0.01,-0.084,-0.095,1.585,0.139,0.114,0.025,0.008,0.964,2.695,-0.0,1.107,1.588,2.695,20454,10305,10149
203825,Kayla McBride,2026,1.022,0.58,0.046,0.534,0.084,-0.131,0.215,0.358,-0.007,0.365,-0.064,-0.173,0.109,0.159,0.595,1.117,1.712,-0.0,0.095,0.043,0.052,0.095,1.082,0.487,0.016,0.471,0.107,0.005,0.102,0.488,0.022,0.467,0.348,0.424,-0.076,-0.332,-0.465,1.099,0.633,-0.0,-0.263,0.024,-0.287,-0.263,2.104,0.285,0.251,0.033,-0.173,0.13,2.345,-0.0,1.712,0.633,2.345,30110,15077,15033
1629483,Napheesa Collier,2026,1.432,0.156,-0.368,0.524,0.613,-0.17,0.783,0.663,0.062,0.601,0.207,-0.278,0.484,0.095,-0.325,1.734,1.409,0.0,0.436,0.133,0.303,0.436,0.711,0.108,0.062,0.046,0.745,0.164,0.58,-0.142,-0.071,-0.071,0.13,0.247,-0.117,0.274,-0.281,1.114,0.833,0.0,0.02,0.045,-0.025,0.02,2.143,0.336,-0.031,0.367,0.369,-0.606,2.242,0.0,1.409,0.833,2.242,22070,11052,11018
1627673,Jonquel Jones,2026,0.595,-0.049,0.067,-0.116,0.393,0.261,0.132,0.251,-0.068,0.319,0.094,-0.065,0.159,-0.426,0.718,0.262,0.981,-0.0,-0.394,-0.336,-0.058,-0.394,0.956,0.388,0.017,0.371,0.2,-0.033,0.234,0.367,0.012,0.356,0.242,0.175,0.068,-0.346,0.355,0.852,1.207,-0.0,-0.258,-0.059,-0.199,-0.258,1.551,0.336,0.109,0.226,-0.772,1.074,2.188,-0.0,0.981,1.207,2.188,31152,15703,15449
203826,Alyssa Thomas,2026,0.71,0.177,0.145,0.033,0.228,0.009,0.219,0.304,-0.045,0.35,0.004,0.256,-0.251,0.331,0.043,1.045,1.088,0.0,0.341,0.005,0.336,0.341,0.754,-0.092,-0.033,-0.059,0.114,0.012,0.102,0.733,0.032,0.701,0.106,0.141,-0.035,0.201,-0.096,1.062,0.966,-0.0,0.202,0.078,0.124,0.202,1.464,0.11,0.397,-0.287,0.533,-0.053,2.054,0.0,1.088,0.966,2.054,28656,14382,14274
1643426,Olivia Miles,2026,0.893,0.69,0.358,0.332,0.073,-0.019,0.092,0.13,-0.152,0.282,-0.155,-0.129,-0.026,0.689,0.627,1.427,2.054,0.0,0.103,-0.115,0.218,0.103,0.569,0.212,0.09,0.123,-0.176,-0.144,-0.032,0.533,0.128,0.405,-0.035,-0.034,-0.001,-0.36,-0.326,0.175,-0.151,0.0,-0.059,-0.02,-0.039,-0.059,1.463,-0.19,-0.163,-0.027,0.329,0.302,1.903,0.0,2.054,-0.151,1.903,1971,1007,964
1628932,A'ja Wilson,2026,1.347,0.219,-0.254,0.472,0.55,-0.275,0.825,0.579,0.025,0.554,0.286,0.168,0.118,0.611,-0.591,2.244,1.653,0.0,0.859,0.219,0.64,0.859,-0.142,-0.193,0.001,-0.194,0.19,0.056,0.134,-0.14,-0.015,-0.125,0.182,0.128,0.053,-0.112,0.301,-0.073,0.228,0.0,-0.236,-0.053,-0.183,-0.236,1.205,0.468,0.296,0.171,0.498,-0.29,1.881,0.0,1.653,0.228,1.881,34735,17582,17153
1627675,Courtney Williams,2026,0.312,-0.093,-0.037,-0.056,-0.081,-0.465,0.385,0.486,0.041,0.445,-0.75,-0.486,-0.264,0.317,1.015,-0.121,0.895,-0.0,0.155,-0.006,0.161,0.155,0.537,0.034,0.018,0.016,0.243,-0.006,0.248,0.26,0.013,0.247,0.216,0.166,0.05,0.072,0.112,0.826,0.937,-0.0,0.206,0.238,-0.032,0.206,0.849,-0.534,-0.32,-0.214,0.389,1.127,1.832,-0.0,0.895,0.937,1.832,33030,16656,16374
