player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1630131,Kylee Shook,2025,0.089,-0.054,0.136,-0.19,-0.224,0.343,-0.566,0.367,0.171,0.196,-0.295,-0.793,-1.455,-0.999,-2.454,-0.0,-0.478,-0.296,-0.182,-0.478,0.957,0.334,-0.104,0.437,-0.213,0.073,-0.286,0.836,-0.027,0.863,0.387,0.063,-0.188,1.407,1.219,0.0,0.023,-0.232,0.255,0.023,1.046,0.092,-0.729,-1.644,-1.235,0.0,-2.454,1.219,-1.235,2214,1094,1120
203824,Odyssey Sims,2025,-0.505,-0.796,0.088,-0.884,0.137,0.007,0.129,0.154,-0.083,0.237,-0.201,-0.326,0.459,-1.032,-0.573,-0.0,0.161,0.069,0.092,0.161,-1.664,-1.572,-0.118,-1.454,0.317,-0.093,0.41,-0.41,0.028,-0.438,-0.146,0.643,0.486,-1.168,-0.682,0.0,0.693,0.34,0.353,0.693,-2.169,-0.347,0.317,0.945,-1.255,-0.0,-0.573,-0.682,-1.255,11169,5547,5622
204325,Crystal Bradford,2025,-0.711,-0.869,0.144,-1.013,0.439,0.202,0.236,-0.281,0.058,-0.339,0.136,0.487,0.35,-0.089,0.261,0.0,0.901,0.744,0.158,0.901,-1.799,-0.253,-0.03,-0.223,-0.577,-0.039,-0.538,-0.969,-0.02,-0.949,-0.179,0.547,-0.09,-1.431,-1.521,0.0,0.429,0.417,0.012,0.429,-2.51,-0.043,1.033,0.259,-1.26,0.0,0.261,-1.521,-1.26,1717,858,859
1631019,NaLyssa Smith,2025,-0.358,-0.636,-0.167,-0.47,0.257,-0.349,0.606,0.022,-0.088,0.109,-0.085,-0.002,0.752,-0.444,0.308,0.0,-0.39,-0.349,-0.041,-0.39,-0.759,0.528,-0.031,0.559,-0.817,-0.112,-0.706,-0.47,0.047,-0.517,-0.004,-0.651,-0.163,-1.414,-1.577,-0.0,-0.748,-0.339,-0.409,-0.748,-1.117,-0.089,-0.653,0.589,-1.269,0.0,0.308,-1.577,-1.269,16898,8460,8438
1642307,Mackenzie Holmes,2025,-0.083,0.088,-0.065,0.153,-0.32,-0.002,-0.318,0.149,-0.013,0.162,-0.13,-0.243,-0.308,-0.456,-0.765,0.0,-0.161,-0.078,-0.082,-0.161,-0.264,-0.27,-0.005,-0.264,-0.072,-0.025,-0.047,0.078,0.011,0.067,-0.042,-0.168,-0.032,-0.474,-0.506,0.0,-0.158,-0.109,-0.049,-0.158,-0.347,-0.173,-0.411,-0.34,-1.27,0.0,-0.765,-0.506,-1.27,193,93,100
1628897,Linnae Harper,2025,-0.813,-0.106,-0.088,-0.018,-0.454,-0.138,-0.316,-0.253,0.008,-0.261,0.03,-0.17,0.636,-0.953,-0.316,0.0,-0.035,-0.074,0.039,-0.035,-0.763,-0.011,0.013,-0.023,-0.294,-0.055,-0.239,-0.458,-0.019,-0.44,-0.045,-0.151,-0.001,-0.959,-0.959,0.0,-0.143,-0.057,-0.086,-0.143,-1.576,-0.014,-0.321,0.636,-1.275,0.0,-0.316,-0.959,-1.275,295,150,145
1630386,Awak Kuier,2025,-1.28,-0.298,0.092,-0.389,-0.606,-0.053,-0.553,-0.377,0.057,-0.434,0.32,0.26,0.024,-0.701,-0.677,-0.0,-0.073,0.044,-0.118,-0.073,0.001,-0.363,-0.087,-0.276,0.438,-0.018,0.456,-0.074,-0.024,-0.051,-0.093,-0.15,-0.368,-0.241,-0.61,0.0,-0.32,-0.185,-0.135,-0.32,-1.28,0.227,0.11,-0.345,-1.287,-0.0,-0.677,-0.61,-1.287,3634,1827,1807
1641687,Victaria Saxton,2025,-0.499,-0.198,0.01,-0.208,-0.068,-0.02,-0.048,-0.233,-0.01,-0.223,0.073,-0.541,-0.136,-0.967,-1.103,0.0,-0.388,-0.362,-0.026,-0.388,-0.194,0.122,-0.019,0.141,-0.133,-0.01,-0.122,-0.184,0.001,-0.185,-0.061,0.004,0.056,-0.252,-0.195,0.0,0.074,0.06,0.014,0.074,-0.693,0.013,-0.538,-0.08,-1.298,0.0,-1.103,-0.195,-1.298,194,96,98
1641670,Madi Williams,2025,-0.133,-0.207,-0.009,-0.197,0.31,-0.091,0.401,-0.237,-0.017,-0.22,-0.099,-0.18,-0.221,-0.412,-0.633,0.0,-0.095,0.041,-0.136,-0.095,-0.373,-0.113,0.003,-0.116,0.07,-0.024,0.094,-0.33,-0.009,-0.321,-0.144,-0.114,-0.058,-0.631,-0.69,0.0,-0.029,-0.05,0.022,-0.029,-0.507,-0.243,-0.294,-0.279,-1.323,0.0,-0.633,-0.69,-1.323,151,75,76
1631068,Sam Thomas,2025,-0.829,-0.205,-0.02,-0.185,0.008,-0.019,0.026,-0.632,0.003,-0.635,0.166,-0.116,-0.013,-0.779,-0.792,0.0,-0.223,-0.048,-0.175,-0.223,-0.699,-0.095,0.016,-0.111,-0.039,0.006,-0.045,-0.565,-0.008,-0.558,-0.111,0.061,0.217,-0.749,-0.532,0.0,0.2,-0.027,0.226,0.2,-1.528,0.055,-0.055,0.204,-1.324,0.0,-0.792,-0.532,-1.324,493,242,251
1642774,Murjanatu Musa,2025,-0.269,-0.004,-0.053,0.049,0.258,-0.073,0.331,-0.523,-0.019,-0.503,0.06,-0.5,0.337,-0.709,-0.373,0.0,-0.457,-0.104,-0.352,-0.457,-1.027,-0.253,0.024,-0.277,-0.151,-0.009,-0.142,-0.623,0.007,-0.63,-0.102,-0.034,0.194,-1.164,-0.971,0.0,0.168,0.042,0.126,0.168,-1.296,-0.043,-0.534,0.53,-1.343,0.0,-0.373,-0.971,-1.343,414,199,215
1641651,Jordan Horston,2025,-1.817,-0.333,0.067,-0.4,-0.71,-0.132,-0.578,-0.774,0.053,-0.827,0.508,0.147,-0.348,-1.162,-1.509,-0.0,-0.079,0.237,-0.316,-0.079,0.49,0.337,0.034,0.303,0.52,0.045,0.475,-0.367,-0.049,-0.318,-0.126,-0.013,-0.186,0.352,0.165,0.0,0.049,0.12,-0.071,0.049,-1.327,0.382,0.134,-0.534,-1.344,0.0,-1.509,0.165,-1.344,5158,2603,2555
