player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
713,Chris Carr,2002,0.76,0.58,0.18,-2.04,-1.2,-0.84,-1.24,-0.56,-0.28,-0.28,-0.25,0.14,-0.39,-0.39,-1.28,-0.81,-2.52,-1.2,-3.72,0.0,5463,2745,2718
432,Pete Chilcutt,2002,-2.21,-1.52,-0.69,0.08,0.24,-0.16,-0.32,-0.15,0.0,-0.15,-0.22,-0.22,-0.0,-0.91,-2.13,-0.37,-2.45,-1.28,-3.72,0.01,2217,1111,1106
26,Luc Longley,2002,-2.65,-1.48,-1.17,-1.47,-0.72,-0.76,-0.76,1.71,1.15,0.56,-0.33,-0.36,0.03,-0.24,-4.12,1.38,-4.88,1.14,-3.74,0.0,7048,3525,3523
1741,Jelani McCoy,2002,-2.52,-1.66,-0.86,-0.62,-0.2,-0.43,-1.1,1.01,0.59,0.42,-0.04,0.15,-0.19,-0.48,-3.14,0.97,-4.24,0.49,-3.75,0.0,7513,3754,3759
1521,Jacque Vaughn,2002,-1.23,-1.05,-0.18,-0.38,-0.33,-0.06,-0.8,-2.08,-1.75,-0.33,0.02,-0.39,0.4,0.7,-1.61,-2.06,-2.41,-1.36,-3.77,0.0,16173,8058,8115
679,Jason Caffey,2002,-1.74,-1.36,-0.38,-0.44,0.09,-0.53,-0.4,-0.83,-1.13,0.3,-0.24,-0.05,-0.19,-0.15,-2.18,-1.07,-2.58,-1.22,-3.81,-0.01,15798,7895,7903
1434,Dragan Tarlac,2002,-1.74,-1.47,-0.27,-0.53,-0.53,0.01,-0.33,-1.28,-1.01,-0.27,0.15,0.14,0.01,-0.2,-2.27,-1.13,-2.6,-1.33,-3.93,0.0,2196,1097,1099
2037,Jamal Crawford,2002,-1.17,-0.63,-0.54,-0.65,-0.56,-0.1,-0.22,-1.69,-1.48,-0.21,-0.08,0.14,-0.22,-0.14,-1.82,-1.77,-2.04,-1.91,-3.95,0.0,5675,2842,2833
763,Tony Massenburg,2002,-2.27,-1.63,-0.64,-0.81,-0.4,-0.42,0.23,-0.54,-0.7,0.16,0.04,-0.2,0.24,-0.61,-3.08,-0.5,-2.85,-1.11,-3.96,0.0,8031,4009,4022
54,Dickey Simpkins,2002,-3.76,-3.5,-0.26,-0.75,-0.18,-0.56,-0.2,0.47,0.36,0.11,-0.07,0.19,-0.26,0.31,-4.51,0.4,-4.71,0.71,-4.0,0.0,6001,2983,3018
1747,Rafer Alston,2002,-1.73,-0.8,-0.93,-0.11,-0.21,0.09,-1.2,-1.3,-1.31,0.01,0.18,-0.02,0.19,0.15,-1.84,-1.12,-3.04,-0.97,-4.01,0.0,4565,2278,2287
