player_id,player_name,Latest_Year,oALT_EFG_VALUE,oALT_EFG_RIM,oALT_EFG_RIM_FREQ,oALT_EFG_RIM_FG,oALT_EFG_MID,oALT_EFG_MID_FREQ,oALT_EFG_MID_FG,oALT_EFG_THREE,oALT_EFG_THREE_FREQ,oALT_EFG_THREE_FG,oALT_FT,oALT_FT_FREQ,oALT_FT_SEVERITY,oALT_TOV_VALUE,oSC,oFC,oDISPLAY_SUM,oRESID,oALT_TOV_LOSS_VALUE,oALT_BADPASS_TOV_VALUE,oALT_SCORING_TOV_VALUE,oALT_TOV_VALUE_split,dALT_EFG_VALUE,dALT_EFG_RIM,dALT_EFG_RIM_FREQ,dALT_EFG_RIM_FG,dALT_EFG_MID,dALT_EFG_MID_FREQ,dALT_EFG_MID_FG,dALT_EFG_THREE,dALT_EFG_THREE_FREQ,dALT_EFG_THREE_FG,dALT_FT,dALT_FT_FREQ,dALT_FT_SEVERITY,dALT_TOV_VALUE,dSC,dFC,dDISPLAY_SUM,dRESID,dALT_TOV_LOSS_VALUE,dALT_BADPASS_TOV_VALUE,dALT_SCORING_TOV_VALUE,dALT_TOV_VALUE_split,nALT_EFG_VALUE,nALT_FT,nALT_FT_FREQ,nALT_FT_SEVERITY,nALT_TOV_VALUE,nSC,nDISPLAY_SUM,RESID,off,def,net_rapm,possessions,off_poss,def_poss
1629479,Teaira McCowan,2025,0.779,0.302,0.153,0.15,-0.008,-0.15,0.142,0.485,-0.051,0.536,-0.138,-0.032,-0.106,-0.659,2.125,-0.018,2.107,0.0,-0.455,-0.582,0.127,-0.455,-0.551,-0.058,0.035,-0.093,0.187,0.05,0.137,-0.68,-0.012,-0.668,-0.159,-0.084,-0.075,-0.428,-0.322,-1.137,-1.459,0.0,-0.517,-0.398,-0.119,-0.517,0.229,-0.297,-0.116,-0.18,-1.087,1.803,0.648,0.0,2.107,-1.459,0.648,16926,8484,8442
1627675,Courtney Williams,2025,0.574,0.221,-0.252,0.473,0.14,-0.816,0.955,0.214,-0.053,0.267,-0.654,-0.813,0.159,0.079,-0.089,-0.001,-0.09,0.0,0.168,-0.016,0.184,0.168,0.463,0.273,-0.046,0.319,0.113,0.013,0.1,0.077,0.006,0.071,0.146,0.17,-0.024,0.16,-0.035,0.769,0.733,-0.0,0.157,0.649,-0.493,0.157,1.038,-0.508,-0.643,0.135,0.238,-0.125,0.643,-0.0,-0.09,0.733,0.643,27676,13821,13855
1631086,Lexie Hull,2025,0.11,0.075,0.108,-0.033,0.308,-0.012,0.32,-0.273,-0.137,-0.136,0.031,0.022,0.01,-0.579,0.388,-0.438,-0.05,0.0,-0.739,-0.734,-0.005,-0.739,-0.186,-0.487,-0.057,-0.43,-0.623,-0.053,-0.57,0.925,0.08,0.845,-0.271,-0.332,0.061,0.45,0.689,-0.006,0.682,-0.0,0.545,0.439,0.106,0.545,-0.076,-0.24,-0.31,0.07,-0.128,1.076,0.632,0.0,-0.05,0.682,0.632,11492,5749,5743
1642784,Paige Bueckers,2025,0.509,-0.479,-0.231,-0.248,0.902,-0.294,1.195,0.087,-0.158,0.244,0.047,-0.18,0.227,1.561,-0.348,2.117,1.769,0.0,0.894,0.222,0.672,0.894,-0.518,-0.269,-0.021,-0.248,0.27,-0.039,0.31,-0.518,0.094,-0.613,-0.134,-0.096,-0.038,-0.476,-0.027,-1.128,-1.155,0.0,-0.214,-0.125,-0.089,-0.214,-0.009,-0.087,-0.276,0.189,1.085,-0.374,0.614,0.0,1.769,-1.155,0.614,4667,2325,2342
1630150,Chennedy Carter,2025,1.062,0.502,0.201,0.3,-0.04,-0.188,0.147,0.601,-0.074,0.675,0.257,0.441,-0.184,0.651,-0.757,1.97,1.213,-0.0,0.887,0.567,0.32,0.887,-0.508,0.031,-0.026,0.057,-0.235,-0.122,-0.112,-0.305,-0.014,-0.291,-0.471,-0.563,0.092,0.156,0.207,-0.824,-0.616,0.0,0.208,0.22,-0.011,0.208,0.554,-0.214,-0.122,-0.092,0.807,-0.55,0.597,-0.0,1.213,-0.616,0.597,5849,2918,2931
1627674,Kahleah Copper,2025,0.167,0.558,0.223,0.335,0.187,0.272,-0.085,-0.579,-0.069,-0.509,0.767,0.612,0.154,-0.004,0.102,0.929,1.031,0.0,-0.043,-0.092,0.049,-0.043,0.04,-0.162,-0.183,0.022,0.476,-0.043,0.519,-0.275,0.079,-0.354,0.109,0.215,-0.106,-0.455,-0.167,-0.306,-0.474,-0.0,-0.452,-0.174,-0.278,-0.452,0.206,0.876,0.827,0.048,-0.459,-0.065,0.557,-0.0,1.031,-0.474,0.557,24986,12482,12504
201896,Briann January,2025,-0.086,0.039,0.075,-0.037,-0.268,-0.199,-0.069,0.143,0.103,0.04,0.067,0.094,-0.026,-1.002,0.996,-1.021,-0.024,0.0,-0.695,-0.486,-0.209,-0.695,0.396,-0.325,-0.015,-0.311,0.185,0.176,0.009,0.536,-0.062,0.597,0.169,0.213,-0.044,0.193,-0.18,0.758,0.578,-0.0,0.053,0.154,-0.101,0.053,0.31,0.236,0.307,-0.071,-0.808,0.816,0.554,0.0,-0.024,0.578,0.554,6199,3098,3101
1641656,Laeticia Amihere,2025,0.242,-0.147,0.247,-0.394,0.822,0.475,0.347,-0.434,-0.072,-0.361,1.491,1.344,0.148,0.333,-0.465,2.066,1.601,-0.0,-0.077,0.247,-0.324,-0.077,-0.311,-0.064,0.114,-0.178,-0.063,-0.027,-0.036,-0.184,0.008,-0.192,-0.063,-0.169,0.106,-0.424,-0.288,-0.799,-1.087,0.0,-0.329,-0.126,-0.203,-0.329,-0.069,1.428,1.175,0.253,-0.092,-0.753,0.515,-0.0,1.601,-1.087,0.515,2073,1040,1033
1628909,Kelsey Mitchell,2025,0.26,0.124,0.311,-0.186,0.04,0.315,-0.274,0.096,-0.006,0.101,0.013,-0.018,0.031,0.72,1.014,0.993,2.007,-0.0,0.574,0.304,0.27,0.574,-1.249,0.027,-0.039,0.066,-0.13,0.123,-0.254,-1.146,0.018,-1.164,0.173,0.047,0.125,0.063,-0.507,-1.014,-1.522,0.0,-0.053,-0.363,0.31,-0.053,-0.989,0.186,0.03,0.156,0.782,0.507,0.486,-0.0,2.007,-1.522,0.486,26111,13063,13048
203416,Emma Meesseman,2025,1.435,0.332,0.07,0.262,0.557,-0.265,0.822,0.545,-0.111,0.656,-0.15,0.159,-0.309,-0.038,-0.839,1.247,0.408,-0.0,-0.345,-0.761,0.416,-0.345,0.697,0.539,-0.072,0.612,-0.077,0.044,-0.122,0.235,0.048,0.187,0.015,0.032,-0.017,-0.565,-0.149,0.147,-0.002,-0.0,-0.295,0.152,-0.447,-0.295,2.132,-0.135,0.191,-0.326,-0.604,-0.987,0.406,-0.0,0.408,-0.002,0.406,6946,3475,3471
1642291,Angel Reese,2025,-1.064,-0.238,0.329,-0.567,-0.432,0.156,-0.588,-0.393,-0.293,-0.101,0.083,0.289,-0.206,-0.601,1.57,-1.581,-0.012,0.0,-0.671,-0.221,-0.45,-0.671,0.726,0.652,0.024,0.627,0.082,-0.278,0.361,-0.009,0.098,-0.107,-0.279,-0.133,-0.145,0.122,-0.224,0.569,0.346,0.0,0.16,-0.051,0.211,0.16,-0.338,-0.195,0.156,-0.351,-0.479,1.346,0.334,0.0,-0.012,0.346,0.334,9117,4548,4569
1631009,Rhyne Howard,2025,-2.567,-1.752,-0.306,-1.446,-0.349,-0.098,-0.251,-0.466,-0.029,-0.436,0.053,0.013,0.04,0.878,0.957,-1.635,-0.678,0.0,0.578,0.599,-0.021,0.578,0.957,0.703,0.074,0.629,-0.024,0.064,-0.088,0.278,0.045,0.233,-0.257,-0.413,0.156,-0.275,0.557,0.425,0.982,-0.0,-0.124,-0.246,0.121,-0.124,-1.609,-0.204,-0.4,0.196,0.603,1.514,0.304,0.0,-0.678,0.982,0.304,19435,9725,9710
1630097,Kaila Charles,2025,-1.868,-0.881,0.155,-1.036,-0.829,0.129,-0.958,-0.158,-0.03,-0.129,0.007,-0.258,0.265,0.001,1.507,-1.86,-0.353,0.0,0.371,0.974,-0.603,0.371,1.155,0.717,0.129,0.587,-0.113,-0.066,-0.047,0.552,0.01,0.541,-0.556,-0.484,-0.072,-0.403,0.422,0.197,0.619,-0.0,-0.308,-0.144,-0.163,-0.308,-0.713,-0.548,-0.741,0.193,-0.402,1.93,0.266,0.0,-0.353,0.619,0.266,4765,2375,2390
1630093,Bella Alarie,2025,-0.476,0.093,0.001,0.092,0.098,-0.171,0.269,-0.667,0.053,-0.721,-0.399,-0.534,0.135,-0.672,-0.001,-1.547,-1.548,0.0,-0.282,0.349,-0.632,-0.282,0.894,0.116,-0.071,0.186,0.342,-0.034,0.376,0.436,-0.037,0.474,0.282,0.29,-0.009,0.105,0.488,1.28,1.769,0.0,-0.079,-0.14,0.062,-0.079,0.418,-0.117,-0.243,0.126,-0.568,0.488,0.221,0.0,-1.548,1.769,0.221,1645,818,827
100940,Diana Taurasi,2025,1.564,0.463,-0.087,0.55,1.382,0.315,1.067,-0.28,0.159,-0.44,0.412,0.149,0.263,-0.257,-0.861,1.72,0.858,0.0,-0.177,-0.2,0.023,-0.177,-0.666,-0.013,0.024,-0.037,0.002,-0.121,0.122,-0.655,-0.073,-0.583,0.094,0.047,0.048,0.152,-0.227,-0.42,-0.647,-0.0,-0.163,-0.154,-0.009,-0.163,0.898,0.506,0.196,0.311,-0.104,-1.089,0.211,-0.0,0.858,-0.647,0.211,16076,8034,8042
204333,Natasha Cloud,2025,-0.767,0.406,-0.097,0.503,-0.394,0.142,-0.536,-0.779,-0.027,-0.751,0.087,0.071,0.016,0.897,-0.53,0.217,-0.313,-0.0,0.656,0.307,0.35,0.656,0.309,0.521,0.193,0.329,-0.169,-0.022,-0.147,-0.043,-0.005,-0.038,-0.312,-0.215,-0.097,0.287,0.234,0.284,0.518,-0.0,0.278,0.428,-0.15,0.278,-0.458,-0.225,-0.144,-0.08,1.183,-0.296,0.205,-0.0,-0.313,0.518,0.205,23853,11926,11927
1627700,Julie Allemand,2025,0.355,0.333,0.141,0.192,1.033,0.391,0.642,-1.011,-0.094,-0.916,0.051,-0.038,0.089,1.046,-0.126,1.453,1.327,0.0,0.781,0.272,0.51,0.781,-1.168,-0.265,-0.074,-0.191,-0.433,-0.085,-0.349,-0.469,0.052,-0.521,0.11,0.187,-0.077,-0.161,0.096,-1.219,-1.123,0.0,0.064,0.131,-0.067,0.064,-0.813,0.161,0.149,0.012,0.885,-0.029,0.204,0.0,1.327,-1.123,0.204,5857,2949,2908
1642792,Kiki Iriafen,2025,-0.678,-0.001,0.092,-0.093,0.184,0.134,0.049,-0.861,-0.121,-0.74,0.324,0.137,0.187,-0.316,0.764,-0.671,0.093,-0.0,-0.359,-0.306,-0.052,-0.359,-0.182,0.015,0.071,-0.056,-0.071,-0.08,0.009,-0.126,0.06,-0.185,0.162,0.071,0.092,-0.339,0.357,-0.358,-0.002,0.0,-0.259,-0.074,-0.185,-0.259,-0.86,0.486,0.208,0.279,-0.655,1.121,0.092,-0.0,0.093,-0.002,0.092,4851,2421,2430
203014,Nneka Ogwumike,2025,-0.563,0.182,-0.043,0.225,0.218,-0.401,0.62,-0.963,-0.156,-0.807,0.1,-0.095,0.195,0.552,-0.515,0.089,-0.426,-0.0,0.448,-0.429,0.877,0.448,-1.113,-0.708,-0.14,-0.567,-0.177,-0.184,0.007,-0.229,0.031,-0.26,0.009,0.122,-0.112,0.938,0.646,-0.166,0.48,-0.0,1.07,0.5,0.571,1.07,-1.676,0.11,0.027,0.083,1.49,0.131,0.054,-0.0,-0.426,0.48,0.054,22683,11375,11308
203831,Natalie Achonwa,2025,-0.344,0.409,0.015,0.394,-0.703,-0.243,-0.46,-0.05,0.054,-0.104,0.132,0.14,-0.008,0.073,-0.014,-0.139,-0.153,0.0,0.149,-0.083,0.232,0.149,0.049,-0.734,-0.046,-0.688,0.215,0.03,0.185,0.569,-0.011,0.58,-0.413,-0.367,-0.046,0.139,0.419,-0.225,0.194,0.0,-0.048,-0.208,0.161,-0.048,-0.295,-0.281,-0.227,-0.054,0.211,0.405,0.041,0.0,-0.153,0.194,0.041,2399,1193,1206
1630112,Tyasha Harris,2025,-0.201,0.059,0.036,0.023,-0.124,0.021,-0.145,-0.136,0.055,-0.191,-0.25,0.037,-0.286,-0.115,0.422,-0.565,-0.143,0.0,0.375,0.367,0.008,0.375,0.166,-0.638,-0.047,-0.591,0.342,-0.094,0.436,0.462,-0.037,0.499,-0.354,-0.485,0.131,0.534,-0.218,0.346,0.128,0.0,0.279,0.002,0.277,0.279,-0.035,-0.604,-0.448,-0.156,0.42,0.205,-0.015,0.0,-0.143,0.128,-0.015,14010,7012,6998
203035,Shey Peddy,2025,-1.118,-0.571,0.144,-0.715,-1.288,0.309,-1.596,0.74,0.075,0.666,-0.007,0.06,-0.067,0.065,0.586,-1.06,-0.474,-0.0,0.143,0.35,-0.207,0.143,0.634,0.19,-0.175,0.365,0.166,-0.066,0.232,0.277,0.003,0.274,0.066,-0.02,0.086,0.081,-0.332,0.781,0.45,-0.0,0.151,-0.295,0.446,0.151,-0.485,0.06,0.04,0.02,0.146,0.254,-0.024,-0.0,-0.474,0.45,-0.024,9276,4645,4631
203398,Brittney Griner,2025,1.851,0.554,-0.387,0.942,1.533,-0.49,2.023,-0.236,-0.051,-0.186,0.407,0.252,0.155,-0.419,-0.587,1.839,1.252,0.0,-0.345,-0.528,0.183,-0.345,1.2,0.218,0.297,-0.079,-0.068,0.297,-0.365,1.05,-0.013,1.063,0.468,0.45,0.017,-1.16,-1.794,0.508,-1.286,0.0,-1.427,-0.946,-0.481,-1.427,3.051,0.875,0.702,0.173,-1.579,-2.381,-0.034,0.0,1.252,-1.286,-0.034,16911,8457,8454
