player_id,player_name,possessions,off_poss,def_poss,oTS,dTS,net_ts,oSQ,oFT,oCONTEST,dSQ,dFT,dCONTEST,oRESID,dRESID
1626181,Norman Powell,24971,12486,12485,1.32,-0.9,2.22,0.29,0.56,0.65,0.24,0.23,-1.35,-0.18,-0.02
1627783,Pascal Siakam,35238,17567,17671,0.56,-1.65,2.21,-1.21,-0.15,1.83,-0.46,-0.23,-0.93,0.09,-0.03
1629660,Ty Jerome,8016,4029,3987,2.42,0.25,2.17,0.31,0.39,1.82,-0.31,0.09,0.31,-0.1,0.16
201569,Eric Gordon,11506,5604,5902,1.38,-0.76,2.15,-0.32,0.19,1.61,0.1,0.18,-0.97,-0.1,-0.07
1631128,Christian Braun,26527,13176,13351,-0.27,-2.4,2.12,0.65,-0.08,-0.84,-0.12,-0.25,-2.13,-0.0,0.1
203944,Julius Randle,28266,14127,14139,2.65,0.56,2.09,-0.29,0.77,2.14,0.28,-0.1,0.45,0.03,-0.07
1629638,Nickeil Alexander-Walker,29410,14732,14678,1.59,-0.48,2.08,-0.37,0.19,1.86,-0.76,0.01,0.29,-0.09,-0.02
202699,Tobias Harris,28173,14279,13894,-0.36,-2.43,2.07,-0.13,0.24,-0.62,-0.3,0.09,-2.09,0.15,-0.13
203932,Aaron Gordon,23067,11587,11480,-0.3,-2.32,2.02,0.17,0.03,-0.63,-0.15,-0.37,-1.86,0.13,0.06
1629057,Robert Williams III,6073,3012,3061,-0.33,-2.34,2.01,0.24,-0.08,-0.29,0.04,0.08,-2.37,-0.2,-0.09
1630532,Franz Wagner,22965,11743,11222,0.94,-1.06,2.0,0.1,0.63,0.34,-0.59,0.15,-0.51,-0.13,-0.11
1629674,Neemias Queta,12548,6346,6202,-0.35,-2.34,1.99,0.87,-0.6,-0.85,-0.67,-0.28,-1.41,0.23,0.02
1628378,Donovan Mitchell,29574,14927,14647,1.82,-0.13,1.95,-0.08,0.55,1.34,-0.65,0.2,0.24,0.01,0.08
203076,Anthony Davis,21455,10566,10889,0.44,-1.46,1.9,0.05,0.01,0.35,-0.07,-0.53,-0.77,0.03,-0.09
203897,Zach LaVine,19316,9513,9803,1.71,-0.19,1.9,0.29,-0.15,1.6,0.26,0.12,-0.39,-0.03,-0.18
201143,Al Horford,21186,10625,10561,0.71,-1.15,1.86,0.16,-0.46,1.12,-0.13,-0.53,-0.46,-0.11,-0.03
1629655,Daniel Gafford,19673,9611,10062,-0.32,-2.14,1.82,0.56,-0.4,-0.53,-0.08,-0.47,-1.57,0.05,-0.02
1630577,Julian Champagnie,23875,11918,11957,1.4,-0.41,1.81,0.51,0.21,0.75,0.22,-0.46,-0.17,-0.07,0.0
1629634,Brandon Clarke,5805,2911,2894,0.43,-1.37,1.8,0.22,-0.29,0.61,0.23,0.26,-1.87,-0.11,0.01
1627936,Alex Caruso,18720,9515,9205,-0.29,-2.06,1.77,-0.01,0.53,-0.79,-1.04,0.35,-1.31,-0.02,-0.06
203110,Draymond Green,23271,11630,11641,0.48,-1.27,1.76,0.39,0.18,0.05,-1.2,-0.57,0.46,-0.14,0.04
1628368,De'Aaron Fox,29632,15002,14630,1.46,-0.29,1.75,-0.38,-0.07,1.74,-0.65,0.07,0.38,0.17,-0.09
1641744,Zach Edey,7663,3860,3803,-0.34,-2.06,1.72,-0.24,-0.46,0.41,-0.41,-0.64,-0.94,-0.05,-0.07
1630166,Deni Avdija,27703,13812,13891,2.58,0.86,1.72,0.3,0.44,1.84,-0.21,0.39,0.75,0.0,-0.07
1642864,Hugo González,4332,2197,2135,0.55,-1.11,1.66,0.04,-0.34,0.7,-0.11,0.14,-1.19,0.15,0.05
1630700,Dyson Daniels,26782,13545,13237,1.23,-0.42,1.65,-0.08,-0.54,1.99,-0.04,0.01,-0.41,-0.14,0.02
1629628,RJ Barrett,22480,11260,11220,2.2,0.58,1.61,-0.42,-0.41,2.78,0.3,-0.39,0.55,0.25,0.12
1629632,Coby White,27149,13500,13649,1.94,0.39,1.55,-0.02,0.24,1.63,0.04,0.03,0.32,0.09,0.0
1642844,Dylan Harper,6439,3254,3185,0.16,-1.38,1.54,-0.5,0.02,0.58,-0.06,0.42,-1.52,0.06,-0.22
1631260,A.J. Green,19214,9464,9750,0.73,-0.81,1.54,0.8,-0.42,0.31,-0.33,0.13,-0.69,0.04,0.08
1630598,Aaron Wiggins,19819,9885,9934,0.75,-0.79,1.54,0.34,-0.18,0.71,-0.48,-0.15,-0.2,-0.12,0.04
1630162,Anthony Edwards,35974,17970,18004,1.94,0.47,1.47,-0.39,0.72,1.66,-0.3,0.46,0.39,-0.05,-0.08
1628392,Isaiah Hartenstein,22437,11457,10980,-0.22,-1.69,1.47,-0.26,-0.4,0.45,-1.03,-0.42,-0.2,-0.01,-0.04
1629630,Ja Morant,10674,5361,5313,0.15,-1.29,1.45,0.25,0.67,-0.75,0.18,0.15,-1.67,-0.02,0.05
1630591,Jalen Suggs,19150,9735,9415,1.06,-0.38,1.44,0.68,0.12,0.02,-0.35,0.66,-0.72,0.24,0.03
202331,Paul George,20587,10323,10264,0.45,-0.97,1.42,0.25,-0.07,0.26,-0.15,-0.32,-0.37,0.01,-0.13
1630198,Isaiah Joe,20232,10284,9948,1.49,0.08,1.41,0.55,0.52,0.55,-0.2,0.37,-0.13,-0.13,0.04
203957,Dante Exum,6602,3270,3332,0.88,-0.53,1.41,-0.17,-0.2,1.32,0.26,-0.11,-0.66,-0.07,-0.02
1628389,Bam Adebayo,31123,15664,15459,0.42,-0.98,1.4,-0.9,0.22,0.92,-0.69,-0.47,0.16,0.18,0.02
1630188,Jalen Smith,13369,6639,6730,1.1,-0.28,1.38,0.24,-0.34,1.14,0.23,0.07,-0.61,0.06,0.03
1631107,Nikola Jovic,12428,6155,6273,-0.55,-1.89,1.34,0.1,0.26,-0.91,0.06,-0.28,-1.69,0.0,0.02
1642948,Ryan Nembhard,5052,2489,2563,1.06,-0.28,1.34,-0.39,-0.78,2.21,0.08,-0.3,-0.1,0.02,0.04
1630228,Jonathan Kuminga,16902,8471,8431,-0.42,-1.76,1.33,0.25,-0.08,-0.5,-0.36,0.09,-1.41,-0.09,-0.08
1630595,Cade Cunningham,28454,14335,14119,2.07,0.78,1.29,0.23,0.53,1.13,-0.33,0.42,0.66,0.18,0.03
1630572,Sandro Mamukelashvili,11810,5977,5833,0.6,-0.68,1.28,0.43,0.03,0.08,0.25,-0.09,-1.09,0.06,0.25
1627832,Fred VanVleet,20782,10656,10126,-0.11,-1.39,1.28,0.04,0.08,-0.21,-0.65,-0.03,-0.64,-0.02,-0.07
1631117,Walker Kessler,13781,6730,7051,-1.06,-2.33,1.27,0.23,-0.08,-1.18,-0.14,-0.86,-1.24,-0.03,-0.09
1630552,Jalen Johnson,24101,12135,11966,-0.11,-1.38,1.26,0.7,0.32,-1.2,0.2,0.0,-1.56,0.07,-0.02
201587,Nicolas Batum,18136,9010,9126,-0.23,-1.45,1.22,-0.45,0.78,-0.32,-0.37,0.23,-1.26,-0.24,-0.05
203468,CJ McCollum,26599,13373,13226,0.25,-0.97,1.22,-0.58,-0.3,1.24,0.28,-0.3,-1.0,-0.11,0.05
1628379,Luke Kennard,17459,8654,8805,2.84,1.64,1.21,0.12,-0.13,2.84,0.19,0.22,1.11,0.01,0.12
1631255,Karlo Matkovic,7048,3473,3575,-0.62,-1.8,1.18,0.08,-0.31,-0.19,-0.21,0.35,-1.88,-0.2,-0.06
1629731,Dean Wade,15847,7971,7876,-0.02,-1.15,1.14,0.67,-0.2,-0.32,-0.07,0.08,-1.14,-0.17,-0.02
1629130,Duncan Robinson,23578,11906,11672,1.26,0.12,1.14,0.76,-0.36,0.85,-0.2,0.37,0.07,0.01,-0.12
2544,LeBron James,29394,14448,14946,1.38,0.25,1.13,1.2,-0.12,0.19,-0.35,-0.44,1.14,0.11,-0.1
1630643,Jay Huff,10527,5122,5405,-0.83,-1.96,1.13,0.15,-0.45,-0.92,-0.0,0.02,-1.9,0.39,-0.08
1627759,Jaylen Brown,32822,16410,16412,1.77,0.64,1.12,-0.14,0.13,1.69,0.1,0.09,0.34,0.09,0.11
1630205,Lamar Stevens,2965,1488,1477,-0.95,-2.08,1.12,0.1,-0.09,-0.92,0.13,-0.11,-2.1,-0.04,0.0
1630558,Davion Mitchell,21572,10799,10773,0.31,-0.79,1.1,-0.68,-0.47,1.23,-0.32,0.1,-0.82,0.23,0.25
203994,Jusuf Nurkic,17754,8782,8972,-0.88,-1.98,1.1,0.06,-0.39,-0.5,-0.97,-0.23,-0.58,-0.05,-0.2
1628969,Mikal Bridges,37317,18751,18566,-0.26,-1.34,1.08,-0.26,-0.36,0.23,-0.73,-0.44,-0.23,0.13,0.06
204060,Joe Ingles,5791,2919,2872,2.34,1.27,1.07,0.29,0.08,2.03,0.07,0.02,1.08,-0.06,0.1
1642883,Sion James,7294,3628,3666,-0.09,-1.14,1.05,0.39,0.71,-1.07,-0.31,-0.14,-0.61,-0.12,-0.08
1628988,Aaron Holiday,11828,5987,5841,-0.7,-1.75,1.05,-0.65,-0.0,-0.1,-1.06,0.45,-1.32,0.05,0.18
1627884,Derrick Jones Jr.,23253,11596,11657,0.0,-1.03,1.03,-0.4,-0.43,0.58,-0.06,0.0,-0.93,0.25,-0.04
