player_id,player_name,Latest_Year,oDECOMP_EFG,oDECOMP_EFG_PARENT,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_EFG_DISPLAY_GAP,oDECOMP_RIM,oDECOMP_RIM_FREQ,oDECOMP_RIM_FG,oDECOMP_MID_FG,oDECOMP_THREE,oDECOMP_THREE_FREQ,oDECOMP_THREE_FG,oDECOMP_FT,oDECOMP_FT_FREQ,oDECOMP_FT_SEVERITY,oDECOMP_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oDECOMP_TOV_LOSS_VALUE,oDECOMP_TOV_VALUE_bp,oDECOMP_TOV_VALUE_sc,oDECOMP_TOV_VALUE_split,oDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dDECOMP_EFG,dDECOMP_EFG_PARENT,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_EFG_DISPLAY_GAP,dDECOMP_RIM,dDECOMP_RIM_FREQ,dDECOMP_RIM_FG,dDECOMP_MID_FG,dDECOMP_THREE,dDECOMP_THREE_FREQ,dDECOMP_THREE_FG,dDECOMP_FT,dDECOMP_FT_FREQ,dDECOMP_FT_SEVERITY,dDECOMP_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dDECOMP_TOV_LOSS_VALUE,dDECOMP_TOV_VALUE_bp,dDECOMP_TOV_VALUE_sc,dDECOMP_TOV_VALUE_split,dDECOMP_BADPASS_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nDECOMP_EFG,nDECOMP_EFG_PARENT,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_EFG_DISPLAY_GAP,nDECOMP_RIM,nDECOMP_RIM_FREQ,nDECOMP_RIM_FG,nDECOMP_MID_FG,nDECOMP_THREE,nDECOMP_THREE_FREQ,nDECOMP_THREE_FG,nDECOMP_FT,nDECOMP_FT_FREQ,nDECOMP_FT_SEVERITY,nDECOMP_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nDECOMP_TOV_LOSS_VALUE,nDECOMP_TOV_VALUE_bp,nDECOMP_TOV_VALUE_sc,nDECOMP_TOV_VALUE_split,nDECOMP_BADPASS_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
304,John Stockton,2001,2.818,2.817,2.822,-0.005,-0.004,2.208,1.042,1.166,0.98,-0.366,-0.25,-0.116,0.7,0.369,0.333,0.1,0.544,0.544,3.618,4.162,0.0,0.1,-0.22,0.32,0.1,-0.22,0.32,3.966,2.098,1.71,1.711,1.709,0.002,0.001,0.354,0.169,0.185,0.881,0.474,-0.103,0.577,-0.127,0.019,-0.144,1.011,0.634,0.634,2.594,3.228,0.0,1.011,0.33,0.681,1.011,0.33,0.681,2.036,0.478,4.528,4.528,4.531,-0.003,-0.003,2.562,1.211,1.351,1.861,0.108,-0.353,0.461,0.573,0.388,0.189,1.111,1.178,1.178,7.39,0.0,1.111,0.11,1.001,1.111,0.11,1.001,6.002,2.576,4.162,3.228,7.39,20051,10032,10019
1713,Vince Carter,2001,2.723,2.734,2.738,-0.004,-0.015,0.847,-0.209,1.056,0.38,1.511,0.209,1.302,0.293,0.317,-0.025,1.134,1.778,1.778,4.15,5.928,-0.0,1.134,0.521,0.613,1.134,0.521,0.613,4.096,0.434,-0.177,-0.177,-0.172,-0.005,-0.005,0.499,0.143,0.356,-0.694,0.023,-0.034,0.057,-0.133,-0.037,-0.096,0.153,0.379,0.379,-0.157,0.222,0.0,0.153,0.056,0.097,0.153,0.056,0.097,0.73,0.453,2.546,2.557,2.566,-0.009,-0.02,1.346,-0.066,1.412,-0.314,1.534,0.175,1.359,0.16,0.28,-0.121,1.287,2.157,2.157,6.15,-0.0,1.287,0.577,0.71,1.287,0.577,0.71,4.826,0.887,5.928,0.222,6.15,25847,12935,12912
406,Shaquille O'Neal,2001,5.308,5.299,5.339,-0.04,-0.031,3.1,0.996,2.104,1.197,1.042,-0.27,1.312,-1.222,0.92,-2.14,0.172,0.985,0.985,4.258,5.243,0.0,0.172,-0.346,0.518,0.172,-0.346,0.518,5.712,2.244,1.16,1.164,1.165,-0.001,-0.005,1.338,1.026,0.312,-0.228,0.055,0.031,0.024,0.934,0.993,-0.06,-0.79,-0.571,-0.571,1.304,0.733,0.0,-0.79,-0.248,-0.542,-0.79,-0.248,-0.542,-0.524,1.015,6.468,6.463,6.504,-0.041,-0.036,4.438,2.022,2.416,0.969,1.097,-0.239,1.336,-0.288,1.913,-2.2,-0.618,0.414,0.414,5.976,0.0,-0.618,-0.594,-0.024,-0.618,-0.594,-0.024,5.188,3.259,5.243,0.733,5.976,29561,14839,14722
1495,Tim Duncan,2001,2.13,2.128,2.125,0.003,0.005,0.08,-0.248,0.328,1.281,0.764,0.006,0.758,-0.28,0.189,-0.469,0.049,0.187,0.187,1.899,2.086,0.0,0.049,-0.139,0.188,0.049,-0.139,0.188,1.916,-0.276,2.669,2.669,2.676,-0.007,-0.007,1.49,0.358,1.132,1.149,0.037,0.124,-0.087,0.317,0.384,-0.068,-0.448,0.709,0.709,2.538,3.247,-0.0,-0.448,-0.041,-0.407,-0.448,-0.041,-0.407,2.25,0.845,4.799,4.797,4.801,-0.004,-0.002,1.57,0.11,1.46,2.43,0.801,0.13,0.671,0.037,0.573,-0.537,-0.399,0.896,0.896,5.333,0.001,-0.399,-0.18,-0.219,-0.399,-0.18,-0.219,4.166,0.569,2.086,3.247,5.334,24611,12329,12282
1717,Dirk Nowitzki,2001,2.181,2.186,2.189,-0.003,-0.008,0.986,0.385,0.601,-0.05,1.253,0.481,0.772,0.612,-0.151,0.764,0.987,-0.578,-0.578,3.78,3.202,-0.0,0.987,0.285,0.702,0.987,0.285,0.702,1.275,0.227,0.678,0.679,0.681,-0.002,-0.003,-0.52,-0.263,-0.257,0.406,0.795,0.041,0.754,0.408,0.447,-0.04,0.222,0.116,0.116,1.308,1.424,-0.0,0.222,0.28,-0.058,0.222,0.28,-0.058,0.018,-0.583,2.859,2.865,2.87,-0.005,-0.011,0.466,0.122,0.344,0.356,2.048,0.522,1.526,1.02,0.296,0.724,1.209,-0.462,-0.462,4.626,0.0,1.209,0.565,0.644,1.209,0.565,0.644,1.293,-0.356,3.202,1.424,4.626,25141,12579,12562
764,David Robinson,2001,0.444,0.436,0.425,0.011,0.019,0.839,0.549,0.29,0.062,-0.476,-0.204,-0.272,0.457,0.243,0.214,0.438,0.224,0.224,1.339,1.563,0.0,0.438,-0.288,0.726,0.438,-0.288,0.726,2.843,1.086,1.62,1.618,1.623,-0.005,-0.003,1.541,0.602,0.939,0.106,-0.024,0.196,-0.22,0.83,0.746,0.083,-0.053,0.42,0.42,2.397,2.817,0.0,-0.053,-0.047,-0.006,-0.053,-0.047,-0.006,0.315,0.674,2.064,2.054,2.048,0.006,0.016,2.38,1.151,1.229,0.168,-0.5,-0.008,-0.492,1.287,0.989,0.297,0.385,0.644,0.644,4.38,0.0,0.385,-0.335,0.72,0.385,-0.335,0.72,3.158,1.76,1.563,2.817,4.38,20350,10193,10157
448,Bo Outlaw,2001,1.63,1.629,1.636,-0.007,-0.006,0.886,0.235,0.651,0.451,0.299,-0.111,0.41,-0.35,0.13,-0.478,-0.543,1.336,1.336,0.737,2.073,0.0,-0.543,-0.594,0.051,-0.543,-0.594,0.051,1.724,0.624,1.06,1.057,1.047,0.01,0.013,0.971,0.231,0.74,0.009,0.067,-0.151,0.218,0.627,0.74,-0.114,1.07,-0.478,-0.478,2.757,2.279,0.0,1.07,0.469,0.601,1.07,0.469,0.601,0.153,0.314,2.69,2.686,2.683,0.003,0.007,1.857,0.466,1.391,0.46,0.366,-0.262,0.628,0.277,0.87,-0.592,0.527,0.858,0.858,4.352,0.0,0.527,-0.125,0.652,0.527,-0.125,0.652,1.877,0.938,2.073,2.279,4.352,19397,9668,9729
951,Ray Allen,2001,2.08,2.091,2.079,0.012,0.001,0.36,-0.179,0.539,0.183,1.536,0.653,0.883,0.54,-0.175,0.712,0.531,1.11,1.11,3.151,4.261,0.0,0.531,0.449,0.082,0.531,0.449,0.082,1.827,-0.178,-0.157,-0.163,-0.181,0.018,0.024,0.543,-0.159,0.702,0.082,-0.806,-0.196,-0.61,-0.185,-0.114,-0.07,-0.005,0.069,0.069,-0.347,-0.278,-0.0,-0.005,0.186,-0.191,-0.005,0.186,-0.191,-0.602,-0.048,1.923,1.929,1.898,0.031,0.025,0.903,-0.338,1.241,0.265,0.73,0.457,0.273,0.355,-0.289,0.642,0.526,1.179,1.179,3.983,0.0,0.526,0.635,-0.109,0.526,0.635,-0.109,1.225,-0.226,4.261,-0.278,3.983,27402,13701,13701
224,Eddie Jones,2001,1.25,1.247,1.247,0.0,0.003,0.418,0.163,0.255,0.224,0.605,0.231,0.374,0.898,0.418,0.481,-0.052,-0.515,-0.515,2.096,1.581,0.0,-0.052,-0.28,0.228,-0.052,-0.28,0.228,1.656,0.289,0.99,0.99,0.99,0.0,0.0,0.706,-0.237,0.943,-0.138,0.422,0.155,0.267,0.005,0.074,-0.07,0.608,0.675,0.675,1.603,2.278,0.0,0.608,0.62,-0.012,0.608,0.62,-0.012,2.213,0.246,2.24,2.237,2.237,0.0,0.003,1.124,-0.074,1.198,0.086,1.027,0.386,0.641,0.903,0.492,0.411,0.556,0.16,0.16,3.859,0.001,0.556,0.34,0.216,0.556,0.34,0.216,3.869,0.535,1.581,2.278,3.86,20113,10070,10043
345,Terry Porter,2001,1.79,1.79,1.791,-0.001,-0.001,0.681,0.031,0.65,-0.216,1.326,0.415,0.911,0.631,0.846,-0.214,0.163,-1.376,-1.376,2.584,1.208,-0.0,0.163,-0.232,0.395,0.163,-0.232,0.395,-0.442,0.446,1.667,1.66,1.668,-0.008,-0.001,0.82,0.294,0.526,0.658,0.19,-0.131,0.321,0.088,0.096,-0.007,0.479,0.358,0.358,2.234,2.592,0.0,0.479,0.091,0.388,0.479,0.091,0.388,2.357,0.712,3.457,3.45,3.459,-0.009,-0.002,1.501,0.325,1.176,0.442,1.516,0.284,1.232,0.719,0.942,-0.221,0.642,-1.018,-1.018,3.8,-0.0,0.642,-0.141,0.783,0.642,-0.141,0.783,1.915,1.158,1.208,2.592,3.8,13897,6962,6935
