player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_SQ,oALT_MAKE,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_SQ,dALT_MAKE,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
1641729,Brice Sensabaugh,2026,1.11,0.83,0.48,0.35,0.28,-0.26,-0.55,0.3,-1.18,-1.62,-1.36,-0.94,-0.42,-0.26,-0.02,0.08,-0.1,-0.31,0.85,-1.64,-0.33,-1.95,-2.28,0.0,7492,3746,3746
1628398,Kyle Kuzma,2026,0.15,0.35,0.23,0.12,-0.2,0.28,0.19,0.09,-1.3,-0.38,-0.24,0.07,-0.31,-0.14,-0.49,-0.07,-0.41,-0.55,0.43,-0.87,-0.87,-1.42,-2.29,0.0,7314,3656,3658
1642265,Rob Dillingham,2026,-1.38,-1.0,-0.47,-0.53,-0.38,-0.59,-0.63,0.03,-0.3,1.08,0.96,-0.15,1.11,0.12,0.23,0.34,-0.09,-1.39,-1.97,1.31,-2.27,-0.08,-2.34,0.01,4117,2059,2058
1630811,Keaton Wallace,2026,-0.8,-0.47,-0.14,-0.33,-0.33,-0.37,-0.08,-0.29,-1.12,0.01,-0.01,-0.07,0.06,0.02,-0.17,0.1,-0.28,0.1,-1.17,-0.16,-2.29,-0.06,-2.35,0.0,2177,1082,1095
1628975,Jevon Carter,2026,-1.24,-1.1,0.04,-1.14,-0.14,0.55,0.1,0.44,0.13,-1.03,-0.74,-0.32,-0.42,-0.29,-0.31,-0.19,-0.13,-0.45,-0.69,-1.34,-0.56,-1.79,-2.36,-0.01,3529,1772,1757
1630191,Isaiah Stewart,2026,-0.65,-0.71,-0.02,-0.69,0.06,0.08,0.28,-0.2,-0.29,0.26,0.58,0.49,0.09,-0.32,-0.73,-0.35,-0.37,-1.05,-0.57,-0.47,-0.86,-1.52,-2.38,0.0,5254,2624,2630
1626171,Bobby Portis,2026,-0.58,0.01,-0.68,0.69,-0.59,0.37,0.52,-0.16,-0.35,-0.47,-0.39,0.15,-0.54,-0.08,-0.76,-0.35,-0.41,-0.6,-0.21,-1.23,-0.56,-1.83,-2.39,-0.0,6435,3210,3225
203110,Draymond Green,2026,-0.09,-0.15,0.2,-0.35,0.06,-0.78,-0.83,0.05,-1.08,-0.32,-0.71,0.38,-1.09,0.39,-0.43,-0.02,-0.41,0.29,-0.87,-0.75,-1.95,-0.46,-2.41,0.0,7676,3836,3840
101108,Chris Paul,2026,-1.18,-0.99,-0.04,-0.95,-0.19,-0.62,-0.28,-0.34,-0.03,-0.7,-0.55,0.33,-0.88,-0.15,0.35,0.23,0.13,-0.25,-1.8,-0.35,-1.83,-0.6,-2.43,-0.0,904,447,457
1629021,Moritz Wagner,2026,-0.44,-0.61,0.02,-0.63,0.17,0.27,0.1,0.16,-0.98,-1.32,-1.28,-0.14,-1.14,-0.04,-0.38,-0.34,-0.03,0.39,-0.17,-1.7,-1.15,-1.31,-2.46,-0.0,1742,867,875
1628502,Nigel Hayes,2026,-1.34,-1.29,-0.16,-1.13,-0.05,-0.79,-0.22,-0.57,0.17,-0.32,-0.37,-0.22,-0.15,0.05,-0.01,-0.41,0.4,-0.18,-2.13,-0.33,-1.96,-0.51,-2.47,-0.0,776,382,394
1630208,Nick Richards,2026,-0.22,-0.08,-0.31,0.23,-0.14,-0.86,-0.4,-0.47,0.05,0.46,0.14,-0.04,0.18,0.32,-0.76,-0.43,-0.33,-1.18,-1.08,-0.3,-1.03,-1.48,-2.51,0.0,2893,1445,1448
1641765,Olivier-Maxence Prosper,2026,0.66,0.63,-0.0,0.63,0.03,-0.44,-0.17,-0.27,-0.77,-1.17,-1.17,-0.31,-0.86,0.0,0.76,0.56,0.2,-1.55,0.22,-0.41,-0.55,-1.96,-2.51,0.0,4136,2058,2078
1642852,Derik Queen,2026,0.91,0.18,0.15,0.03,0.73,-0.01,0.29,-0.3,-0.93,-1.55,-1.96,-0.09,-1.87,0.41,-0.21,-0.38,0.17,-0.76,0.9,-1.76,-0.03,-2.52,-2.55,0.0,8488,4240,4248
