player_id,player_name,Latest_Year,TOV_SC_ALLOCATION_POLICY,TOV_SC_TRANSFER_MULTIPLIER,oDECOMP_EFG,oDECOMP_EFG_PARENT,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_EFG_DISPLAY_GAP,oDECOMP_RIM,oDECOMP_RIM_FREQ,oDECOMP_RIM_FG,oDECOMP_MID_FG,oDECOMP_THREE,oDECOMP_THREE_FREQ,oDECOMP_THREE_FG,oDECOMP_FT,oDECOMP_FT_FREQ,oDECOMP_FT_SEVERITY,oDECOMP_TOV_VALUE,oSC,oSC_CLEAN,oFC,oDISPLAY_SUM,oRESID,oDECOMP_TOV_LOSS_VALUE,oDECOMP_TOV_VALUE_bp,oDECOMP_TOV_VALUE_sc,oDECOMP_TOV_VALUE_split,oDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,oASSIST_POINTS,oRIM_ASSIST,dDECOMP_EFG,dDECOMP_EFG_PARENT,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_EFG_DISPLAY_GAP,dDECOMP_RIM,dDECOMP_RIM_FREQ,dDECOMP_RIM_FG,dDECOMP_MID_FG,dDECOMP_THREE,dDECOMP_THREE_FREQ,dDECOMP_THREE_FG,dDECOMP_FT,dDECOMP_FT_FREQ,dDECOMP_FT_SEVERITY,dDECOMP_TOV_VALUE,dSC,dSC_CLEAN,dFC,dDISPLAY_SUM,dRESID,dDECOMP_TOV_LOSS_VALUE,dDECOMP_TOV_VALUE_bp,dDECOMP_TOV_VALUE_sc,dDECOMP_TOV_VALUE_split,dDECOMP_BADPASS_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,dASSIST_POINTS,dRIM_ASSIST,nDECOMP_EFG,nDECOMP_EFG_PARENT,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_EFG_DISPLAY_GAP,nDECOMP_RIM,nDECOMP_RIM_FREQ,nDECOMP_RIM_FG,nDECOMP_MID_FG,nDECOMP_THREE,nDECOMP_THREE_FREQ,nDECOMP_THREE_FG,nDECOMP_FT,nDECOMP_FT_FREQ,nDECOMP_FT_SEVERITY,nDECOMP_TOV_VALUE,nSC,nSC_CLEAN,nDISPLAY_SUM,RESID,nDECOMP_TOV_LOSS_VALUE,nDECOMP_TOV_VALUE_bp,nDECOMP_TOV_VALUE_sc,nDECOMP_TOV_VALUE_split,nDECOMP_BADPASS_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,nASSIST_POINTS,nRIM_ASSIST,off,def,net_rapm,possessions,off_poss,def_poss
201939,Stephen Curry,2026,full_possession_v1,1.1543056562904384,3.914,3.919,3.921,-0.002,-0.007,0.956,0.244,0.712,0.697,2.268,0.352,1.916,0.279,-0.302,0.583,-0.554,0.014,0.014,3.639,3.653,0.0,-0.554,-0.698,0.144,-0.554,-0.698,0.144,3.907,0.724,-1.059,-1.061,-1.065,0.004,0.006,-0.401,0.121,-0.522,-0.25,-0.414,-0.024,-0.39,0.004,0.13,-0.125,0.263,-0.022,-0.022,-0.792,-0.814,0.0,0.263,0.017,0.246,0.263,0.017,0.246,-0.955,-0.062,2.855,2.858,2.856,0.002,-0.001,0.555,0.365,0.19,0.447,1.854,0.328,1.526,0.283,-0.172,0.458,-0.291,-0.008,-0.008,2.839,0.0,-0.291,-0.681,0.39,-0.291,-0.681,0.39,2.952,0.662,3.653,-0.814,2.839,5633,2814,2819
1629684,Grant Williams,2026,full_possession_v1,1.1543056562904384,1.378,1.374,1.376,-0.002,0.002,-0.529,-0.696,0.167,0.13,1.775,0.407,1.368,0.391,0.28,0.109,-0.962,1.113,1.113,0.807,1.92,0.0,-0.962,-0.372,-0.59,-0.962,-0.372,-0.59,0.287,-0.728,0.876,0.879,0.881,-0.002,-0.005,0.091,0.143,-0.052,0.351,0.439,-0.126,0.565,-0.186,-0.293,0.108,0.248,-0.081,-0.081,0.938,0.857,0.0,0.248,0.222,0.027,0.248,0.222,0.027,1.082,0.434,2.254,2.253,2.257,-0.004,-0.003,-0.438,-0.553,0.115,0.481,2.214,0.281,1.933,0.205,-0.013,0.217,-0.714,1.032,1.032,2.777,0.0,-0.714,-0.15,-0.563,-0.714,-0.15,-0.563,1.369,-0.294,1.92,0.857,2.777,2810,1409,1401
1628384,O.G. Anunoby,2026,full_possession_v1,1.1543056562904384,1.361,1.364,1.369,-0.005,-0.008,0.649,0.024,0.625,-0.915,1.635,0.039,1.596,0.286,0.342,-0.057,-0.339,0.084,0.084,1.308,1.392,-0.0,-0.339,-0.442,0.103,-0.339,-0.442,0.103,0.865,0.473,0.208,0.214,0.211,0.003,-0.003,1.451,0.456,0.995,0.001,-1.241,-0.19,-1.051,0.158,0.115,0.044,0.298,0.684,0.684,0.664,1.348,0.0,0.298,0.107,0.19,0.298,0.107,0.19,0.325,1.0,1.569,1.578,1.58,-0.002,-0.011,2.1,0.48,1.62,-0.914,0.394,-0.151,0.545,0.444,0.457,-0.013,-0.041,0.768,0.768,2.74,0.0,-0.041,-0.335,0.293,-0.041,-0.335,0.293,1.19,1.473,1.392,1.348,2.74,11312,5685,5627
203954,Joel Embiid,2026,full_possession_v1,1.1543056562904384,2.0,2.006,2.006,-0.0,-0.006,0.092,-0.23,0.322,0.798,1.116,0.025,1.091,0.774,0.526,0.248,0.537,-0.553,-0.553,3.311,2.758,0.0,0.537,0.436,0.1,0.537,0.436,0.1,2.321,-0.013,0.454,0.462,0.457,0.005,-0.003,0.26,0.019,0.241,0.25,-0.053,0.033,-0.086,-0.007,-0.077,0.071,-0.571,0.105,0.105,-0.124,-0.019,-0.0,-0.571,0.088,-0.659,-0.571,0.088,-0.659,0.991,0.397,2.454,2.467,2.463,0.004,-0.009,0.352,-0.211,0.563,1.048,1.063,0.058,1.005,0.767,0.449,0.319,-0.034,-0.448,-0.448,2.739,0.0,-0.034,0.524,-0.559,-0.034,0.524,-0.559,3.312,0.384,2.758,-0.019,2.739,5863,2926,2937
1630202,Payton Pritchard,2026,full_possession_v1,1.1543056562904384,1.16,1.158,1.158,-0.0,0.002,-0.723,-0.493,-0.23,0.632,1.249,0.161,1.088,-0.184,-0.116,-0.069,1.54,0.754,0.754,2.516,3.27,0.0,1.54,0.77,0.77,1.54,0.77,0.77,0.837,-0.597,-0.012,-0.012,-0.014,0.002,0.002,0.748,0.21,0.538,-0.391,-0.371,-0.031,-0.34,0.036,-0.115,0.152,-0.436,-0.124,-0.124,-0.412,-0.536,0.0,-0.436,-0.119,-0.317,-0.436,-0.119,-0.317,-0.039,0.363,1.148,1.146,1.144,0.002,0.004,0.025,-0.283,0.308,0.241,0.878,0.13,0.748,-0.148,-0.231,0.083,1.104,0.63,0.63,2.734,0.0,1.104,0.651,0.453,1.104,0.651,0.453,0.798,-0.234,3.27,-0.536,2.734,10855,5426,5429
203932,Aaron Gordon,2026,full_possession_v1,1.1543056562904384,-0.282,-0.276,-0.277,0.001,-0.005,0.145,0.228,-0.083,-0.322,-0.1,-0.096,-0.004,0.047,0.074,-0.026,1.944,-0.254,-0.254,1.709,1.455,0.0,1.944,0.733,1.211,1.944,0.733,1.211,1.73,0.935,1.093,1.084,1.088,-0.004,0.005,-0.334,0.125,-0.459,0.394,1.028,-0.019,1.047,0.119,0.052,0.069,-0.403,0.407,0.407,0.809,1.216,0.0,-0.403,-0.231,-0.172,-0.403,-0.231,-0.172,1.114,-0.007,0.811,0.808,0.811,-0.003,0.0,-0.189,0.353,-0.542,0.072,0.928,-0.115,1.043,0.166,0.126,0.043,1.541,0.153,0.153,2.671,-0.0,1.541,0.502,1.039,1.541,0.502,1.039,2.844,0.928,1.455,1.216,2.671,4319,2159,2160
1628374,Lauri Markkanen,2026,full_possession_v1,1.1543056562904384,0.212,0.22,0.221,-0.001,-0.009,0.283,0.014,0.269,-0.025,-0.037,0.162,-0.199,0.666,0.216,0.451,-0.456,0.669,0.669,0.422,1.091,0.0,-0.456,-0.124,-0.332,-0.456,-0.124,-0.332,2.551,0.515,1.384,1.384,1.373,0.011,0.011,0.878,0.247,0.631,0.202,0.293,-0.067,0.36,0.13,0.074,0.057,-0.287,0.305,0.305,1.227,1.532,0.0,-0.287,0.032,-0.32,-0.287,0.032,-0.32,0.75,0.518,1.596,1.604,1.594,0.01,0.002,1.161,0.261,0.9,0.177,0.256,0.095,0.161,0.796,0.29,0.508,-0.743,0.974,0.974,2.623,0.0,-0.743,-0.092,-0.652,-0.743,-0.092,-0.652,3.301,1.033,1.091,1.532,2.623,6135,3071,3064
1642347,Jamal Shead,2026,full_possession_v1,1.1543056562904384,0.611,0.608,0.605,0.003,0.006,0.752,-0.186,0.938,-0.276,0.129,0.052,0.077,-0.126,0.161,-0.287,0.165,0.51,0.51,0.65,1.16,-0.0,0.165,-0.398,0.563,0.165,-0.398,0.563,2.417,0.753,0.818,0.823,0.809,0.014,0.009,-0.077,0.112,-0.189,-0.152,1.038,-0.013,1.051,-0.216,-0.39,0.173,1.172,-0.315,-0.315,1.774,1.459,0.0,1.172,0.145,1.026,1.172,0.145,1.026,3.126,0.49,1.429,1.431,1.414,0.017,0.015,0.675,-0.074,0.749,-0.428,1.167,0.039,1.128,-0.342,-0.229,-0.114,1.337,0.195,0.195,2.619,0.0,1.337,-0.253,1.589,1.337,-0.253,1.589,5.543,1.243,1.16,1.459,2.619,8384,4207,4177
1628973,Jalen Brunson,2026,full_possession_v1,1.1543056562904384,1.91,1.913,1.916,-0.003,-0.006,-0.067,-0.744,0.677,0.704,1.279,-0.052,1.331,0.192,0.279,-0.093,1.744,-0.65,-0.65,3.846,3.196,0.0,1.744,0.753,0.992,1.744,0.753,0.992,-0.751,-0.498,-0.924,-0.917,-0.915,-0.002,-0.009,0.1,0.146,-0.046,-0.574,-0.441,-0.164,-0.277,-0.266,-0.269,0.004,0.082,0.43,0.43,-1.108,-0.678,-0.0,0.082,-0.291,0.373,0.082,-0.291,0.373,0.441,0.141,0.986,0.997,1.001,-0.004,-0.015,0.033,-0.598,0.631,0.13,0.838,-0.216,1.054,-0.074,0.01,-0.089,1.826,-0.22,-0.22,2.518,0.001,1.826,0.462,1.365,1.826,0.462,1.365,-0.31,-0.357,3.196,-0.678,2.519,13161,6592,6569
1629029,Luka Doncic,2026,full_possession_v1,1.1543056562904384,2.692,2.69,2.689,0.001,0.003,1.112,-0.666,1.778,1.095,0.482,0.372,0.11,0.132,0.593,-0.459,1.041,-0.679,-0.679,3.865,3.186,0.0,1.041,0.23,0.811,1.041,0.23,0.811,-2.392,-0.013,-0.863,-0.858,-0.862,0.004,-0.001,-0.685,-0.038,-0.647,-0.339,0.162,-0.063,0.225,0.152,0.088,0.065,-0.35,0.349,0.349,-1.061,-0.712,0.0,-0.35,0.076,-0.426,-0.35,0.076,-0.426,-1.359,-0.456,1.829,1.832,1.827,0.005,0.002,0.427,-0.704,1.131,0.756,0.644,0.309,0.335,0.284,0.681,-0.394,0.691,-0.33,-0.33,2.474,0.0,0.691,0.306,0.385,0.691,0.306,0.385,-3.751,-0.469,3.186,-0.712,2.474,9504,4742,4762
