player_id,player_name,Latest_Year,oALT_TS,oALT_EFG,oALT_FT,oALT_TOV,oALT_TOV_bp,oALT_TOV_sc,oSC,dALT_TS,dALT_EFG,dALT_FT,dALT_TOV,dALT_TOV_bp,dALT_TOV_sc,dSC,oFC,dFC,off,def,net_rapm,RESID,possessions,off_poss,def_poss
304,John Stockton,2001,2.69,1.99,0.7,0.16,-0.28,0.44,0.8,1.7,1.86,-0.16,1.32,0.52,0.79,0.53,2.85,3.02,3.65,3.55,7.2,-0.0,19809,9903,9906
406,Shaquille O'Neal,2001,3.67,4.1,-0.43,0.17,-0.25,0.41,1.58,2.67,1.71,0.96,-0.91,-0.34,-0.57,-0.66,3.84,1.76,5.42,1.1,6.52,0.0,29261,14689,14572
1495,Tim Duncan,2001,1.52,1.67,-0.15,0.06,-0.15,0.2,0.58,3.58,3.23,0.35,-0.48,-0.08,-0.4,0.54,1.58,3.1,2.16,3.64,5.8,0.0,24274,12149,12125
448,Bo Outlaw,2001,1.83,1.96,-0.13,-0.66,-0.64,-0.03,1.18,2.65,1.81,0.84,1.11,0.56,0.56,-0.8,1.17,3.76,2.35,2.96,5.31,-0.0,19136,9575,9561
1713,Vince Carter,2001,2.11,1.99,0.12,1.09,0.44,0.65,1.56,-0.01,0.14,-0.15,0.11,0.1,0.01,0.24,3.2,0.1,4.76,0.34,5.1,-0.0,25472,12761,12711
345,Terry Porter,2001,2.21,1.83,0.38,-0.1,-0.36,0.25,-0.76,2.19,2.07,0.12,0.36,0.04,0.32,0.27,2.11,2.55,1.35,2.82,4.16,-0.01,13673,6840,6833
1717,Dirk Nowitzki,2001,2.19,1.82,0.37,0.94,0.18,0.76,-0.7,1.35,0.8,0.55,0.26,0.29,-0.03,0.05,3.13,1.61,2.43,1.66,4.09,0.0,24821,12439,12382
965,Derek Fisher,2001,-0.39,-0.77,0.38,0.78,0.54,0.24,-0.72,2.07,2.26,-0.19,0.8,-0.19,1.0,1.28,0.39,2.87,-0.33,4.15,3.82,-0.0,12931,6472,6459
87,Dikembe Mutombo,2001,-0.31,-0.04,-0.27,-0.21,0.13,-0.33,0.53,4.69,3.11,1.58,-1.33,-0.62,-0.7,0.41,-0.52,3.36,0.01,3.77,3.77,-0.01,23816,11910,11906
764,David Robinson,2001,0.48,-0.01,0.49,0.45,-0.08,0.53,-0.31,2.5,1.59,0.91,-0.06,-0.08,0.02,0.59,0.93,2.44,0.62,3.03,3.65,0.0,20053,10051,10002
739,Rasheed Wallace,2001,1.71,1.72,-0.01,-0.33,-0.19,-0.15,-0.25,2.04,1.73,0.31,0.06,-0.21,0.26,0.4,1.38,2.1,1.13,2.5,3.63,0.0,23697,11846,11851
224,Eddie Jones,2001,1.47,0.94,0.53,0.09,-0.26,0.36,-0.28,0.92,0.92,-0.0,0.56,0.73,-0.16,0.69,1.56,1.48,1.28,2.17,3.46,0.01,19813,9916,9897
1513,Scot Pollard,2001,-0.88,-0.71,-0.17,-0.02,-0.1,0.07,1.0,1.91,1.54,0.37,0.8,0.12,0.67,0.62,-0.9,2.71,0.1,3.33,3.43,0.0,12174,6085,6089
1885,Lamar Odom,2001,0.77,0.52,0.25,-0.54,0.08,-0.62,1.14,2.22,1.97,0.25,-0.21,-0.34,0.12,0.04,0.23,2.01,1.37,2.05,3.42,0.0,20954,10464,10490
2032,Darius Miles,2001,1.63,1.71,-0.08,-0.16,-0.37,0.21,-0.04,2.48,2.31,0.17,-0.17,-0.1,-0.07,-0.43,1.47,2.31,1.43,1.88,3.31,0.0,7959,3968,3991
708,Kevin Garnett,2001,0.84,0.83,0.01,0.33,-0.03,0.37,0.39,0.9,0.72,0.18,1.03,0.64,0.39,-0.31,1.17,1.93,1.56,1.62,3.18,0.0,25338,12714,12624
966,Jerome Williams,2001,0.43,-0.21,0.64,-0.31,-0.24,-0.07,1.34,0.85,0.75,0.1,0.55,0.11,0.44,0.23,0.12,1.4,1.46,1.63,3.1,0.01,12554,6270,6284
935,Bryon Russell,2001,2.57,1.57,1.0,0.46,0.04,0.42,0.17,-0.63,0.24,-0.87,0.26,-0.24,0.51,0.25,3.03,-0.37,3.2,-0.12,3.08,0.0,21680,10850,10830
762,Shawn Bradley,2001,-2.44,-2.35,-0.09,-0.23,-0.37,0.15,0.52,6.68,5.65,1.03,-0.71,-0.07,-0.64,-0.78,-2.67,5.97,-2.15,5.19,3.04,0.0,15528,7737,7791
