player_id,player_name,Latest_Year,DECOMP_PRICING,off,def,net_rapm,possessions,off_poss,def_poss,oDECOMP_RIM_FREQ,dDECOMP_RIM_FREQ,nDECOMP_RIM_FREQ,oDECOMP_RIM_FG,dDECOMP_RIM_FG,nDECOMP_RIM_FG,oDECOMP_MID_FG,dDECOMP_MID_FG,nDECOMP_MID_FG,oDECOMP_THREE_FREQ,dDECOMP_THREE_FREQ,nDECOMP_THREE_FREQ,oDECOMP_THREE_FG,dDECOMP_THREE_FG,nDECOMP_THREE_FG,oDECOMP_EFG_PARENT,dDECOMP_EFG_PARENT,nDECOMP_EFG_PARENT,oDECOMP_FT,dDECOMP_FT,nDECOMP_FT,oDECOMP_TOV_VALUE,dDECOMP_TOV_VALUE,nDECOMP_TOV_VALUE,oDECOMP_SC,dDECOMP_SC,nDECOMP_SC,oDECOMP_BADPASS_TOV_VALUE,dDECOMP_BADPASS_TOV_VALUE,nDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_RIM,oDECOMP_THREE,oDECOMP_TOV_VALUE_split,oDECOMP_TOV_SPLIT_GAP,oFC,oDISPLAY_SUM,oRESID,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_RIM,dDECOMP_THREE,dDECOMP_TOV_VALUE_split,dDECOMP_TOV_SPLIT_GAP,dFC,dDISPLAY_SUM,dRESID,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_RIM,nDECOMP_THREE,nDECOMP_TOV_VALUE_split,nDECOMP_TOV_SPLIT_GAP,nFC,nDISPLAY_SUM,RESID
202695,Leonard,2024,net_continuation_kappa,5.491,2.163,7.654,35351,17694,17657,-0.695,-0.044,-0.739,0.77,-0.029,0.741,0.91,0.28,1.19,-0.074,0.102,0.028,1.506,0.073,1.579,2.435,0.376,2.811,0.857,0.063,0.92,1.362,0.438,1.8,0.835,1.285,2.12,1.059,0.465,1.524,0.304,-0.026,0.278,2.417,0.018,0.075,1.432,1.363,-0.001,4.636,5.471,0.02,0.382,-0.006,-0.073,0.175,0.439,-0.001,0.883,2.168,-0.005,2.799,0.012,0.002,1.607,1.802,-0.002,5.519,7.639,0.015
203999,Jokić,2024,net_continuation_kappa,6.408,1.095,7.502,59710,29917,29793,0.639,0.401,1.04,1.587,-0.674,0.913,2.575,-0.302,2.273,-0.373,-0.288,-0.661,0.604,-0.356,0.248,5.04,-1.214,3.826,0.802,0.423,1.225,-1.053,0.021,-1.032,1.598,1.862,3.46,-1.187,0.351,-0.836,0.137,-0.336,-0.199,5.032,0.008,2.226,0.231,-1.05,-0.003,4.781,6.379,0.029,-1.219,0.005,-0.273,-0.644,0.015,0.006,-0.775,1.087,0.008,3.813,0.013,1.953,-0.413,-1.035,0.003,4.006,7.466,0.036
203507,Antetokounmpo,2024,net_continuation_kappa,3.612,3.874,7.486,52155,26179,25976,1.317,0.487,1.804,2.082,0.792,2.874,-0.445,0.059,-0.386,0.001,-0.142,-0.141,-0.589,1.059,0.47,2.364,2.258,4.622,0.011,0.268,0.279,0.255,-0.543,-0.288,0.974,1.897,2.871,0.805,-0.032,0.773,-0.551,-0.513,-1.064,2.366,-0.002,3.399,-0.588,0.254,0.001,2.632,3.606,0.006,2.255,0.003,1.279,0.917,-0.545,0.002,1.98,3.877,-0.003,4.621,0.001,4.678,0.329,-0.291,0.003,4.612,7.483,0.003
1628369,Tatum,2024,net_continuation_kappa,5.336,1.908,7.244,64768,32399,32369,0.123,-0.03,0.093,0.397,0.276,0.673,0.098,0.155,0.253,0.255,-0.027,0.228,1.15,0.867,2.017,2.041,1.243,3.284,0.941,0.26,1.201,1.37,-0.01,1.36,0.977,0.415,1.392,0.5,0.202,0.702,0.868,-0.211,0.657,2.023,0.018,0.52,1.405,1.368,0.002,4.334,5.311,0.025,1.241,0.002,0.246,0.84,-0.009,-0.001,1.491,1.906,0.002,3.264,0.02,0.766,2.245,1.359,0.001,5.825,7.217,0.027
203954,Embiid,2024,net_continuation_kappa,4.066,3.067,7.133,42097,21094,21003,-0.319,0.793,0.474,1.318,0.564,1.882,0.564,0.584,1.148,-0.767,-0.061,-0.828,1.5,0.324,1.824,2.309,2.218,4.527,2.166,0.513,2.679,-0.52,-0.633,-1.153,0.088,0.975,1.063,-0.063,-0.163,-0.226,-0.454,-0.471,-0.925,2.296,0.013,0.999,0.733,-0.517,-0.003,3.942,4.03,0.036,2.204,0.014,1.357,0.263,-0.634,0.001,2.084,3.059,0.008,4.5,0.027,2.356,0.996,-1.151,-0.002,6.026,7.089,0.044
2544,James,2024,net_continuation_kappa,4.862,2.196,7.058,50322,25161,25161,1.195,0.052,1.247,2.317,0.394,2.711,-0.627,0.649,0.022,0.338,-0.098,0.24,0.814,0.347,1.161,4.054,1.343,5.397,-0.205,0.286,0.081,0.26,0.207,0.467,0.767,0.35,1.117,-0.716,0.017,-0.699,0.971,0.188,1.159,4.037,0.017,3.512,1.152,0.255,0.005,4.092,4.859,0.003,1.344,-0.001,0.446,0.249,0.205,0.002,1.837,2.187,0.009,5.381,0.016,3.958,1.401,0.46,0.007,5.929,7.046,0.012
202331,George,2024,net_continuation_kappa,3.553,2.907,6.46,41321,20664,20657,-0.013,0.246,0.233,0.557,0.519,1.076,1.185,0.509,1.694,0.332,-0.217,0.115,1.78,-0.418,1.362,3.851,0.637,4.488,0.34,0.223,0.563,-0.069,1.325,1.256,-0.57,0.727,0.157,-0.692,0.577,-0.115,0.62,0.745,1.365,3.841,0.01,0.544,2.112,-0.072,0.003,4.112,3.542,0.011,0.639,-0.002,0.765,-0.635,1.322,0.003,2.187,2.914,-0.007,4.48,0.008,1.309,1.477,1.25,0.006,6.299,6.456,0.004
201939,Curry,2024,net_continuation_kappa,5.383,0.628,6.011,42611,21325,21286,0.952,-0.013,0.939,1.479,-0.607,0.872,0.429,0.038,0.467,0.524,0.105,0.629,1.817,0.532,2.349,5.224,0.057,5.281,0.611,-0.264,0.347,-0.447,1.027,0.58,-0.004,-0.192,-0.196,-0.654,0.15,-0.504,0.211,0.875,1.086,5.201,0.023,2.431,2.341,-0.443,-0.004,5.365,5.361,0.022,0.055,0.002,-0.62,0.637,1.025,0.002,0.818,0.626,0.002,5.256,0.025,1.811,2.978,0.582,-0.002,6.183,5.987,0.024
203497,Gobert,2024,net_continuation_kappa,0.679,4.858,5.537,52055,26019,26036,0.268,0.963,1.231,0.748,1.202,1.95,-0.444,0.312,-0.132,-0.366,-0.191,-0.557,0.469,0.627,1.096,0.652,2.916,3.568,-0.271,1.103,0.832,-1.822,-1.101,-2.923,2.108,1.934,4.042,-1.192,-0.492,-1.684,-0.631,-0.611,-1.242,0.675,-0.023,1.016,0.103,-1.823,0.001,-1.418,0.69,-0.011,2.913,0.003,2.165,0.436,-1.103,0.002,2.915,4.849,0.009,3.588,-0.02,3.181,0.539,-2.926,0.003,1.497,5.539,-0.002
202681,Irving,2024,net_continuation_kappa,5.86,-0.574,5.286,37924,18994,18930,-0.278,0.174,-0.104,0.575,0.248,0.823,1.066,-0.394,0.672,-0.017,0.097,0.08,2.302,-0.177,2.125,3.651,-0.054,3.597,-0.065,-0.113,-0.178,1.834,-0.036,1.798,0.43,-0.368,0.062,0.863,0.065,0.928,0.975,-0.102,0.873,3.648,0.003,0.297,2.285,1.838,-0.004,5.417,5.847,0.013,-0.052,-0.002,0.422,-0.08,-0.037,0.001,-0.201,-0.569,-0.005,3.596,0.001,0.719,2.205,1.801,-0.003,5.216,5.278,0.008
