player_id,player_name,Latest_Year,DECOMP_PRICING,off,def,net_rapm,possessions,off_poss,def_poss,oDECOMP_RIM_FREQ,dDECOMP_RIM_FREQ,nDECOMP_RIM_FREQ,oDECOMP_RIM_FG,dDECOMP_RIM_FG,nDECOMP_RIM_FG,oDECOMP_MID_FG,dDECOMP_MID_FG,nDECOMP_MID_FG,oDECOMP_THREE_FREQ,dDECOMP_THREE_FREQ,nDECOMP_THREE_FREQ,oDECOMP_THREE_FG,dDECOMP_THREE_FG,nDECOMP_THREE_FG,oDECOMP_EFG_PARENT,dDECOMP_EFG_PARENT,nDECOMP_EFG_PARENT,oDECOMP_FT,dDECOMP_FT,nDECOMP_FT,oDECOMP_TOV_VALUE,dDECOMP_TOV_VALUE,nDECOMP_TOV_VALUE,oDECOMP_SC,dDECOMP_SC,nDECOMP_SC,oDECOMP_BADPASS_TOV_VALUE,dDECOMP_BADPASS_TOV_VALUE,nDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_RIM,oDECOMP_THREE,oDECOMP_TOV_VALUE_split,oDECOMP_TOV_SPLIT_GAP,oFC,oDISPLAY_SUM,oRESID,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_RIM,dDECOMP_THREE,dDECOMP_TOV_VALUE_split,dDECOMP_TOV_SPLIT_GAP,dFC,dDISPLAY_SUM,dRESID,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_RIM,nDECOMP_THREE,nDECOMP_TOV_VALUE_split,nDECOMP_TOV_SPLIT_GAP,nFC,nDISPLAY_SUM,RESID
1630183,McDaniels,2021,net_continuation_kappa,-0.775,-0.51,-1.286,6355,3167,3188,-0.098,0.119,0.021,-0.713,0.327,-0.386,-0.555,0.234,-0.321,0.264,-0.044,0.22,2.022,-0.554,1.468,0.917,0.086,1.003,-0.268,-0.24,-0.508,-0.522,0.249,-0.273,-0.895,-0.599,-1.494,-0.563,0.063,-0.5,0.045,0.187,0.232,0.92,-0.003,-0.811,2.286,-0.518,-0.004,0.13,-0.765,-0.01,0.082,0.004,0.446,-0.598,0.25,-0.001,0.091,-0.508,-0.002,1.002,0.001,-0.365,1.688,-0.268,-0.005,0.221,-1.273,-0.013
1629682,Waters,2021,net_continuation_kappa,-1.112,-0.179,-1.29,1532,765,767,0.18,0.0,0.18,0.046,0.189,0.235,-0.508,0.212,-0.296,-0.0,0.009,0.009,-0.573,-0.239,-0.812,-0.858,0.169,-0.689,-0.014,-0.1,-0.114,-0.826,0.054,-0.772,0.582,-0.301,0.281,-0.93,0.016,-0.914,0.102,0.039,0.141,-0.855,-0.003,0.226,-0.573,-0.828,0.002,-1.695,-1.113,0.001,0.171,-0.002,0.189,-0.23,0.055,-0.001,0.125,-0.176,-0.003,-0.684,-0.005,0.415,-0.803,-0.773,0.001,-1.57,-1.289,-0.001
1628515,Briscoe,2021,net_continuation_kappa,-1.753,0.46,-1.292,2276,1137,1139,-0.244,0.045,-0.199,-0.16,-0.052,-0.212,-0.497,-0.092,-0.589,0.011,-0.031,-0.02,-0.151,0.693,0.542,-1.048,0.562,-0.486,-0.157,-0.002,-0.159,0.261,-0.556,-0.295,-0.807,0.452,-0.355,-0.105,-0.312,-0.417,0.368,-0.245,0.123,-1.041,-0.007,-0.404,-0.14,0.263,-0.002,-0.937,-1.744,-0.009,0.563,-0.001,-0.007,0.662,-0.557,0.001,0.005,0.457,0.003,-0.478,-0.008,-0.411,0.522,-0.294,-0.001,-0.932,-1.287,-0.005
1629636,Garland,2021,net_continuation_kappa,-1.131,-0.163,-1.294,14920,7458,7462,0.252,-0.29,-0.038,-0.21,-0.133,-0.343,0.215,-0.133,0.082,-0.113,0.139,0.026,0.285,0.204,0.489,0.423,-0.22,0.203,-0.448,0.061,-0.387,-1.176,0.016,-1.16,0.058,-0.01,0.048,-0.71,-0.021,-0.731,-0.462,0.04,-0.422,0.429,-0.006,0.042,0.172,-1.172,-0.004,-1.195,-1.137,0.006,-0.213,-0.007,-0.423,0.343,0.019,-0.003,-0.136,-0.146,-0.017,0.216,-0.013,-0.381,0.515,-1.153,-0.007,-1.331,-1.283,-0.011
1627744,Johnson,2021,net_continuation_kappa,-1.128,-0.168,-1.296,467,231,236,0.089,-0.062,0.027,-0.106,-0.159,-0.265,-0.874,-0.004,-0.878,-0.186,-0.015,-0.201,0.176,0.073,0.249,-0.899,-0.164,-1.063,-0.406,-0.057,-0.463,-0.096,0.129,0.033,0.274,-0.096,0.178,-0.138,0.146,0.008,0.044,-0.015,0.029,-0.901,0.002,-0.017,-0.01,-0.094,-0.002,-1.403,-1.129,0.001,-0.167,0.003,-0.221,0.058,0.131,-0.002,-0.095,-0.191,0.023,-1.068,0.005,-0.238,0.048,0.037,-0.004,-1.498,-1.32,0.024
203920,Birch,2021,net_continuation_kappa,-1.581,0.28,-1.301,15587,7784,7803,-0.729,-0.059,-0.788,-0.194,-0.693,-0.887,-0.99,0.109,-0.881,-0.222,-0.187,-0.409,-0.249,0.179,-0.07,-2.374,-0.658,-3.032,-0.538,0.15,-0.388,0.352,-0.215,0.137,0.974,1.008,1.982,0.715,0.136,0.851,-0.366,-0.349,-0.715,-2.384,0.01,-0.923,-0.471,0.349,0.003,-2.57,-1.596,0.015,-0.651,-0.007,-0.752,-0.008,-0.213,-0.002,-0.716,0.292,-0.012,-3.035,0.003,-1.675,-0.479,0.136,0.001,-3.286,-1.304,0.003
1629622,Strus,2021,net_continuation_kappa,0.156,-1.459,-1.303,2077,1039,1038,-0.156,0.231,0.075,0.742,-0.55,0.192,-0.429,-0.144,-0.573,0.405,-0.192,0.213,0.418,-0.579,-0.161,1.019,-1.234,-0.215,-0.337,-0.051,-0.388,-1.023,-0.266,-1.289,0.502,0.088,0.59,-0.193,-0.196,-0.389,-0.831,-0.07,-0.901,0.98,0.039,0.586,0.823,-1.024,0.001,-0.38,0.122,0.034,-1.234,0.0,-0.319,-0.771,-0.266,0.0,-1.551,-1.463,0.004,-0.254,0.039,0.267,0.052,-1.29,0.001,-1.931,-1.341,0.038
202712,Harper,2021,net_continuation_kappa,-0.641,-0.664,-1.305,128,65,63,-0.162,-0.002,-0.164,-0.164,-0.178,-0.342,0.191,-0.258,-0.067,0.092,-0.013,0.079,0.011,-0.013,-0.002,-0.039,-0.466,-0.505,-0.237,-0.104,-0.341,-0.242,-0.146,-0.388,-0.117,0.048,-0.069,-0.039,-0.061,-0.1,-0.196,-0.084,-0.28,-0.032,-0.007,-0.326,0.103,-0.235,-0.007,-0.511,-0.628,-0.013,-0.464,-0.002,-0.18,-0.026,-0.145,-0.001,-0.714,-0.666,0.002,-0.496,-0.009,-0.506,0.077,-0.38,-0.008,-1.225,-1.294,-0.011
1628963,Bagley III,2021,net_continuation_kappa,0.16,-1.469,-1.309,12594,6302,6292,0.011,-0.354,-0.343,-0.406,-0.073,-0.479,0.158,0.078,0.236,-0.427,-0.188,-0.615,-0.279,-0.062,-0.341,-0.947,-0.601,-1.548,-0.272,0.223,-0.049,-0.109,-0.943,-1.052,1.482,-0.148,1.334,0.155,-0.282,-0.127,-0.264,-0.659,-0.923,-0.943,-0.004,-0.395,-0.706,-0.109,0.0,-1.324,0.158,0.002,-0.599,-0.002,-0.427,-0.25,-0.941,-0.002,-1.319,-1.467,-0.002,-1.542,-0.006,-0.822,-0.956,-1.05,-0.002,-2.643,-1.309,0.0
2561,West,2021,net_continuation_kappa,-2.599,1.29,-1.309,8942,4464,4478,-0.192,-0.138,-0.33,0.377,-0.136,0.241,0.977,0.541,1.518,-0.667,0.122,-0.545,-1.114,0.922,-0.192,-0.625,1.312,0.687,-0.662,0.209,-0.453,-1.241,-0.432,-1.673,-0.068,0.201,0.133,-1.161,-0.044,-1.205,-0.077,-0.389,-0.466,-0.619,-0.006,0.185,-1.781,-1.238,-0.003,-2.522,-2.59,-0.009,1.311,0.001,-0.274,1.044,-0.433,0.001,1.088,1.289,0.001,0.692,-0.005,-0.089,-0.737,-1.671,-0.002,-1.434,-1.301,-0.008
203564,Lucas,2021,net_continuation_kappa,-0.89,-0.421,-1.311,24,12,12,-0.088,0.028,-0.06,-0.087,-0.085,-0.172,-0.064,-0.092,-0.156,0.017,0.003,0.02,-0.277,-0.092,-0.369,-0.511,-0.238,-0.749,-0.156,-0.078,-0.234,-0.097,-0.049,-0.146,-0.147,-0.059,-0.206,0.045,-0.036,0.009,-0.136,-0.011,-0.147,-0.499,-0.012,-0.175,-0.26,-0.091,-0.006,-0.752,-0.899,0.009,-0.238,0.0,-0.057,-0.089,-0.047,-0.002,-0.365,-0.424,0.003,-0.737,-0.012,-0.232,-0.349,-0.138,-0.008,-1.117,-1.323,0.012
1628571,McCree,2021,net_continuation_kappa,-0.732,-0.579,-1.311,36,18,18,-0.127,0.006,-0.121,-0.104,-0.128,-0.232,0.111,-0.117,-0.006,0.013,-0.002,0.011,-0.31,-0.092,-0.402,-0.43,-0.333,-0.763,-0.151,-0.108,-0.259,-0.109,-0.025,-0.134,-0.04,-0.117,-0.157,0.0,-0.011,-0.011,-0.104,-0.013,-0.117,-0.417,-0.013,-0.231,-0.297,-0.104,-0.005,-0.677,-0.717,-0.015,-0.333,-0.0,-0.122,-0.094,-0.024,-0.001,-0.466,-0.583,0.004,-0.75,-0.013,-0.353,-0.391,-0.128,-0.006,-1.143,-1.3,-0.011
1629621,Shayok,2021,net_continuation_kappa,-0.761,-0.551,-1.312,126,64,62,-0.109,0.036,-0.073,0.049,-0.1,-0.051,-0.048,-0.115,-0.163,0.051,-0.028,0.023,-0.315,-0.023,-0.338,-0.378,-0.23,-0.608,-0.067,-0.062,-0.129,-0.231,-0.114,-0.345,-0.085,-0.187,-0.272,-0.148,-0.062,-0.21,-0.079,-0.051,-0.13,-0.372,-0.006,-0.06,-0.264,-0.227,-0.004,-0.67,-0.755,-0.006,-0.23,-0.0,-0.064,-0.051,-0.113,-0.001,-0.406,-0.593,0.042,-0.602,-0.006,-0.124,-0.315,-0.34,-0.005,-1.076,-1.348,0.036
1626242,Montero,2021,net_continuation_kappa,-0.801,-0.513,-1.314,33,16,17,-0.137,0.006,-0.131,-0.131,-0.104,-0.235,-0.03,-0.055,-0.085,0.028,-0.004,0.024,-0.1,-0.143,-0.243,-0.378,-0.301,-0.679,-0.158,-0.044,-0.202,-0.083,-0.139,-0.222,-0.18,-0.033,-0.213,0.054,-0.08,-0.026,-0.132,-0.058,-0.19,-0.37,-0.008,-0.268,-0.072,-0.078,-0.005,-0.611,-0.791,-0.01,-0.3,-0.001,-0.098,-0.147,-0.138,-0.001,-0.483,-0.516,0.003,-0.67,-0.009,-0.366,-0.219,-0.216,-0.006,-1.094,-1.307,-0.007
1629668,Norvell Jr.,2021,net_continuation_kappa,-0.374,-0.943,-1.317,176,87,89,-0.01,0.063,0.053,0.062,-0.205,-0.143,-0.175,-0.14,-0.315,0.033,-0.014,0.019,0.29,-0.336,-0.046,0.209,-0.636,-0.427,-0.104,-0.051,-0.155,-0.176,0.044,-0.132,-0.296,-0.307,-0.603,-0.035,-0.013,-0.048,-0.137,0.06,-0.077,0.2,0.009,0.052,0.323,-0.172,-0.004,-0.08,-0.376,0.002,-0.632,-0.004,-0.142,-0.35,0.047,-0.003,-0.639,-0.946,0.003,-0.432,0.005,-0.09,-0.027,-0.125,-0.007,-0.719,-1.322,0.005
1628605,Hannahs,2021,net_continuation_kappa,-0.552,-0.766,-1.318,167,83,84,-0.092,-0.043,-0.135,-0.062,0.008,-0.054,-0.1,-0.076,-0.176,0.029,-0.033,-0.004,-0.084,-0.19,-0.274,-0.313,-0.336,-0.649,-0.1,0.006,-0.094,0.221,-0.214,0.007,-0.381,-0.225,-0.606,0.163,-0.134,0.029,0.059,-0.079,-0.02,-0.309,-0.004,-0.154,-0.055,0.222,-0.001,-0.188,-0.569,0.017,-0.334,-0.002,-0.035,-0.223,-0.213,-0.001,-0.542,-0.767,0.001,-0.643,-0.006,-0.189,-0.278,0.009,-0.002,-0.73,-1.336,0.018
1628994,King,2021,net_continuation_kappa,-0.644,-0.678,-1.322,24,12,12,-0.064,0.026,-0.038,-0.163,-0.119,-0.282,-0.008,-0.136,-0.144,0.023,-0.008,0.015,-0.254,-0.165,-0.419,-0.48,-0.404,-0.884,-0.152,-0.096,-0.248,-0.006,-0.101,-0.107,-0.005,-0.082,-0.087,0.037,-0.062,-0.025,-0.04,-0.038,-0.078,-0.466,-0.014,-0.227,-0.231,-0.003,-0.003,-0.624,-0.629,-0.015,-0.402,-0.002,-0.093,-0.173,-0.1,-0.001,-0.599,-0.681,0.003,-0.868,-0.016,-0.32,-0.404,-0.103,-0.004,-1.223,-1.31,-0.012
1628394,Pasečņiks,2021,net_continuation_kappa,-0.325,-0.999,-1.323,1879,939,940,-0.288,-0.117,-0.405,-0.279,-0.291,-0.57,-0.246,-0.37,-0.616,-0.228,0.054,-0.174,-0.059,-0.144,-0.203,-1.106,-0.874,-1.98,-0.262,-0.214,-0.476,0.211,0.231,0.442,0.83,-0.148,0.682,0.169,0.111,0.28,0.047,0.121,0.168,-1.1,-0.006,-0.567,-0.287,0.216,-0.005,-1.151,-0.321,-0.004,-0.868,-0.006,-0.408,-0.09,0.232,-0.001,-0.851,-0.999,0.0,-1.968,-0.012,-0.975,-0.377,0.448,-0.006,-2.002,-1.32,-0.003
1629353,Humphries,2021,net_continuation_kappa,-0.713,-0.614,-1.327,250,125,125,0.058,-0.045,0.013,-0.174,-0.088,-0.262,-0.233,-0.196,-0.429,0.016,-0.015,0.001,0.075,-0.106,-0.031,-0.266,-0.452,-0.718,-0.327,-0.159,-0.486,-0.09,-0.052,-0.142,-0.025,0.044,0.019,0.09,0.133,0.223,-0.173,-0.185,-0.358,-0.258,-0.008,-0.116,0.091,-0.083,-0.007,-0.675,-0.7,-0.013,-0.45,-0.002,-0.133,-0.121,-0.052,-0.0,-0.661,-0.617,0.003,-0.708,-0.01,-0.249,-0.03,-0.135,-0.007,-1.336,-1.317,-0.01
1629734,Alexander,2021,net_continuation_kappa,-0.901,-0.43,-1.331,63,31,32,-0.125,-0.003,-0.128,-0.027,-0.111,-0.138,-0.01,-0.065,-0.075,0.024,-0.017,0.007,-0.168,-0.097,-0.265,-0.311,-0.293,-0.604,-0.125,-0.03,-0.155,-0.215,-0.08,-0.295,-0.247,-0.03,-0.277,-0.127,-0.038,-0.165,-0.084,-0.041,-0.125,-0.306,-0.005,-0.152,-0.144,-0.211,-0.004,-0.646,-0.893,-0.008,-0.293,0.0,-0.114,-0.114,-0.079,-0.001,-0.403,-0.433,0.003,-0.599,-0.005,-0.266,-0.258,-0.29,-0.005,-1.049,-1.326,-0.005
203092,Zeller,2021,net_continuation_kappa,-1.042,-0.293,-1.334,7564,3780,3784,-0.086,0.175,0.089,-0.299,-0.082,-0.381,0.12,0.249,0.369,-0.098,0.179,0.081,-0.14,-0.083,-0.223,-0.517,0.436,-0.081,-0.489,0.12,-0.369,-0.021,-1.05,-1.071,-0.011,0.203,0.192,0.236,-0.522,-0.286,-0.253,-0.529,-0.782,-0.503,-0.014,-0.385,-0.238,-0.017,-0.004,-1.013,-1.024,-0.018,0.438,-0.002,0.093,0.096,-1.051,0.001,-0.492,-0.289,-0.004,-0.065,-0.016,-0.292,-0.142,-1.068,-0.003,-1.505,-1.313,-0.021
1629673,Poole,2021,net_continuation_kappa,-1.186,-0.156,-1.342,9462,4728,4734,0.075,-0.167,-0.092,-0.352,-0.421,-0.773,-0.241,-0.119,-0.36,0.2,0.173,0.373,0.228,0.867,1.095,-0.091,0.322,0.231,0.092,-0.024,0.068,0.365,-0.106,0.259,-1.56,-0.348,-1.908,0.469,0.143,0.612,-0.103,-0.248,-0.351,-0.09,-0.001,-0.277,0.428,0.366,-0.001,0.367,-1.193,0.007,0.333,-0.011,-0.588,1.04,-0.105,-0.001,0.203,-0.145,-0.011,0.243,-0.012,-0.865,1.468,0.261,-0.002,0.57,-1.338,-0.004
203145,Bazemore,2021,net_continuation_kappa,-2.501,1.157,-1.344,35617,17794,17823,0.541,0.048,0.589,-0.072,0.708,0.636,-0.413,0.061,-0.352,0.025,-0.101,-0.076,-0.582,0.283,-0.299,-0.494,1.009,0.515,0.124,-0.29,-0.166,-0.765,1.057,0.292,-1.361,-0.623,-1.984,-0.546,0.44,-0.106,-0.229,0.615,0.386,-0.501,0.007,0.469,-0.557,-0.775,0.01,-1.142,-2.503,0.002,0.999,0.01,0.756,0.182,1.055,0.002,1.766,1.143,0.014,0.498,0.017,1.225,-0.375,0.28,0.012,0.624,-1.36,0.016
2746,Smith,2021,net_continuation_kappa,-0.81,-0.535,-1.344,50,24,26,-0.126,0.025,-0.101,-0.133,-0.12,-0.253,-0.189,-0.106,-0.295,0.033,-0.012,0.021,-0.246,-0.097,-0.343,-0.674,-0.31,-0.984,-0.133,-0.104,-0.237,-0.012,-0.065,-0.077,0.008,-0.059,-0.051,0.02,-0.088,-0.068,-0.029,0.024,-0.005,-0.661,-0.013,-0.259,-0.213,-0.009,-0.003,-0.806,-0.798,-0.012,-0.31,0.0,-0.095,-0.109,-0.064,-0.001,-0.479,-0.538,0.003,-0.971,-0.013,-0.354,-0.322,-0.073,-0.004,-1.285,-1.336,-0.008
1629712,Louzada,2021,net_continuation_kappa,-0.705,-0.639,-1.344,235,116,119,-0.05,0.077,0.027,-0.283,-0.147,-0.43,0.074,-0.189,-0.115,0.007,-0.052,-0.045,-0.167,-0.039,-0.206,-0.428,-0.349,-0.777,-0.055,-0.089,-0.144,-0.065,-0.261,-0.326,-0.156,0.059,-0.097,-0.107,-0.157,-0.264,0.044,-0.104,-0.06,-0.419,-0.009,-0.333,-0.16,-0.063,-0.002,-0.539,-0.695,-0.01,-0.35,0.001,-0.07,-0.091,-0.261,0.0,-0.7,-0.641,0.002,-0.769,-0.008,-0.403,-0.251,-0.324,-0.002,-1.239,-1.336,-0.008
1628402,Jackson,2021,net_continuation_kappa,0.039,-1.384,-1.345,11595,5791,5804,0.308,-0.26,0.048,-0.197,-0.298,-0.495,-0.116,0.384,0.268,-0.079,0.151,0.072,0.542,-0.068,0.474,0.47,-0.097,0.373,0.109,-0.358,-0.249,-0.419,-0.486,-0.905,-0.126,-0.438,-0.564,0.019,-0.363,-0.344,-0.443,-0.122,-0.565,0.458,0.012,0.111,0.463,-0.424,0.005,0.148,0.022,0.017,-0.091,-0.006,-0.558,0.083,-0.485,-0.001,-0.935,-1.373,-0.011,0.367,0.006,-0.447,0.546,-0.909,0.004,-0.787,-1.351,0.006
