player_id,player_name,Latest_Year,DECOMP_PRICING,off,def,net_rapm,possessions,off_poss,def_poss,oDECOMP_RIM_FREQ,dDECOMP_RIM_FREQ,nDECOMP_RIM_FREQ,oDECOMP_RIM_FG,dDECOMP_RIM_FG,nDECOMP_RIM_FG,oDECOMP_MID_FG,dDECOMP_MID_FG,nDECOMP_MID_FG,oDECOMP_THREE_FREQ,dDECOMP_THREE_FREQ,nDECOMP_THREE_FREQ,oDECOMP_THREE_FG,dDECOMP_THREE_FG,nDECOMP_THREE_FG,oDECOMP_EFG_PARENT,dDECOMP_EFG_PARENT,nDECOMP_EFG_PARENT,oDECOMP_FT,dDECOMP_FT,nDECOMP_FT,oDECOMP_TOV_VALUE,dDECOMP_TOV_VALUE,nDECOMP_TOV_VALUE,oDECOMP_SC,dDECOMP_SC,nDECOMP_SC,oDECOMP_BADPASS_TOV_VALUE,dDECOMP_BADPASS_TOV_VALUE,nDECOMP_BADPASS_TOV_VALUE,oDECOMP_SCORING_TOV_VALUE,dDECOMP_SCORING_TOV_VALUE,nDECOMP_SCORING_TOV_VALUE,oDECOMP_EFG_CHILDREN,oDECOMP_EFG_PARENT_GAP,oDECOMP_RIM,oDECOMP_THREE,oDECOMP_TOV_VALUE_split,oDECOMP_TOV_SPLIT_GAP,oFC,oDISPLAY_SUM,oRESID,dDECOMP_EFG_CHILDREN,dDECOMP_EFG_PARENT_GAP,dDECOMP_RIM,dDECOMP_THREE,dDECOMP_TOV_VALUE_split,dDECOMP_TOV_SPLIT_GAP,dFC,dDISPLAY_SUM,dRESID,nDECOMP_EFG_CHILDREN,nDECOMP_EFG_PARENT_GAP,nDECOMP_RIM,nDECOMP_THREE,nDECOMP_TOV_VALUE_split,nDECOMP_TOV_SPLIT_GAP,nFC,nDISPLAY_SUM,RESID
1495,Duncan,2005,net_continuation_kappa,3.393,5.272,8.666,64973,32598,32375,-0.116,0.287,0.171,0.868,1.356,2.224,1.397,0.849,2.246,-0.273,0.204,-0.069,0.26,0.428,0.688,2.133,3.127,5.26,-0.084,0.772,0.688,-0.143,-0.673,-0.816,1.495,2.054,3.549,-0.503,-0.231,-0.734,0.36,-0.436,-0.076,2.136,-0.003,0.752,-0.013,-0.143,0.0,1.909,3.404,-0.011,3.124,0.003,1.643,0.632,-0.667,-0.006,3.223,5.277,-0.005,5.26,-0.0,2.395,0.619,-0.81,-0.006,5.132,8.681,-0.015
708,Garnett,2005,net_continuation_kappa,5.195,3.327,8.522,65233,32734,32499,-0.279,0.338,0.059,0.852,0.774,1.626,3.254,0.383,3.637,-0.561,-0.052,-0.613,-0.063,0.019,-0.044,3.222,1.459,4.681,0.447,0.463,0.91,0.609,0.19,0.799,0.902,1.22,2.122,0.323,0.266,0.589,0.285,-0.076,0.209,3.203,0.019,0.573,-0.624,0.608,0.001,4.259,5.161,0.034,1.462,-0.003,1.112,-0.033,0.19,0.0,2.115,3.335,-0.008,4.665,0.016,1.685,-0.657,0.798,0.001,6.374,8.496,0.026
406,O'Neal,2005,net_continuation_kappa,5.554,1.461,7.016,60872,30578,30294,1.753,1.196,2.949,2.439,0.174,2.613,1.145,0.127,1.272,-0.568,0.105,-0.463,1.352,-0.06,1.292,6.115,1.53,7.645,-1.251,0.619,-0.632,-0.643,-1.809,-2.452,1.316,1.127,2.443,-0.749,-0.811,-1.56,0.121,-0.994,-0.873,6.121,-0.006,4.192,0.784,-0.628,-0.015,4.227,5.543,0.011,1.542,-0.012,1.37,0.045,-1.805,-0.004,0.352,1.479,-0.018,7.663,-0.018,5.562,0.829,-2.433,-0.019,4.579,7.022,-0.006
1717,Nowitzki,2005,net_continuation_kappa,5.114,1.695,6.808,66923,33508,33415,0.047,-0.253,-0.206,0.365,0.393,0.758,1.247,0.098,1.345,0.119,-0.175,-0.056,0.633,0.287,0.92,2.404,0.361,2.765,1.588,0.35,1.938,1.166,0.298,1.464,-0.043,0.688,0.645,0.257,0.339,0.596,0.911,-0.05,0.861,2.411,-0.007,0.412,0.752,1.168,-0.002,5.165,5.122,-0.008,0.35,0.011,0.14,0.112,0.289,0.009,0.998,1.686,0.009,2.761,0.004,0.552,0.864,1.457,0.007,6.163,6.808,0.0
1884,Davis,2005,net_continuation_kappa,4.749,1.556,6.305,51702,25698,26004,1.101,-0.161,0.94,0.293,0.93,1.223,-0.476,0.387,-0.089,1.166,-0.026,1.14,0.245,0.6,0.845,2.313,1.735,4.048,0.38,-0.146,0.234,1.561,0.951,2.512,0.505,-0.987,-0.482,0.493,0.324,0.817,1.059,0.625,1.684,2.329,-0.016,1.394,1.411,1.552,0.009,4.27,4.775,-0.026,1.73,0.005,0.769,0.574,0.949,0.002,2.535,1.548,0.008,4.059,-0.011,2.163,1.985,2.501,0.011,6.805,6.323,-0.018
1905,Kirilenko,2005,net_continuation_kappa,3.865,2.195,6.06,32856,16449,16407,0.734,-0.112,0.622,0.547,1.392,1.939,-0.022,0.09,0.068,-0.102,0.153,0.051,-0.031,0.009,-0.022,1.128,1.534,2.662,1.432,-0.829,0.603,-0.398,1.26,0.862,1.702,0.234,1.936,-0.518,0.279,-0.239,0.127,0.981,1.108,1.126,0.002,1.281,-0.133,-0.391,-0.007,2.16,3.862,0.003,1.532,0.002,1.28,0.162,1.26,0.0,1.963,2.197,-0.002,2.658,0.004,2.561,0.029,0.869,-0.007,4.123,6.059,0.001
1718,Pierce,2005,net_continuation_kappa,4.555,1.412,5.967,65926,33000,32926,0.237,0.352,0.589,0.198,0.185,0.383,0.971,-0.333,0.638,0.9,-0.406,0.494,0.739,-0.283,0.456,3.059,-0.487,2.572,1.732,-0.144,1.588,0.685,0.883,1.568,-0.913,1.16,0.247,0.32,0.552,0.872,0.357,0.33,0.687,3.045,0.014,0.435,1.639,0.677,0.008,5.462,4.549,0.006,-0.485,-0.002,0.537,-0.689,0.882,0.001,0.254,1.414,-0.002,2.56,0.012,0.972,0.95,1.559,0.009,5.716,5.963,0.004
1938,Ginobili,2005,net_continuation_kappa,3.543,2.341,5.884,28405,14243,14162,0.851,-0.257,0.594,0.189,0.198,0.387,-0.513,0.412,-0.101,0.42,-0.009,0.411,0.032,0.314,0.346,0.974,0.653,1.627,1.046,0.018,1.064,0.167,1.297,1.464,1.366,0.37,1.736,0.378,0.72,1.098,-0.217,0.582,0.365,0.979,-0.005,1.04,0.452,0.161,0.006,2.192,3.558,-0.015,0.658,-0.005,-0.059,0.305,1.302,-0.005,1.973,2.343,-0.002,1.637,-0.01,0.981,0.757,1.463,0.001,4.165,5.901,-0.017
304,Stockton,2005,net_continuation_kappa,3.697,2.025,5.722,28875,14431,14444,1.583,0.193,1.776,0.252,-0.25,0.002,1.073,0.392,1.465,-0.624,-0.177,-0.801,0.325,0.064,0.389,2.608,0.23,2.838,0.618,-0.163,0.455,0.148,1.447,1.595,0.351,0.496,0.847,-0.012,0.384,0.372,0.152,1.061,1.213,2.609,-0.001,1.835,-0.299,0.14,0.008,3.375,3.726,-0.029,0.222,0.008,-0.057,-0.113,1.445,0.002,1.506,2.002,0.023,2.831,0.007,1.778,-0.412,1.585,0.01,4.881,5.728,-0.006
951,Allen,2005,net_continuation_kappa,5.76,-0.204,5.556,55784,27948,27836,0.034,-0.097,-0.063,0.423,0.088,0.511,0.359,-0.305,0.054,1.393,0.028,1.421,0.966,0.496,1.462,3.193,0.224,3.417,0.869,-0.236,0.633,0.699,-0.194,0.505,1.021,-0.002,1.019,0.443,0.135,0.578,0.247,-0.337,-0.09,3.175,0.018,0.457,2.359,0.69,0.009,4.743,5.764,-0.004,0.21,0.014,-0.009,0.524,-0.202,0.008,-0.22,-0.222,0.018,3.385,0.032,0.448,2.883,0.488,0.017,4.523,5.542,0.014
